# Te	G
# K	W/(m\+(3)K)
400	10580325230235.1
500	8731759221534.42
600	7548177990448.64
700	6835033872848.36
800	289618845741133
900	698998426437625
1000	954767810481779
1100	1.10253646974513E15
1200	1.25048861319437E15
1300	1.3501486151061E15
1400	1.38439402502706E15
1500	1.47205679286975E15
1600	1.52009417002597E15
1700	1.57418721174638E15
1800	2.61784504984906E15
1900	3.26672497975495E15
2000	3.47652141091603E15
2100	3.81196060630743E15
2200	4.91186433928725E15
2300	5.30862313086058E15
2400	5.66546684621959E15
2500	5.94781252863922E15
2600	6.39367115941888E15
2700	6.96190184166428E15
2800	7.41622162983687E15
2900	7.78531807997722E15
3000	8.208987326587E15
3100	8.5594494825994E15
3200	8.95311686387374E15
3300	9.36067349482327E15
3400	9.77915050048083E15
3500	1.01867369091328E16
3600	1.058174237409E16
3700	1.10299321641557E16
3800	1.17050722200204E16
3900	1.22384750242232E16
4000	1.27041531723843E16
4100	1.31861353476639E16
4200	1.36635733013912E16
4300	1.42288360779185E16
4400	1.47109241709963E16
4500	1.51734375435729E16
4600	1.57882210452982E16
4700	1.63198819863592E16
4800	1.68748645940625E16
4900	1.74501319823618E16
5000	1.80255526075207E16
5100	1.85610531988123E16
5200	1.91092394746252E16
5300	1.96709447444308E16
5400	2.02972908441944E16
5500	2.08722156860524E16
5600	2.14123073330791E16
5700	2.2094992729357E16
5800	2.26888891094804E16
5900	2.32859728338039E16
6000	2.39248261177543E16
6100	2.44670472154297E16
6200	2.50534405588018E16
6300	2.56666269113649E16
6400	2.62750769389984E16
6500	2.69026080210406E16
6600	2.75117510114387E16
6700	2.80939605026978E16
6800	2.86800207636335E16
6900	2.92461365083047E16
7000	2.98266315799194E16
7100	3.0438416024411E16
7200	3.10146879794907E16
7300	3.16027808731936E16
7400	3.22101145221088E16
7500	3.28216523779209E16
7600	3.34111220946933E16
7700	3.40175768799933E16
7800	3.46352841730188E16
7900	3.52587583858927E16
8000	3.58571825328754E16
8100	3.63622752526125E16
8200	3.70435082915881E16
8300	3.76087940583837E16
8400	3.81236244176419E16
8500	3.86854651165602E16
8600	3.9267051848676E16
8700	3.97951289992073E16
8800	4.03519853688435E16
8900	4.09542779904882E16
9000	4.15060352072096E16
9100	4.21059475027267E16
9200	4.26837473743081E16
9300	4.32563779411769E16
9400	4.38489991005258E16
9500	4.43836753582372E16
9600	4.49750595793905E16
9700	4.56574522866937E16
9800	4.61103545792861E16
9900	4.65989913568877E16
10000	4.7128699859694E16
10100	4.757542290036E16
10200	4.81352451836085E16
10300	4.86928969518657E16
10400	4.91343025051227E16
10500	4.95422036305317E16
10600	5.01049741686695E16
10700	5.05854201113265E16
10800	5.10311740331954E16
10900	5.14031437297372E16
11000	5.19139050574182E16
11100	5.24562628838651E16
11200	5.28386089504958E16
11300	5.33074322620651E16
11400	5.38009237098197E16
11500	5.42005630387479E16
11600	5.4623215082712E16
11700	5.51108141928478E16
11800	5.55679004395438E16
11900	5.60246843183304E16
12000	5.64319657851222E16
12100	5.68577293283286E16
12200	5.72857000528011E16
12300	5.77300585245327E16
12400	5.80571044318851E16
12500	5.84054700726199E16
12600	5.87597470451708E16
12700	5.91125596959857E16
12800	5.94148742627762E16
12900	5.97176832109831E16
13000	6.00597174283609E16
13100	6.03180006313718E16
13200	6.07402903274847E16
13300	6.10305914466264E16
13400	6.11874721039419E16
13500	6.16361678535052E16
13600	6.1995527543978E16
13700	6.24025270539997E16
13800	6.26814449724502E16
13900	6.29325102622763E16
14000	6.3206335234951E16
14100	6.35832499118966E16
14200	6.3821786210774E16
14300	6.41639168688228E16
14400	6.43732621922654E16
14500	6.46309235727043E16
14600	6.48420823243275E16
14700	6.50838130084981E16
14800	6.53328284514553E16
14900	6.55450972040692E16
15000	6.58058012826127E16
15100	6.60709026334702E16
15200	6.63635086564958E16
15300	6.64743548097471E16
15400	6.67787896540049E16
15500	6.69712536617039E16
15600	6.71901519192384E16
15700	6.73988378915133E16
15800	6.76628680403156E16
15900	6.77997203345924E16
16000	6.79027695180738E16
16100	6.81465562151588E16
16200	6.83819358657331E16
16300	6.85401814041399E16
16400	6.86980253960906E16
16500	6.88738737283012E16
16600	6.90077328496634E16
16700	6.92908547919385E16
16800	6.93445481535243E16
16900	6.95434937211542E16
17000	6.96054435308265E16
17100	6.9698668121675E16
17200	6.98646319061866E16
17300	7.00910929482018E16
17400	7.01212245872298E16
17500	7.02630690532439E16
17600	7.03401735188715E16
17700	7.04228756107945E16
17800	7.04939824201141E16
17900	7.06445736609856E16
18000	7.07073874051261E16
18100	7.07969497421431E16
18200	7.09216233103849E16
18300	7.10150177576918E16
18400	7.1091959523282E16
18500	7.11408999749449E16
18600	7.11850144053883E16
18700	7.1287639913715E16
18800	7.1384421666389E16
18900	7.13669569435226E16
19000	7.14426840710619E16
19100	7.15549647855484E16
19200	7.15517221958612E16
19300	7.16782608848308E16
19400	7.1698836373855E16
19500	7.17476049907076E16
19600	7.17545972839221E16
19700	7.18051809296137E16
19800	7.17314149919002E16
19900	7.17934134882477E16
20000	7.18073695037082E16
20100	7.18644127741726E16
20200	7.19158182370102E16
20300	7.18906391313139E16
20400	7.18945224167778E16
20500	7.19345052254658E16
20600	7.1936531584434E16
20700	7.1983959461337E16
20800	7.20176489163936E16
20900	7.19332399948505E16
21000	7.19326059554113E16
21100	7.20214630431171E16
21200	7.1923885155342E16
21300	7.19486011383499E16
21400	7.18514881175844E16
21500	7.1799903374505E16
21600	7.17779036081963E16
21700	7.17669932024879E16
21800	7.17439676839165E16
21900	7.17175427651795E16
22000	7.16724077658644E16
22100	7.16009393891009E16
22200	7.15901982442338E16
22300	7.15131910537312E16
22400	7.1492983538864E16
22500	7.14427758152434E16
22600	7.13511878222961E16
22700	7.12911718139207E16
22800	7.13006297664331E16
22900	7.12433984376224E16
23000	7.12446635643973E16
23100	7.10781358575116E16
23200	7.10376580499852E16
23300	7.09960686569646E16
23400	7.09589110347532E16
23500	7.0870527719704E16
23600	7.08664650274586E16
23700	7.08445943484102E16
23800	7.0714925238692E16
23900	7.06097697008631E16
24000	7.04667537512497E16
24100	7.04723665677578E16
24200	7.03906803810406E16
24300	7.02320661072611E16
24400	7.023812488501E16
24500	7.00908659064182E16
24600	6.99757630889457E16
24700	6.98998453962119E16
24800	6.98382192675978E16
24900	6.9700539657577E16
25000	6.95942125397961E16
25100	6.94989844908148E16
25200	6.93361268103548E16
25300	6.91664518620218E16
25400	6.91010967263737E16
25500	6.89595497448455E16
25600	6.88493414047249E16
25700	6.8748465008362E16
25800	6.86069360795574E16
25900	6.85095997397724E16
26000	6.83813453220303E16
26100	6.81696546405249E16
26200	6.80838655882879E16
26300	6.78854287897258E16
26400	6.77008380074142E16
26500	6.7530061246156E16
26600	6.74329694906178E16
26700	6.72343598978675E16
26800	6.70280193472772E16
26900	6.68372928158048E16
27000	6.66842932484874E16
27100	6.65060343507215E16
27200	6.62490955019685E16
27300	6.60410426017817E16
27400	6.58119938122075E16
27500	6.55774178079303E16
27600	6.53828311863203E16
27700	6.51856120864969E16
27800	6.49643086445666E16
27900	6.47647652520751E16
28000	6.45515658927173E16
28100	6.43413477585971E16
28200	6.41573560291111E16
28300	6.39027981933034E16
28400	6.36278112458486E16
28500	6.33689083187692E16
28600	6.30618876043985E16
28700	6.27551462405514E16
28800	6.2454383980376E16
28900	6.20857089888221E16
29000	6.1704694658796E16
29100	6.12460322173184E16
29200	6.08526023004351E16
29300	6.03452456442313E16
29400	6.01053388664258E16
29500	6.0054909693077E16
29600	5.99718843192332E16
29700	5.98537042360554E16
29800	5.96698721689601E16
29900	5.94733836748698E16
30000	5.92507314826123E16
