# Te	G
# K	W/(m^3K)
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	308309453286966.2
1300	1239093193227204
1400	834222055060358
1500	919991999195748.5
1600	1891667240303386
1700	2025251816341727
1800	2286731007331136
1900	2669636172795447
2000	3029469742535741
2100	3352960548382963
2200	3792107370126328
2300	4238277322165683
2400	4736872172354761
2500	5303217706387161
2600	5829209444601189
2700	6381671236826024
2800	6947967922104251
2900	7523361019194069
3000	8111772372757884
3100	8748327453071400
3200	9415308150339716
3300	1.001808171759974E+16
3400	1.070050894197327E+16
3500	1.129128545030474E+16
3600	1.186020692113451E+16
3700	1.575788677227479E+16
3800	1.648790866161763E+16
3900	1.72707052824593E+16
4000	1.813816801705398E+16
4100	1.887273269905306E+16
4200	2.680593696523345E+16
4300	3.013171554122532E+16
4400	3.127940936642517E+16
4500	3.238535683662157E+16
4600	3.356474781125227E+16
4700	3.519797376452345E+16
4800	3.672793212259652E+16
4900	3.749806329554591E+16
5000	3.879508062299699E+16
5100	4.010343822844717E+16
5200	4.145659123903463E+16
5300	4.306582300616984E+16
5400	4.469150047492881E+16
5500	4.627409538730586E+16
5600	4.804763833468265E+16
5700	5.008894257207712E+16
5800	5.193366846662574E+16
5900	5.372703591984378E+16
6000	5.527753205169604E+16
6100	5.716232203589682E+16
6200	5.903509305591631E+16
6300	6.116829251905753E+16
6400	6.343415704923894E+16
6500	6.581519326140052E+16
6600	6.815180365764282E+16
6700	7.050667013368092E+16
6800	7.291696899654939E+16
6900	7.544508274278309E+16
7000	7.866307457374691E+16
7100	8.174073344613869E+16
7200	8.41111254393005E+16
7300	8.676999437886296E+16
7400	9.022100716692182E+16
7500	9.24164411087775E+16
7600	9.584161225704165E+16
7700	9.815611774842603E+16
7800	1.027402038906785E+17
7900	1.044828481859409E+17
8000	1.07773349821834E+17
8100	1.10694113069689E+17
8200	1.137684962238931E+17
8300	1.19409393782818E+17
8400	1.219529133929592E+17
8500	1.234060489376999E+17
8600	1.266692133849344E+17
8700	1.359081788288793E+17
8800	1.335350870436911E+17
8900	1.366990019649278E+17
9000	1.395828053138213E+17
9100	1.427037852518828E+17
9200	1.486668170588017E+17
9300	1.489421102863536E+17
9400	1.517595446480237E+17
9500	1.552965792357631E+17
9600	1.615548516124088E+17
9700	1.613803996643071E+17
9800	1.649836039739241E+17
9900	1.704619409129418E+17
10000	1.703465873521572E+17
10100	1.792001492743989E+17
10200	1.762743723374723E+17
10300	1.790828454204738E+17
10400	1.820768492487666E+17
10500	1.850378053572844E+17
10600	1.879560118476449E+17
10700	1.964268816756907E+17
10800	1.9417419326224E+17
10900	1.971696761813116E+17
11000	2.003245602968245E+17
11100	2.153871470551336E+17
11200	2.064452035028655E+17
11300	2.09775719001339E+17
11400	2.130228772258265E+17
11500	2.158452929245413E+17
11600	2.518510985716134E+17
11700	2.218238292169701E+17
11800	2.244100850267474E+17
11900	2.271001988636857E+17
12000	2.297289790030402E+17
12100	2.324291657161236E+17
12200	2.3520861259057E+17
12300	2.380647777677233E+17
12400	2.411853275340041E+17
12500	2.442112323361848E+17
12600	2.471646986337614E+17
12700	2.497490053897742E+17
12800	2.520924688840822E+17
12900	2.542072274842633E+17
13000	2.892937699139063E+17
13100	2.587628528141433E+17
13200	2.61001716417557E+17
13300	2.633719192986807E+17
13400	2.659794399252335E+17
13500	2.686035698919974E+17
13600	3.102204537632766E+17
13700	2.734786854340228E+17
13800	2.759092285422378E+17
13900	2.78354822156986E+17
14000	2.811170605190047E+17
14100	2.84194000888923E+17
14200	2.872201599136572E+17
14300	2.900355913598231E+17
14400	2.929913043963559E+17
14500	2.958079917467527E+17
14600	2.988936357443652E+17
14700	3.028077033732045E+17
14800	3.612332703235285E+17
14900	3.063785281503924E+17
15000	3.085950601876188E+17
15100	3.109801731283711E+17
15200	3.135456987809192E+17
15300	3.657395091863437E+17
15400	3.197219817388856E+17
15500	3.810118667288683E+17
15600	4.056567063309375E+17
15700	3.288975157683521E+17
15800	4.099994769706799E+17
15900	3.329631817988589E+17
16000	3.351001206230408E+17
16100	3.370434112158372E+17
16200	4.297619339950794E+17
16300	3.413525822151018E+17
16400	4.837732927157818E+17
16500	3.456843632798136E+17
16600	3.476077914625574E+17
16700	3.499444067258274E+17
16800	3.527601675309998E+17
16900	3.569589023594776E+17
17000	3.602509148083284E+17
17100	3.592873153557513E+17
17200	3.594607081759764E+17
17300	3.612051681490696E+17
17400	3.638850958718343E+17
17500	3.679112231916219E+17
17600	3.69541168352327E+17
17700	3.715534251172422E+17
17800	3.73606874487899E+17
17900	3.757577367183033E+17
18000	3.779775869068813E+17
18100	3.799112047144816E+17
18200	7.456287375722118E+17
18300	3.847622619288885E+17
18400	3.876459903543172E+17
18500	3.910618267505555E+17
18600	3.938010334564344E+17
18700	3.955110161689419E+17
18800	3.967405607671215E+17
18900	3.984206563863763E+17
19000	4.005443240957442E+17
19100	5.443650593920676E+17
19200	4.047391695663633E+17
19300	4.068801517553482E+17
19400	4.091570165281284E+17
19500	4.113987451726161E+17
19600	4.131518025711897E+17
19700	4.148508593972938E+17
19800	4.16912452998494E+17
19900	4.188243110133028E+17
20000	4.208238680383257E+17
20100	6.520341070906794E+17
20200	4.250628545644404E+17
20300	4.278740756305795E+17
20400	4.309679028610829E+17
20500	4.325302738749456E+17
20600	4.335038747363724E+17
20700	4.34659866044589E+17
20800	4.364600550479949E+17
20900	4.38627180913802E+17
21000	4.410394621624721E+17
21100	4.43476832531188E+17
21200	7.700490943228815E+17
21300	4.496206779038039E+17
21400	4.529047914191851E+17
21500	9.641435389445362E+17
21600	4.615936669377642E+17
21700	7.687384228022962E+17
21800	4.671066466930943E+17
21900	6.931122001848244E+17
22000	4.736475414319011E+17
