# Te	G
# K	W/(m^3K)
600	6.22355626029808E15
700	6.40134783074803E15
800	6.57913940119797E15
900	6.75693097164791E15
1000	6.93472254209786E15
1100	7.1125141125478E15
1200	7.25777814978817E15
1300	7.70152835632059E15
1400	8.03680775682847E15
1500	8.36947005298364E15
1600	8.91222815344698E15
1700	9.36023638278916E15
1800	9.88204770771479E15
1900	1.03446014948309E16
2000	1.07795384862821E16
2100	1.13267318937639E16
2200	1.17474033793784E16
2300	1.22156270866317E16
2400	1.25750511448837E16
2500	1.29282558133026E16
2600	1.32052280671441E16
2700	1.35087404269395E16
2800	1.38007337568804E16
2900	1.40565404654324E16
3000	1.42924706123519E16
3100	1.44934231852499E16
3200	1.4704689945415E16
3300	1.48126875729457E16
3400	1.49849692156218E16
3500	1.51017831427089E16
3600	1.52192060999127E16
3700	1.53394895848671E16
3800	1.54460830825082E16
3900	1.55397930127043E16
4000	1.56430781533441E16
4100	1.57296138818529E16
4200	1.579790439101E16
4300	1.58841454416186E16
4400	1.5958533048733E16
4500	1.60142355643612E16
4600	1.60853144821899E16
4700	1.61431664142189E16
4800	1.61910166861764E16
4900	1.62387353769918E16
5000	1.62867437451479E16
5100	1.63338125530576E16
5200	1.63673756992528E16
5300	1.64162977191168E16
5400	1.64607212267359E16
5500	1.64990045588038E16
5600	1.65380460885253E16
5700	1.65724262398999E16
5800	1.66063050833404E16
5900	1.66417679487484E16
6000	1.66719325004394E16
6100	1.67029442280199E16
6200	1.67322164019498E16
6300	1.67651801731317E16
6400	1.67905107846779E16
6500	1.6817522600825E16
6600	1.68459272312154E16
6700	1.68675097646503E16
6800	1.68974474205695E16
6900	1.69236875726254E16
7000	1.69517926589611E16
7100	1.6977745108301E16
7200	1.7004492889405E16
7300	1.70285417503673E16
7400	1.70561904719549E16
7500	1.70813993122577E16
7600	1.7105903990558E16
7700	1.7129480278055E16
7800	1.71530944228881E16
7900	1.71715711634575E16
8000	1.71978894985683E16
8100	1.72199312864274E16
8200	1.72383103790322E16
8300	1.72634313299842E16
8400	1.72849025295047E16
8500	1.73047890551533E16
8600	1.73259475058905E16
8700	1.73460290698645E16
8800	1.73659751821447E16
8900	1.73869038417675E16
9000	1.74073106357344E16
9100	1.74240545987429E16
9200	1.74481223566414E16
9300	1.74683227038506E16
9400	1.7487493504063E16
9500	1.75069254723776E16
9600	1.75263797446378E16
9700	1.75452051808653E16
9800	1.75616034799949E16
9900	1.75825259919507E16
10000	1.76003714848236E16
10100	1.76189228271465E16
10200	1.76357441693951E16
10300	1.76492914258445E16
10400	1.76671024206138E16
10500	1.76812838998852E16
10600	1.76974886481542E16
10700	1.7713000177665E16
10800	1.77282087559497E16
10900	1.77432273661898E16
11000	1.77572641454194E16
11100	1.77717240788555E16
11200	1.77871925874121E16
11300	1.78015192588319E16
11400	1.78158459302516E16
11500	1.78288658715277E16
11600	1.78438125006727E16
11700	1.78576697328249E16
