# Te	G
# K	W/(m^3K)
500	6.6778911335213E16
600	1.31613460478619E17
700	2.22425026440942E17
800	2.9274137796221E17
900	3.37903462119879E17
1000	3.69064201109584E17
1100	3.98751556587403E17
1200	4.19907146117917E17
1300	4.33068876529033E17
1400	4.41350274208267E17
1500	4.42413325854547E17
1600	4.40779628598703E17
1700	4.38614344162917E17
1800	4.35750290759215E17
1900	4.32316698059319E17
2000	4.28823208698918E17
2100	4.25365793345487E17
2200	4.21667445624259E17
2300	4.18834906660916E17
2400	4.15280967800413E17
2500	4.12015292639913E17
2600	4.09176176869011E17
2700	4.04987801285825E17
2800	4.01479668822074E17
2900	3.97705580842283E17
3000	3.94525374708484E17
3100	3.91291638853886E17
3200	3.8770412564446E17
3300	3.8506807821211E17
3400	3.8180272823005E17
3500	3.79459820142237E17
3600	3.76382528155963E17
3700	3.7320605583137E17
3800	3.70695589289641E17
3900	3.67738069032388E17
4000	3.6515784340265E17
4100	3.62854247550233E17
4200	3.60362178181482E17
4300	3.58465813697961E17
4400	3.5641093440945E17
4500	3.54557596292931E17
4600	3.53068599350261E17
4700	3.51490581312121E17
4800	3.50279175184666E17
4900	3.4925136592911E17
5000	3.48257509834359E17
5100	3.47562063825994E17
5200	3.47037532798086E17
5300	3.46692570493997E17
5400	3.4646604630413E17
5500	3.46296406453886E17
5600	3.46351576035604E17
5700	3.46476154094879E17
5800	3.46592886602607E17
5900	3.46878405696813E17
6000	3.47283065147943E17
6100	3.47841459323945E17
6200	3.48394933920168E17
6300	3.48818093327803E17
6400	3.49276055283914E17
6500	3.50112980225119E17
6600	3.50514055402133E17
6700	3.51706182188919E17
6800	3.52751095229532E17
6900	3.53883486117776E17
7000	3.54744246536606E17
7100	3.56255838605606E17
7200	3.57486567993362E17
7300	3.58480304272452E17
7400	3.59740215137694E17
7500	3.61125623102667E17
7600	3.62454945339562E17
7700	3.63626197547386E17
7800	3.65076302213055E17
7900	3.66679019424105E17
8000	3.67996383514003E17
8100	3.69618628603283E17
8200	3.70978574105945E17
8300	3.72493481968884E17
8400	3.7411089794069E17
8500	3.75542080065687E17
8600	3.7724176081145E17
8700	3.78650030160938E17
8800	3.79994747942138E17
8900	3.8191761401669E17
9000	3.8342998695082E17
9100	3.85029720733617E17
9200	3.86678306871296E17
9300	3.88118310633309E17
9400	3.89536740032062E17
9500	3.91464219539043E17
9600	3.92918454978478E17
9700	3.94526207359127E17
9800	3.96243545034185E17
9900	3.9762661941655E17
10000	3.99251347811655E17
10100	4.00669922602026E17
10200	4.02542705244376E17
10300	4.04005718803812E17
10400	4.0561481153155E17
10500	4.07103325299469E17
10600	4.08380048942532E17
10700	4.09940666116961E17
10800	4.11327775050897E17
10900	4.12655750892089E17
11000	4.142443239941E17
11100	4.15646033509942E17
11200	4.16901888065964E17
11300	4.18321378122607E17
11400	4.19851027572287E17
11500	4.21044400367122E17
11600	4.22414284759199E17
11700	4.23883668429147E17
11800	4.25291106784428E17
11900	4.26486526363887E17
12000	4.27893057288268E17
12100	4.29058064537712E17
12200	4.30418360352556E17
12300	4.31628781672468E17
12400	4.33088017451649E17
12500	4.34413383205686E17
12600	4.35980700385346E17
12700	4.37242924359055E17
12800	4.38629642789299E17
12900	4.40131134064204E17
13000	4.41447794529687E17
13100	4.4269455163764E17
13200	4.43845053241496E17
13300	4.45184267781886E17
13400	4.46509490914E17
13500	4.47772351332863E17
13600	4.48986152790253E17
13700	4.49825712631705E17
13800	4.51242288023247E17
13900	4.52480232768818E17
14000	4.53717211255565E17
14100	4.55005510239971E17
14200	4.56134110381883E17
14300	4.57174172786374E17
14400	4.58437859614374E17
14500	4.59353546173524E17
14600	4.60707554172158E17
14700	4.62138122818434E17
14800	4.63057401261676E17
14900	4.64655724690679E17
15000	4.65810219175205E17
15100	4.67655688310831E17
15200	4.69279814969195E17
15300	4.7049741505581E17
15400	4.72500354991667E17
15500	4.74111462985467E17
15600	4.76852756657768E17
15700	4.7909550661825E17
15800	4.80387822023231E17
15900	4.80967366672804E17
16000	4.81675208553344E17
16100	4.82432837238861E17
16200	4.83056683962369E17
16300	4.83903395710429E17
16400	4.84675671991382E17
16500	4.85240949067256E17
16600	4.8586969715668E17
16700	4.87083464079484E17
16800	4.88333251586268E17
16900	4.88728731184415E17
17000	4.89589495174633E17
17100	4.91287858679199E17
17200	4.91750100448972E17
17300	4.91767631385974E17
17400	4.91801889590982E17
17500	4.91946205009611E17
17600	4.92294629321605E17
17700	4.92198602834687E17
17800	4.9227277062391E17
17900	4.92282396283424E17
18000	4.92591766550971E17
