# Te	G
# K	W/(m^3K)
400	92356041270541.8
500	117317133505823
600	142278225741105
700	167239317976386
800	192200410211668
900	217161502446950
1000	242122594682231
1100	267083686917513
1200	292044779152794
1300	317005871388076
1400	341966963623357
1500	379355516987753
1600	449663394469866
1700	510346111660299
1800	571028828850732
1900	631711546041164
2000	692394263231598
2100	753076980422030
2200	813759697612463
2300	874442414802896
2400	935125131993329
2500	995807849183762
2600	1.05571447765964E15
2700	1.14842743507761E15
2800	1.23043494647733E15
2900	1.3078792559679E15
3000	1.47314179513575E15
3100	1.62003447198399E15
3200	1.91942651227204E15
3300	2.16191050374983E15
3400	2.40439449522762E15
3500	2.6468784867054E15
3600	2.88936247818319E15
3700	3.13184646966098E15
3800	3.37433046113876E15
3900	3.61681445261655E15
4000	3.83796013091297E15
4100	4.04212466868104E15
4200	4.3961036532881E15
4300	4.72746459663866E15
4400	5.0048265503287E15
4500	5.37719014523057E15
4600	5.6930805232401E15
4700	6.00231812697569E15
4800	6.34518893014688E15
4900	6.65405185461819E15
5000	6.9236816260572E15
5100	7.20918089604593E15
5200	7.48640918802762E15
5300	7.72712940358572E15
5400	8.00447787651177E15
5500	8.25890663217563E15
5600	8.48824070416739E15
5700	8.71615709770169E15
5800	8.97482093064237E15
5900	9.26067993418777E15
6000	9.55710348177048E15
6100	9.82636434846559E15
6200	1.01190796714228E16
6300	1.03489016387741E16
6400	1.06465021212811E16
6500	1.08920197032462E16
6600	1.10746822988403E16
6700	1.1338911575147E16
6800	1.1566434613127E16
6900	1.1793957651107E16
7000	1.2021480689087E16
7100	1.2249003727067E16
7200	1.2476526765047E16
7300	1.2682221989211E16
7400	1.28840582132211E16
7500	1.31211949244332E16
7600	1.3327361649786E16
7700	1.34985908762479E16
7800	1.37001862137357E16
7900	1.39156990800871E16
8000	1.41149937546436E16
8100	1.43136501790671E16
8200	1.45123066034906E16
8300	1.46917337395186E16
8400	1.50063168732645E16
8500	1.52637377539755E16
8600	1.55217436762073E16
8700	1.57533782685975E16
8800	1.59454016418637E16
8900	1.61421289670739E16
9000	1.63388562922842E16
9100	1.6508557876661E16
9200	1.67205138138888E16
9300	1.68931190589831E16
9400	1.70404419156784E16
9500	1.72006743321392E16
9600	1.73500652460678E16
9700	1.7505487720479E16
9800	1.76829669733404E16
9900	1.78744719398424E16
10000	1.80468240740823E16
10100	1.82500720631045E16
10200	1.8461062185782E16
10300	1.86628362487386E16
10400	1.8879598853905E16
10500	1.90691399896185E16
10600	1.92368282766161E16
10700	1.93625485647217E16
10800	1.94900615427428E16
10900	1.96155878644003E16
11000	1.97578327739305E16
11100	1.98955487474948E16
11200	2.00331067839279E16
11300	2.01767618769147E16
11400	2.03377575537526E16
11500	2.04909875301978E16
11600	2.06731944726648E16
11700	2.08340706404747E16
11800	2.10189636173273E16
11900	2.12356025288542E16
12000	2.1431008793779E16
12100	2.16264150587037E16
12200	2.181577586418E16
12300	2.19929509560693E16
12400	2.22577614780349E16
12500	2.24801989776804E16
12600	2.2702636477326E16
12700	2.29250739769716E16
12800	2.31475114766171E16
12900	2.33448052946605E16
13000	2.35706281515612E16
13100	2.38198517045502E16
13200	2.40638794664473E16
13300	2.42962859555621E16
13400	2.4504574741613E16
13500	2.47570451632289E16
13600	2.49809093119324E16
13700	2.52325566077081E16
13800	2.54943293330985E16
13900	2.57492091982209E16
14000	2.60040890633434E16
14100	2.62374766996551E16
14200	2.65044896220969E16
14300	2.67534107148085E16
14400	2.69817220385678E16
14500	2.73186657717938E16
14600	2.76012352293093E16
14700	2.79425602887865E16
14800	2.82408432720026E16
14900	2.86057461852898E16
15000	2.89868282154105E16
15100	2.94047856895127E16
15200	2.98076932795198E16
15300	3.01933158646387E16
15400	3.06290593280462E16
15500	3.10415247647027E16
15600	3.14539902013592E16
15700	3.18664556380158E16
15800	3.22789210746723E16
15900	3.2636022966725E16
16000	3.30179287454054E16
16100	3.34635912486364E16
