# Te	G
# K	W/(m^3K)
600	1.68393767858869E17
700	2.04360788110874E17
800	2.16945614094317E17
900	2.21965943824031E17
1000	2.25782058201221E17
1100	2.28703093047555E17
1200	2.30519069984867E17
1300	2.30779452753555E17
1400	2.30833722304587E17
1500	2.29654530264292E17
1600	2.278525196221E17
1700	2.25785326119499E17
1800	2.22329581144101E17
1900	2.19236979231247E17
2000	2.17018676043328E17
2100	2.15202801373726E17
2200	2.13551036488898E17
2300	2.09046789529262E17
2400	2.07199140008147E17
2500	2.05584092956946E17
2600	2.04281543963076E17
2700	2.03452084107691E17
2800	2.03063333899731E17
2900	2.03751972664772E17
3000	2.04975603148792E17
3100	2.05690289762391E17
3200	2.06253921156954E17
3300	2.07548980486104E17
3400	2.09214874885408E17
3500	2.11422280274843E17
3600	2.13682844798165E17
3700	2.17708687076323E17
3800	2.20314789725285E17
3900	2.23557001396841E17
4000	2.26943064058663E17
4100	2.29704359973218E17
4200	2.32717331400439E17
4300	2.36940607493659E17
4400	2.3966690451546E17
4500	2.43696504002181E17
4600	2.47548725825963E17
4700	2.51978909058794E17
4800	2.55368418287092E17
4900	2.59683705858908E17
5000	2.63900498309362E17
5100	2.67809641467886E17
5200	2.72959703767183E17
5300	2.76373568213059E17
5400	2.79737373066858E17
5500	2.8450945352473E17
5600	2.87011357379346E17
5700	2.92823337987419E17
5800	2.9653335315196E17
5900	3.00062135065454E17
6000	3.04416386596993E17
6100	3.08859431631162E17
6200	3.13432917015749E17
6300	3.17029681398368E17
6400	3.20480165195726E17
6500	3.2561036516934E17
6600	3.28492717446739E17
6700	3.32194030592519E17
6800	3.35620784918133E17
6900	3.38753992397268E17
7000	3.43094413313236E17
7100	3.47029403693725E17
7200	3.50998811894502E17
7300	3.5522249393222E17
7400	3.58405830750191E17
7500	3.61599754732223E17
7600	3.65848083606007E17
7700	3.68015918373614E17
7800	3.72566782198616E17
7900	3.75820529133745E17
8000	3.79211569638626E17
8100	3.83151736105751E17
8200	3.86316572777565E17
8300	3.89161756561078E17
8400	3.92200645649257E17
8500	3.95109756261245E17
8600	3.96146480957521E17
8700	4.00465546916052E17
8800	4.03240350181904E17
8900	4.0594618897455E17
9000	4.09372848103543E17
9100	4.12476556226869E17
9200	4.15387626537734E17
9300	4.18232881517146E17
9400	4.21315903286237E17
9500	4.2316876349836E17
9600	4.26202602887892E17
9700	4.28467265519308E17
9800	4.29937272337308E17
9900	4.33253710331524E17
10000	4.36151106917993E17
10100	4.37836556895742E17
10200	4.40750740377785E17
10300	4.42671211639783E17
10400	4.44928382948782E17
10500	4.47205360791543E17
10600	4.49698855438323E17
10700	4.51918221462924E17
10800	4.54078826330899E17
10900	4.56227975868007E17
11000	4.58262476711808E17
11100	4.59544668784304E17
11200	4.62358372326046E17
11300	4.64376052158506E17
11400	4.65824668443564E17
11500	4.6743761773429E17
11600	4.69190718964662E17
11700	4.70901687028928E17
11800	4.73076532055772E17
11900	4.75324302255397E17
12000	4.76892173014228E17
12100	4.79000639222264E17
12200	4.80843052897288E17
12300	4.82726389872256E17
12400	4.84843638905885E17
12500	4.87233333663117E17
12600	4.88541181160276E17
12700	4.90111138018029E17
12800	4.91426773668426E17
12900	4.92914219489071E17
13000	4.93918940174993E17
13100	4.95750066771266E17
13200	4.97311798096546E17
13300	4.99501307597732E17
13400	5.01458237195298E17
13500	5.02691566480367E17
13600	5.03334576119497E17
13700	5.05413302527519E17
13800	5.06646113048365E17
13900	5.08191738500191E17
14000	5.09623215986701E17
14100	5.10157396403246E17
14200	5.11788124263218E17
14300	5.13989687639703E17
14400	5.15278919798744E17
14500	5.16993387206179E17
14600	5.18233235549642E17
14700	5.18868323327109E17
14800	5.20788154202688E17
14900	5.21897866648798E17
15000	5.23298500604582E17
15100	5.24591015201328E17
15200	5.25447493485887E17
15300	5.26042737109607E17
15400	5.26653042752849E17
15500	5.28503204505738E17
15600	5.29939661162307E17
15700	5.30275710403222E17
15800	5.32184832801948E17
15900	5.33853082786215E17
16000	5.35313590591007E17
16100	5.35929836737145E17
16200	5.37434533976214E17
16300	5.38570647820253E17
16400	5.39425429922802E17
16500	5.41251484322172E17
16600	5.41747519428551E17
16700	5.44339547508985E17
16800	5.44583454477998E17
16900	5.45450640621302E17
17000	5.47098714004796E17
17100	5.47598026217094E17
17200	5.49241662183372E17
17300	5.50975396366864E17
17400	5.53880209772701E17
17500	5.55892351409758E17
17600	5.56279173828144E17
17700	5.5983649879915E17
17800	5.58857554804753E17
17900	5.61408392495546E17
18000	5.64896325375336E17
