# Te	G
# K	W/(m^3K)
400	4.0621401713278E15
500	4.78773850163086E15
600	4.7574127600502E15
700	4.72708701846954E15
800	4.69676127688887E15
900	4.66643553530821E15
1000	4.63610979372755E15
1100	4.60578405214688E15
1200	4.57545831056622E15
1300	4.54513256898556E15
1400	4.52293015746788E15
1500	5.26294124477423E15
1600	5.74793288845838E15
1700	6.22771047096268E15
1800	6.94679749735186E15
1900	7.56930629178285E15
2000	8.39291859953902E15
2100	9.29647243945781E15
2200	9.92914194680984E15
2300	1.01455607416556E16
2400	1.05100711925942E16
2500	1.08346758739623E16
2600	1.11893822878197E16
2700	1.15373260979599E16
2800	1.19289104484702E16
2900	1.25837954127111E16
3000	1.31185113032431E16
3100	1.35893103838718E16
3200	1.3991995787389E16
3300	1.43317535614734E16
3400	1.46080714538386E16
3500	1.48996077724372E16
3600	1.51480081777814E16
3700	1.53908905745128E16
3800	1.56159782307546E16
3900	1.58267971511681E16
4000	1.60647927430164E16
4100	1.63372800911781E16
4200	1.66016140651412E16
4300	1.69229775751223E16
4400	1.72316735575866E16
4500	1.75146710741666E16
4600	1.79115898680369E16
4700	1.82693668896894E16
4800	1.86192705519961E16
4900	1.91119352928338E16
5000	1.95360542726225E16
5100	1.9892645951585E16
5200	2.05209645689508E16
5300	2.09586882792515E16
5400	2.15537648269497E16
5500	2.21357363843035E16
5600	2.25997439539204E16
5700	2.32397716894184E16
5800	2.38836341755069E16
5900	2.44518606145178E16
6000	2.50748184583352E16
6100	2.57628826643691E16
6200	2.63258358650947E16
6300	2.69970902523293E16
6400	2.76044458118757E16
6500	2.83477110693609E16
6600	2.89832301440895E16
6700	2.97032571129426E16
6800	3.03088514375227E16
6900	3.10012744582825E16
7000	3.16443343131113E16
7100	3.23068065161887E16
7200	3.28586008158504E16
7300	3.35748884251522E16
7400	3.41546965743554E16
7500	3.48368003041663E16
7600	3.53894588219743E16
7700	3.6156632796362E16
7800	3.68262500706771E16
7900	3.74734812253079E16
8000	3.81674010412159E16
8100	3.88562764303228E16
8200	3.9583857824212E16
8300	4.01671922420032E16
8400	4.09180899814652E16
8500	4.15288075746104E16
8600	4.21749001443676E16
8700	4.28172307833777E16
8800	4.34135893764885E16
8900	4.40211476275495E16
9000	4.46136573233503E16
9100	4.51274421916968E16
9200	4.58051206984531E16
9300	4.63376445410881E16
9400	4.69308454786632E16
9500	4.75668838934928E16
9600	4.8132079960126E16
9700	4.8687095089374E16
9800	4.92949399987482E16
9900	4.98947858133375E16
10000	5.04581384232895E16
10100	5.09526541412954E16
10200	5.15817336443345E16
10300	5.21327721914167E16
10400	5.2609713808984E16
10500	5.3222704966457E16
10600	5.37665768791895E16
10700	5.42230259420651E16
10800	5.48077022416886E16
10900	5.53432061995062E16
11000	5.58584972445153E16
11100	5.63726092812054E16
11200	5.67525899862881E16
11300	5.7377200778194E16
11400	5.78582081824771E16
11500	5.83344021363481E16
11600	5.88056218179477E16
11700	5.92465971677401E16
11800	5.97654605797497E16
11900	6.02177151132127E16
12000	6.06869688330324E16
12100	6.11432787847874E16
12200	6.15947496268084E16
12300	6.20091856711891E16
12400	6.2434500800212E16
12500	6.27991656923052E16
12600	6.3226651680191E16
12700	6.36061819857617E16
12800	6.39834745457702E16
12900	6.4327779413105E16
13000	6.47176592336275E16
13100	6.50837949504062E16
13200	6.54050035846438E16
13300	6.57889916608605E16
13400	6.60850568296762E16
13500	6.64193525029693E16
13600	6.67732869285026E16
13700	6.70877126091683E16
13800	6.73849703597601E16
13900	6.77065294168722E16
14000	6.80089162864828E16
14100	6.83169580364265E16
14200	6.86215521959772E16
14300	6.88991712965297E16
14400	6.9175388653067E16
14500	6.94629102802744E16
14600	6.97408139889435E16
14700	6.99607386264135E16
14800	7.02210717538147E16
14900	7.04647515037483E16
15000	7.06995348700283E16
15100	7.09343182363084E16
15200	7.11479877818659E16
15300	7.13998420750862E16
15400	7.16182744212452E16
15500	7.18356919333399E16
15600	7.20366302558378E16
15700	7.22615405922752E16
15800	7.24617845922776E16
15900	7.26271778567879E16
16000	7.28373870171377E16
16100	7.29951689550219E16
16200	7.31828439898893E16
16300	7.33538740461429E16
16400	7.35257789423727E16
16500	7.37006343152923E16
16600	7.38738282582928E16
16700	7.40332573866224E16
16800	7.41804214334197E16
16900	7.43367651388708E16
17000	7.44676808335249E16
17100	7.45969411908948E16
17200	7.47461468132177E16
17300	7.48755157955583E16
17400	7.49626169183364E16
17500	7.50918624152592E16
17600	7.51969128452837E16
17700	7.52970905671877E16
17800	7.53995654624451E16
17900	7.55028916894166E16
18000	7.56064479839364E16
18100	7.57100042784563E16
18200	7.5806406491521E16
18300	7.58865659205325E16
18400	7.59941038486429E16
18500	7.60788586169413E16
18600	7.61570459573766E16
18700	7.62207922350096E16
18800	7.62939698607953E16
18900	7.6363996167795E16
19000	7.64282321706501E16
19100	7.64798209494161E16
19200	7.65446057331509E16
19300	7.6602045834029E16
19400	7.6606996484376E16
19500	7.66129704755792E16
19600	7.66406182886239E16
19700	7.66613111560568E16
19800	7.66568371056744E16
19900	7.66579018662616E16
20000	7.66692693459124E16
20100	7.6690132643531E16
20200	7.66801878270461E16
20300	7.66739115249168E16
20400	7.66556999875423E16
20500	7.66629271998322E16
20600	7.66573560642667E16
20700	7.66836808864658E16
20800	7.66508469512838E16
20900	7.66449688845598E16
21000	7.66179753777728E16
21100	7.66010626128421E16
21200	7.65708225679567E16
21300	7.65203847193977E16
21400	7.64772172274783E16
21500	7.6454467200721E16
21600	7.63845836923978E16
21700	7.63623714174127E16
21800	7.6258299036178E16
21900	7.61394743217955E16
22000	7.60598138491313E16
22100	7.60113626979124E16
22200	7.58317434478641E16
22300	7.57604351367505E16
22400	7.55601444158532E16
22500	7.54589237562323E16
22600	7.52294712595393E16
22700	7.51654962911981E16
22800	7.49274172371242E16
22900	7.45366998200732E16
23000	7.42822642695059E16
23100	7.41986218388104E16
23200	7.41945982785915E16
23300	7.41906771512807E16
23400	7.41858551457742E16
23500	7.4141386712481E16
23600	7.41351035557873E16
23700	7.40947681778567E16
23800	7.40808779329187E16
23900	7.40583535255693E16
24000	7.40197799623265E16
24100	7.39759910564938E16
24200	7.38962813397456E16
24300	7.38283676058911E16
24400	7.37651851400066E16
24500	7.36855945478774E16
24600	7.3628581782145E16
24700	7.35879469583599E16
24800	7.34543062854713E16
24900	7.33222227060395E16
25000	7.32604148802174E16
