# Te	Ce
# K	J/(m^3K)
400	85745.1448603872
500	112018.679958663
600	131992.452587758
700	151966.225216853
800	171939.997845949
900	191913.770475044
1000	210007.95963772
1100	234366.263345682
1200	259133.570821568
1300	280949.378096381
1400	309169.710487301
1500	338548.641976022
1600	377803.113663971
1700	418491.602322651
1800	459560.70865262
1900	496861.371508362
2000	537439.336987842
2100	585662.405362527
2200	629852.148181306
2300	672127.915800681
2400	716189.750697668
2500	763105.633556655
2600	815123.181792834
2700	857067.325466483
2800	904467.327298518
2900	948299.482641794
3000	991108.010153337
3100	1042475.49240479
3200	1075661.65839389
3300	1129610.12166954
3400	1171819.76496828
3500	1215741.94909082
3600	1249648.98747013
3700	1299045.98198955
3800	1335340.83043684
3900	1377623.13560902
4000	1414791.13844033
4100	1457693.39459643
4200	1496455.86999129
4300	1531235.23865552
4400	1567134.87600006
4500	1606178.57714813
4600	1641944.74089525
4700	1677538.85845511
4800	1710356.61137379
4900	1743122.7673784
5000	1777812.5932626
5100	1809417.56127328
5200	1842012.63321519
5300	1874719.50386474
5400	1904165.93950722
5500	1934597.96758488
5600	1964731.15472645
5700	1991235.43544936
5800	2017807.53191594
5900	2048366.41842014
6000	2072893.0142619
6100	2099003.25750639
6200	2126745.78058454
6300	2149561.89105593
6400	2174471.10333723
6500	2198838.37799002
6600	2220434.32939602
6700	2242263.06714353
6800	2265713.59626016
6900	2284151.55306125
7000	2307713.96931551
7100	2326872.05082311
7200	2347442.05353198
7300	2365886.71204752
7400	2384178.37856788
7500	2403673.58927692
7600	2420819.28867248
7700	2436837.63635863
7800	2454169.91014946
7900	2469187.16201675
8000	2483438.7354438
8100	2498534.69844437
8200	2514495.63080914
8300	2527958.02288476
8400	2541791.08700132
8500	2556333.9391128
8600	2567465.4927518
8700	2579405.03191743
8800	2593313.73445441
8900	2604365.50210863
9000	2615130.08530848
9100	2626156.55236787
9200	2636044.16204911
9300	2646749.47581286
9400	2655221.15689011
9500	2663848.00803961
9600	2673800.17199503
9700	2681712.96628976
9800	2689763.86446991
9900	2697477.62218914
10000	2705073.06568647
10100	2711240.51958341
10200	2718545.50724336
10300	2724818.41829089
10400	2730356.41292718
10500	2736019.96403378
10600	2741336.43599229
10700	2746448.79895035
10800	2750915.04851264
10900	2755808.69066793
11000	2760859.48608307
11100	2764986.9713063
11200	2768784.0341224
11300	2771797.63870578
11400	2775176.16306449
11500	2778206.92773666
11600	2780976.15257237
11700	2783800.04358558
11800	2786478.26987037
11900	2788908.91563385
12000	2791035.92087573
12100	2792756.64946536
12200	2794254.7241145
12300	2796089.92212911
12400	2797395.61779987
12500	2797918.84526589
12600	2798548.30206159
12700	2799609.14646944
12800	2800448.77286651
12900	2801215.62080669
13000	2801929.1610316
13100	2802487.22342279
13200	2802844.86447268
13300	2802504.26191865
13400	2801635.90208238
13500	2800778.45900348
13600	2799495.23989465
13700	2798289.96188323
13800	2797076.4374359
13900	2795906.35885416
14000	2795473.62792114
14100	2795097.17155015
14200	2794743.47975451
14300	2794661.95613555
14400	2793097.69886658
14500	2792268.57451217
14600	2791366.02977837
14700	2791807.78554982
14800	2791594.32839154
14900	2791503.09398221
15000	2791584.76071289
15100	2791711.16624488
15200	2792701.54535715
15300	2791715.11229276
15400	2791122.071966
15500	2791943.36259293
15600	2791722.39523182
15700	2792466.536233
15800	2793958.44621996
15900	2797094.73840307
16000	2799356.42567863
16100	2800804.64958456
16200	2802740.57113258
16300	2806914.39157371
16400	2810546.69147803
16500	2813180.70647161
16600	2819247.78545764
16700	2825989.3684021
16800	2827570.3956559
16900	2830562.15179799
17000	2832188.71917234
17100	2835374.84182282
17200	2838808.24227152
17300	2841771.84264416
17400	2845990.17944128
17500	2849665.44669621
17600	2852806.43686299
17700	2852256.69374061
17800	2853067.31722923
17900	2859004.18500448
18000	2865472.53167907
18100	2871649.02910738
18200	2875887.24097353
18300	2878311.5004896
18400	2889036.75615186
18500	2898615.74885217
18600	2907650.92433471
18700	2908691.06954758
18800	2911618.5643302
18900	2914747.71852942
19000	2917451.65803169
