# Te	Ce	Ce	Ce	Ce
# K	J/(m^3K)	J/(m^3K)	J/(m^3K)	J/(m^3K)
# 	300 K	600 K	1000 K	1500 K
9600	1633246.07943895	1612777.85464273	1591416.70333293	1559891.11790035
9700	1661091.36968249	1636115.00015028	1617025.53115733	1588654.61468105
9800	1679020.53064399	1661439.47227931	1635152.90483717	1605305.45707864
9900	1705785.64164374	1684923.14697033	1660048.85677145	1628949.37765675
10000	1731619.76870169	1706008.47885316	1684440.49649344	1655816.34344932
10100	1758991.20438266	1731636.98559312	1709256.03241876	1674391.10271758
10200	1773440.0861378	1750883.64903608	1729457.17174988	1695464.61295875
10300	1800173.34757882	1780656.66925845	1753104.48615806	1719582.16039222
10400	1828007.41825671	1802068.25893143	1778968.75584951	1746835.38587237
10500	1849814.51676582	1818932.92651876	1795653.11430975	1766359.62705051
10600	1874029.349646	1850193.99923337	1818255.82644057	1783235.81882604
10700	1900289.91615942	1872479.71196532	1844466.47575257	1814822.54189426
10800	1918974.67807484	1886829.48623515	1863733.04180103	1836186.90547679
10900	1937340.82345975	1917138.49521241	1886523.94463012	1851156.3793048
11000	1970350.29177374	1938088.92573192	1913437.23162289	1878387.56284191
11100	1983781.0915308	1959945.56656257	1929458.95076417	1897672.86856664
11200	2013612.2538492	1986902.73063658	1954756.15606164	1917048.15023373
11300	2038836.69540304	2005453.5632409	1980032.7226063	1944177.98374628
11400	2061553.93873791	2032103.84830669	1996455.24403987	1962627.7612187
11500	2080779.29896329	2053632.38391322	2021844.46106326	1985610.13248894
11600	2099070.68956352	2073638.79239295	2042495.99214469	2005444.5302268
11700	2127116.38631251	2098908.99683165	2063216.23716018	2020789.55595821
11800	2147448.6884269	2113620.36312294	2083676.54444633	2048639.54086985
11900	2173415.99559238	2136942.45317456	2104650.49479233	2066061.6720103
12000	2193509.60147225	2162395.73198285	2129040.41300712	2089093.5503262
12100	2215383.36873444	2176914.24375416	2147899.58781847	2112849.90181042
12200	2238586.70827403	2203242.4466924	2172884.42988811	2127873.86510322
12300	2260085.22387077	2224893.93874965	2196722.96961328	2155510.42645637
12400	2282502.25209252	2244272.75158808	2216138.13915018	2176745.35028825
12500	2292441.86762777	2264457.03694516	2236851.9844133	2194281.53990621
12600	2325415.69152364	2286864.29120384	2261107.47181436	2216615.70895156
12700	2348765.48189297	2307827.93517088	2280249.75334196	2239667.3994589
12800	2363731.66944179	2331686.91481209	2296904.04699785	2261124.88319602
12900	2392096.38749469	2355098.68833271	2316858.91833786	2277965.10268337
13000	2414354.75570693	2372981.13283168	2338794.58998338	2301917.26252268
13100	2425280.94551159	2389818.99724868	2353638.57772489	2321483.89696904
13200	2450385.08914224	2412797.56193759	2379833.62001665	2333826.00108256
13300	2469977.27966634	2431415.21887605	2402714.23818129	2363365.35474488
13400	2483849.93202751	2451765.71240117	2418649.12363934	2381835.26322129
13500	2513073.49731859	2475593.27844279	2443063.2528676	2398226.23231968
13600	2528195.20114907	2492785.50875038	2460702.27427152	2422856.63371459
13700	2550457.45228306	2511291.80522276	2477427.54538184	2443023.58141448
13800	2571131.72574229	2535299.58751725	2499019.61956112	2460266.16077657
13900	2597292.68719007	2558189.90649644	2516224.45036083	2482788.27521246
14000	2613460.10417388	2573263.13442539	2540857.12757704	2501434.91754475
14100	2635575.63055485	2593829.6476125	2558213.74907669	2520939.04339153
14200	2657354.26634878	2615467.15767701	2581195.8033724	2543050.76038238
14300	2671852.12619307	2630914.77689759	2599905.76091862	2564018.15923993
14400	2695800.73953089	2658432.57678472	2615852.16835581	2580918.41932451
14500	2715212.22952652	2672090.12296518	2641912.45059259	2594208.62854796
14600	2735813.43659545	2692474.71000897	2657190.27226026	2618921.95337156
14700	2753846.73361641	2708737.98182529	2675895.70932545	2632212.77127021
14800	2774741.39543902	2726363.41562208	2699142.57464482	2658705.43420138
14900	2791044.53871215	2744824.83651674	2715704.95894847	2676897.60887401
15000	2811784.07681165	2763784.0452828	2737199.93699624	2695838.42761085
15100	2827224.81217483	2782526.89312212	2755329.18289704	2714167.17699959
15200	2846316.13259352	2805054.89229753	2769037.97471813	2729383.86665531
15300	2867581.63503059	2825594.60186386	2793503.42658593	2743448.09929391
15400	2879716.29042837	2837595.13968883	2814377.0716969	2762817.11947833
15500	2901052.30124328	2861193.47872274	2829159.03970378	2784602.07063941
15600	2915872.67473553	2873254.65772715	2848897.27114747	2801546.7893353
15700	2946362.24793901	2898245.88382338	2863359.4652735	2822200.27588404
15800	2965698.90137888	2912707.98711314	2886277.2978079	2834258.0398521
15900	2978749.09171805	2926055.38464546	2900182.90646589	2862751.4180653
16000	3002907.90293232	2948872.76584372	2916514.26210102	2876377.05965066
16100	3021415.59226247	2968086.05360837	2939010.38021251	2897489.30811869
16200	3036094.43823761	2982607.4973385	2957121.30591996	2915869.31262863
16300	3058015.54591432	3004273.94245935	2968636.53294676	2929322.62933575
16400	3079161.3881656	3019289.03349164	2989328.63338288	2947051.80649697
16500	3093251.89111623	3035888.07319665	3008881.11078264	2968021.90457117
16600	3114065.77897144	3055409.43284957	3023324.41566574	2983447.42691965
16700	3130847.29635997	3076775.28891308	3039118.83119073	3000414.88581381
16800	3147810.19357649	3097395.87220672	3059789.24223816	3017676.53301906
16900	3159037.45411157	3117137.13815681	3078419.89154876	3039855.44624977
17000	3173255.55019588	3133612.72232303	3097405.81936314	3053686.50870245
17100	3194962.96841432	3155569.11260769	3116735.19512418	3063057.3608041
17200	3205685.37792721	3162134.92018558	3133952.30516631	3086356.54377467
17300	3225759.99394368	3181608.03876783	3145858.15175024	3106280.49795792
17400	3247084.61471402	3192087.55927583	3166419.45817488	3123467.68736153
17500	3263783.44114882	3211062.58401186	3181635.62601726	3144470.33996186
17600	3283727.99018309	3229943.12566041	3202954.3616261	3158370.56304245
17700	3300436.25052203	3250465.4683195	3223165.23063107	3175950.19087735
17800	3323021.74809028	3269525.33926467	3238920.60151288	3194117.49794837
17900	3339559.8197469	3284618.77239033	3260596.98924176	3215198.11731847
18000	3351301.93682236	3302106.20384378	3274965.61350324	3229044.90421747
18100	3369406.302696	3325047.10456605	3290957.72910292	3239565.43025555
18200	3393637.48312367	3342780.67218683	3307599.08140653	3256937.09902614
18300	3399725.79698529	3354319.76642366	3323779.7358579	3269488.77088956
18400	3413060.4270437	3378112.16068721	3338605.10222413	3293037.90151609
18500	3430694.4159621	3391590.28949312	3357331.73098488	3306276.25539309
18600	3451312.07273933	3407145.68872586	3367655.5856463	3327689.73590701
18700	3462724.37577083	3426537.84345425	3387240.2532004	3335203.87724779
18800	3483072.12782114	3441003.47464746	3404948.84338989	3358827.84998836
18900	3499957.40128499	3453554.05630196	3419669.22202132	3373878.04801712
19000	3512241.05479608	3471689.4778068	3436984.85545377	3395518.89688872
19100	3537007.22308184	3488544.20126095	3457547.50493323	3412698.64842259
19200	3550302.17538578	3502536.28053448	3474790.99221095	3429092.29189646
19300	3572732.4145545	3526851.99953092	3486158.79845694	3445615.11840144
19400	3585376.67625474	3539553.8038541	3506192.34728554	3462219.14868868
19500	3597438.09280167	3560356.09935892	3525519.93523749	3477359.60083822
19600	3606170.4515425	3572955.97516626	3538430.75127434	3491125.46608986
19700	3612778.36637593	3581371.99885338	3556841.06656764	3505860.78711454
19800	3625076.13880263	3592590.54816273	3561516.60725488	3516318.07708525
19900	3632209.64364224	3598575.12609874	3571574.96833103	3529558.34581702
20000	3639508.60376421	3606656.5922548	3580752.0713247	3542863.56865181
