# Te	Ce	Ce	Ce	Ce
# K	J/(m^3K)	J/(m^3K)	J/(m^3K)	J/(m^3K)
# 	300 K	600 K	1000 K	1500 K
600	46579.0942505914	19714.5108126661	28456.0872445563	29308.6699494721
700	81030.3884989245	76541.8807395347	72918.7613165876	68447.5606344831
800	101658.828467553	95585.3847765807	88069.5916215372	80263.9228680537
900	119023.619205819	109984.46968037	101800.56345622	91663.6286465781
1000	127003.12491203	120923.274783796	110468.17502395	100425.350238552
1100	134570.798043178	128275.589336732	118519.61300952	109140.010794867
1200	138345.719354794	133048.22050932	124043.228086137	115577.470849069
1300	139868.118054729	135350.890958906	128295.939134916	120585.505581874
1400	139629.585453726	136640.893920055	130826.461197441	125303.188634134
1500	138960.590539942	137079.7624388	133007.316773354	129011.740105529
1600	137780.94394177	137177.822847199	134807.450844118	132461.433488827
1700	136941.443111075	137288.837640307	136067.411223327	136053.044425991
1800	136168.977234417	137421.648727925	138049.106690267	138795.676854846
1900	135742.28449621	138177.945198199	140359.167305257	142791.027732441
2000	135918.357525164	139181.109560495	142180.849169421	146865.888830654
2100	138175.235851286	141616.414597	145357.10667138	150515.252500025
2200	140754.581606408	144417.66938508	149168.18111863	155383.651902836
2300	143538.310125619	147465.047685968	152962.818635781	161235.402596854
2400	146375.051094214	151216.963034026	157362.317249245	165910.003969956
2500	150827.574312452	156545.231219447	164300.472046333	173099.157876573
2600	156812.837229749	163600.49285025	170556.867880296	179685.721570404
2700	164505.754288242	170432.977783956	177943.664839799	188220.505284301
2800	173217.212874662	178052.342299793	187050.483703756	196768.396069187
2900	181433.652171325	185645.905768341	194780.581954571	206982.15379576
3000	188917.919973651	196127.425271658	203711.143823383	215512.308785329
3100	200604.688974401	208222.786299749	216446.349603897	228931.61598148
3200	213136.358770032	219365.783135789	228267.176125424	239316.293373697
3300	225806.347261627	231446.681445256	241641.625737619	252907.371052312
3400	236590.033898096	245532.342293258	253483.94450202	265857.590827677
3500	253361.569529189	260061.691192588	265608.259992412	280693.871144902
3600	269266.31043255	274975.343328619	283086.914847547	294792.77427507
3700	281091.906343516	291172.601142242	297440.959200724	310042.813401113
3800	298378.952268507	306056.068214465	314398.13245747	326063.32388835
3900	319160.012337206	324425.281981268	332604.502045684	340166.609051689
4000	337121.313236732	343064.325428691	348246.939564435	356916.994743628
4100	354234.123431334	358925.804410244	368327.149565314	375495.16920011
4200	373955.637630502	381132.972207143	386124.81218198	395314.966283547
4300	394898.360790881	400264.650074301	405597.790309745	409794.693724602
4400	413273.828303661	414494.883850264	423300.111581802	430477.873064557
4500	431400.265316542	437965.334594014	445627.361068467	450167.446350152
4600	456134.273178462	458778.684384683	462199.226847556	465903.143059337
4700	471130.334341541	478903.253405758	484528.915637415	491032.568771791
4800	495159.82785891	501594.07942636	504342.751290784	505732.357042918
4900	519017.290432895	521198.173036223	525228.22730949	522361.196986235
5000	541189.6182391	541991.984910448	547719.963714048	549846.280045574
5100	559909.790391418	561689.38787388	564122.030126036	567961.267631905
5200	582635.310036736	589220.496160078	589469.074176882	586687.161311031
5300	609574.334607987	604992.32853988	609663.908657417	605856.483554263
5400	628705.08677379	629791.13071346	628255.129962516	630621.859669617
5500	650371.434834783	655030.584197323	651828.761332769	649398.180981957
5600	677372.343310062	671807.42545594	667385.794077006	670303.184212031
5700	695953.672161983	699382.095021867	695396.385987278	693630.639856214
5800	722205.122230591	719178.587794655	714019.817910188	706678.032503857
5900	739668.819081781	740582.298166508	736015.14165542	736401.733557016
6000	770055.753667629	766849.117612522	763369.837925481	756242.007902604
6100	788916.227922917	782467.226716283	780161.669798137	772281.489276616
6200	810982.852972669	811777.721252198	804195.309131766	798867.814064968
6300	836942.750745524	830232.271374251	824484.924041398	817162.595399043
6400	861252.700146749	853534.46204838	846935.981011375	839294.18818463
6500	881922.55679811	876616.337318044	868936.495759242	862599.057988391
6600	905679.274972083	900284.966334755	892914.536807225	886714.646842395
6700	929269.734203701	924299.974298253	913877.246558907	906589.521663919
6800	951794.736208599	949491.129525516	939520.039208475	925424.281586002
6900	979426.393004	970960.523308889	961419.925475923	952146.961092655
7000	999842.514046219	990567.163665723	980774.770631457	968653.772268851
7100	1024351.5089906	1015059.76716301	1007723.32336573	992593.339021165
7200	1046156.3254154	1043420.28868209	1033434.74881688	1021207.29624846
7300	1074226.99443515	1066284.98973404	1053723.77713212	1039632.18750032
7400	1095826.18475519	1084110.72241467	1079045.43468021	1059486.85776599
7500	1120891.42505594	1111278.07083349	1100158.4916247	1084213.75676719
7600	1147753.53515877	1137558.44324128	1124201.7826316	1106870.77084882
7700	1169346.4074157	1158762.52822451	1145157.3928914	1126569.24589852
7800	1187747.2450876	1188012.67277853	1173804.79209274	1155029.27997715
7900	1221920.09807459	1208697.5726512	1193993.63506001	1176442.05383208
8000	1237826.82550234	1224105.28449977	1214300.60454535	1196507.351175
8100	1267319.8831874	1258539.69821546	1242826.36036384	1223083.6372344
8200	1292508.82217888	1277823.17310924	1262432.37844862	1243597.39458332
8300	1313172.736597	1300469.57127086	1285677.84422988	1264439.3819134
8400	1338962.2070175	1325393.52851696	1307095.4117475	1288514.98186763
8500	1364752.44340803	1350454.16868912	1332022.094613	1311278.68511871
8600	1390716.31831443	1370444.54399402	1355513.36494693	1332386.22800977
8700	1412833.32878508	1396290.3074407	1381427.57770163	1357426.29730383
8800	1435732.441136	1424868.10880855	1404421.7251347	1376439.35158001
8900	1464711.61494914	1443138.42448923	1423855.62334885	1399315.26958664
9000	1486087.56139273	1468468.91178273	1450164.64317414	1427081.79477482
9100	1513238.72219897	1498476.09107198	1471989.55503558	1448944.21245679
9200	1542613.6208939	1515239.73861158	1493745.28426754	1469898.68060623
9300	1553581.85290232	1543408.65710839	1518045.30597321	1492315.59445519
9400	1588864.34453886	1568765.74481341	1547424.55025561	1518977.03652875
9500	1609377.56303965	1585884.89906917	1565104.1996917	1536656.26137998
