# Te	Ce
# K	J/(m^3K)
400	1366.34
500	29927.11446370925
600	128357.5620096941
700	159673.6354052881
800	188747.7716014113
900	219273.8553749913
1000	262127.1754310954
1100	305307.0262981842
1200	350584.3469646362
1300	390206.0863205096
1400	429847.4222830491
1500	478831.6457892195
1600	519664.1286900187
1700	559544.0567000781
1800	598745.5578337008
1900	636950.2049788322
2000	675105.094333071
2100	712390.5037227537
2200	749628.2587343247
2300	786178.1381907375
2400	821789.4025631731
2500	856453.987307302
2600	890883.9087396596
2700	925252.0951735716
2800	959200.4185941571
2900	993473.3809763764
3000	1026342.672092686
3100	1058867.915483684
3200	1091255.601871064
3300	1123035.498267806
3400	1154821.538134537
3500	1186433.659883644
3600	1218197.807847524
3700	1249788.61968089
3800	1281560.52335982
3900	1313209.723729876
4000	1344741.249828151
4100	1376961.609529343
4200	1408443.137492237
4300	1440656.10529544
4400	1472233.779973382
4500	1504960.856798213
4600	1538946.779934146
4700	1571970.166442605
4800	1605422.823801994
4900	1638533.945741773
5000	1670878.533347476
5100	1705444.461754165
5200	1741204.125910945
5300	1776071.192229092
5400	1811125.263787283
5500	1848007.96702431
5600	1883714.567378061
5700	1919590.669906594
5800	1956096.994017921
5900	1992828.057889643
6000	2030162.551037896
6100	2066929.966145247
6200	2103602.10723292
6300	2141370.705778134
6400	2178906.178895676
6500	2215150.102187793
6600	2252791.072746443
6700	2290357.569143687
6800	2329073.925301696
6900	2366568.031243637
7000	2403121.110739417
7100	2439889.608368627
7200	2476140.532060286
7300	2512550.810372233
7400	2549970.739904872
7500	2587328.095467474
7600	2623371.044606259
7700	2658659.978788035
7800	2693879.946549968
7900	2730124.193194349
8000	2765471.246449172
8100	2799417.329360942
8200	2839099.686815756
8300	2873447.537860408
8400	2906853.77155427
8500	2940918.722604796
8600	2974958.216699277
8700	3006750.527475922
8800	3038657.745533126
8900	3071104.348047688
9000	3102331.596555551
9100	3133135.979289794
9200	3163591.167396632
9300	3193528.101791373
9400	3221812.611046932
9500	3250393.011871526
9600	3279630.760365473
9700	3308083.746231077
9800	3334576.410405425
9900	3362087.705838139
10000	3389897.968779644
10100	3417612.298867478
10200	3444670.4187951
10300	3469737.822862133
10400	3494438.964798655
10500	3519191.915001082
10600	3541578.008985075
10700	3564862.187503288
10800	3587757.871796602
10900	3610541.120948439
11000	3633796.27305399
11100	3655412.040833139
11200	3676555.339389037
11300	3697351.911628234
11400	3718344.185094955
11500	3739109.811404034
11600	3759314.037402607
11700	3778304.753164846
11800	3796529.891506168
11900	3815328.893324144
12000	3833617.119720076
12100	3851385.501612619
12200	3868939.369145358
12300	3886293.783941878
12400	3902765.8973556
12500	3919522.686444701
12600	3936464.746620778
12700	3952545.537074928
12800	3968700.479046355
12900	3983694.43800988
13000	3998431.012688767
13100	4013563.672609652
13200	4027794.319235494
13300	4041980.641378597
13400	4056325.752509471
13500	4069851.875932534
13600	4083056.964339977
13700	4096885.846472817
13800	4109915.346259487
13900	4122532.109781559
14000	4135240.614424395
14100	4148246.66946338
14200	4160765.075758255
14300	4172298.653441872
14400	4184705.311279925
14500	4196317.360160002
14600	4207698.864318315
14700	4218905.154012805
14800	4230137.69172817
14900	4241246.623539137
15000	4251627.520057515
15100	4262023.531148004
15200	4272846.831419119
15300	4283522.644445439
15400	4293079.450089437
15500	4303313.198610595
15600	4313362.219822173
15700	4323603.78827959
15800	4333038.746959168
15900	4342066.576657224
16000	4351990.220315777
16100	4361936.776120102
16200	4371491.394696193
16300	4380093.50593807
16400	4389251.011173814
16500	4397921.537609909
16600	4406612.17164629
16700	4415617.159598015
16800	4424181.480265224
16900	4433230.520409784
17000	4441587.969428551
17100	4450235.447009703
17200	4458813.103707979
17300	4466911.412912995
17400	4475179.681728173
17500	4483458.760938851
17600	4491443.776954199
17700	4502566.897873293
17800	4510480.83761035
17900	4518698.644953405
18000	4526454.585766226
18100	4534421.176988985
18200	4542353.647593977
18300	4550285.270922245
18400	4557923.861028587
18500	4565262.426151612
18600	4573102.043978127
18700	4580075.729280374
18800	4587334.029303672
18900	4594777.739912419
19000	4602436.116249708
19100	4610007.180657741
19200	4617213.861508332
19300	4624454.084983959
19400	4631596.868270115
19500	4638802.961357495
19600	4645388.926928615
19700	4652618.374295454
19800	4659321.323201781
19900	4666375.382158477
20000	4673244.89865669
20100	4680070.477456737
20200	4686775.87274077
20300	4693819.836501938
20400	4700772.646876182
20500	4707556.87306864
20600	4714317.607512958
20700	4721103.528174958
20800	4727641.486558522
20900	4734137.94063134
21000	4740751.197026809
21100	4747462.708664155
21200	4753821.998151172
21300	4760134.508584645
21400	4766675.59319259
21500	4773299.039809544
21600	4780266.365240725
21700	4786380.922585351
21800	4792624.692951721
21900	4798869.965471516
22000	4805388.908171858
22100	4811450.318361831
22200	4817788.640527529
22300	4824456.429934559
22400	4830917.258546306
22500	4837267.625270491
22600	4842843.300942959
22700	4848351.208354449
22800	4854186.686639835
22900	4859517.785007276
23000	4864223.445086589
23100	4868919.62043556
23200	4873799.145696655
23300	4878047.888873736
23400	4881609.226385475
23500	4885206.221060866
23600	4888496.706112402
23700	4891686.936426369
23800	4894523.191301079
23900	4897102.015647722
24000	4899377.9942088
24100	4901436.908903164
24200	4903594.866505521
24300	4905210.212316771
24400	4906599.084264589
24500	4907946.783235004
24600	4909004.853311983
24700	4910001.344320262
24800	4911111.78159914
24900	4912129.40718245
25000	4912931.087043392
