# Te	Ce
# K	J/(m^3K)
500	103738.314857956
600	134960.967771896
700	157552.409483407
800	180143.851194918
900	201762.777697788
1000	221612.267813235
1100	247520.23101929
1200	267677.572281604
1300	288709.423397201
1400	312642.386489779
1500	335482.429325668
1600	357823.997501988
1700	379791.854564045
1800	401778.859691474
1900	423193.079799561
2000	448456.817584865
2100	472321.697035501
2200	494530.743775578
2300	515554.986212796
2400	537024.912209543
2500	559673.294701818
2600	585923.93729671
2700	606140.36305417
2800	631374.862885511
2900	652493.347818021
3000	676935.987449905
3100	698739.477150963
3200	719385.572093761
3300	745403.408611746
3400	762405.339482752
3500	791472.641828916
3600	810694.363537501
3700	836313.037746356
3800	860699.834416366
3900	878469.045200899
4000	907697.778325358
4100	928455.668122238
4200	954016.08489679
4300	978539.505569883
4400	999867.551829637
4500	1026315.02595225
4600	1046943.99818254
4700	1073338.07429346
4800	1096816.82805808
4900	1120833.78459145
5000	1145494.96357834
5100	1172452.01875638
5200	1195191.44684748
5300	1221765.73608544
5400	1242211.32980592
5500	1269825.73836142
5600	1295175.52190691
5700	1318239.65660701
5800	1347149.31767466
5900	1371684.7366312
6000	1397463.2309946
6100	1422727.5988444
6200	1443741.52848473
6300	1471005.19146693
6400	1498171.3997152
6500	1522543.80508368
6600	1543935.62665229
6700	1573616.56503923
6800	1598053.44843106
6900	1623619.63455463
7000	1646829.3421069
7100	1673541.56355248
7200	1696415.40071522
7300	1722011.81209276
7400	1746925.52171242
7500	1769009.50542155
7600	1794000.31065265
7700	1818320.29325004
7800	1841502.44167956
7900	1861773.88488348
8000	1888244.04566856
8100	1910348.18324487
8200	1933979.58251078
8300	1955740.78009168
8400	1978115.92358075
8500	1997911.35605032
8600	2022959.85761373
8700	2045348.97896922
8800	2061170.21821069
8900	2087530.79178316
9000	2105897.42915941
9100	2127188.44510407
9200	2146895.68805636
9300	2168944.50245491
9400	2186818.63192033
9500	2208309.69927456
9600	2227781.2055208
9700	2243392.22316875
9800	2263848.714094
9900	2284020.85577689
10000	2301418.52722541
10100	2318802.2235776
10200	2338253.69761936
10300	2354532.71183254
10400	2373657.52287919
10500	2389607.49885356
10600	2406299.43935834
10700	2423356.81626248
10800	2438538.67298313
10900	2454432.6279978
11000	2470674.63672037
11100	2486195.91957196
11200	2498179.23485844
11300	2515359.20534105
11400	2529727.81217063
11500	2543525.36049814
11600	2558193.37741854
11700	2571643.68228472
11800	2584639.0170934
11900	2597685.8729718
12000	2611645.51171397
12100	2623133.37982657
12200	2636395.75133616
12300	2647830.50271364
12400	2661241.48783179
12500	2671705.03276864
12600	2683262.23006893
12700	2694980.29531964
12800	2705951.19832893
12900	2716141.28822039
13000	2726738.78244126
13100	2737266.7252622
13200	2745548.35358731
13300	2757284.16976703
13400	2765936.12199743
13500	2776488.23282264
13600	2784818.47963284
13700	2794971.09629065
13800	2805066.91372145
13900	2814729.33031022
14000	2822485.97382446
14100	2832772.74928781
14200	2841800.59092869
14300	2850526.7749476
14400	2859527.85962395
14500	2867659.82266353
14600	2876427.47599693
14700	2883875.33697485
14800	2893300.49927614
14900	2901982.59606997
15000	2910686.9292292
15100	2918982.50699978
15200	2927373.68389617
15300	2934774.10288903
15400	2942727.17854773
15500	2952041.52385606
15600	2958929.11604313
15700	2968606.80123671
15800	2977543.60831857
15900	2984549.47378729
16000	2992593.23926183
16100	3001468.63595463
16200	3008964.97499796
16300	3016425.4530856
16400	3028691.20728724
16500	3037442.7925342
16600	3046832.71844429
16700	3057013.50675052
16800	3065585.39856532
16900	3075721.90819621
17000	3084057.01029271
17100	3093111.17477628
17200	3100527.38163531
17300	3106671.83342255
17400	3111515.83659162
17500	3116586.27342372
17600	3123698.20356547
17700	3130574.01291878
17800	3135882.36815954
17900	3143005.18581706
18000	3150418.6255439
18100	3154252.49999466
18200	3167439.02067527
18300	3172545.09476843
18400	3182167.46733466
18500	3195236.92339834
18600	3202643.24034392
18700	3218946.92156339
18800	3224873.95519768
18900	3227304.85620393
19000	3230163.214315
