# Te	Ce
# K	J/(m^3K)
900	88420.809176975
1000	100322.218267198
1100	111398.111473231
1200	124381.255441656
1300	137932.754705714
1400	151441.651195744
1500	163713.864736162
1600	175851.765100922
1700	187974.454238106
1800	198825.274471494
1900	209741.71134019
2000	220553.963619125
2100	231618.786699118
2200	242003.737102085
2300	251234.605059368
2400	261737.059533871
2500	269422.887865875
2600	280612.788564823
2700	287342.267667337
2800	298346.98644975
2900	306690.71395082
3000	315711.64082962
3100	322170.82446182
3200	332308.38346068
3300	339030.73476243
3400	347932.667316585
3500	355913.613343498
3600	363531.147709941
3700	370604.355000768
3800	378279.113549688
3900	386315.082480658
4000	393037.87327099
4100	400438.634033203
4200	407422.879021166
4300	414551.920998521
4400	420615.697374123
4500	428256.162661273
4600	434828.254807965
4700	441131.848787853
4800	449104.388509153
4900	455205.996917598
5000	462445.997739122
5100	469079.716817974
5200	475788.463744522
5300	481539.885899921
5400	489136.3700655
5500	494939.37151834
5600	502474.166038832
5700	509297.468371337
5800	515399.826132387
5900	522734.650538296
6000	528727.77304405
6100	536502.954913838
6200	543541.126669734
6300	550664.163000468
6400	558394.68659927
6500	565199.620276197
6600	573738.261713426
6700	580997.268714335
6800	589366.911776298
6900	596498.758364458
7000	605210.244172681
7100	613161.454172002
7200	620058.507254721
7300	629695.616539553
7400	637879.069928625
7500	646064.431514791
7600	654477.499027059
7700	664527.357815875
7800	672848.50404221
7900	682513.437217646
8000	693779.787110682
8100	703979.650293144
8200	714340.059349806
8300	724516.444182533
8400	734262.855204546
8500	745629.320903929
8600	755603.220630651
8700	766401.177342079
8800	778296.54486279
8900	789518.139701223
9000	799443.427713571
9100	811711.077806146
9200	824893.503039904
9300	838224.27201683
9400	849802.329526161
9500	862521.108155183
9600	877313.069525599
9700	890656.463297902
9800	902794.078054596
9900	917891.244671184
10000	930435.48876621
10100	943472.606929991
10200	959421.236528319
10300	973621.147012121
10400	986462.942078563
10500	1002994.40820002
10600	1017116.76315737
10700	1033198.64829503
10800	1048368.41822252
10900	1061780.90036807
11000	1080229.66688973
11100	1097282.74703725
11200	1112144.17766767
11300	1129107.21094361
11400	1146321.52852161
11500	1162625.23342246
11600	1178928.93832331
11700	1194831.68911562
11800	1211504.10416957
11900	1226743.51180947
12000	1243333.73900932
12100	1257266.32319114
12200	1274630.83018944
12300	1290716.18730235
12400	1306207.66368218
12500	1325853.83216359
12600	1342033.90046201
12700	1359913.27871063
12800	1376948.29844399
12900	1393332.86466033
13000	1413216.62652395
13100	1431380.66909014
13200	1448458.8046276
13300	1468588.3577818
13400	1487544.85448317
13500	1505187.25058352
13600	1521671.26336998
13700	1544489.82330587
13800	1561882.39500818
13900	1580758.14436623
14000	1601422.27960324
14100	1619849.73415267
14200	1639302.2445186
14300	1656998.37108182
14400	1678255.36698641
14500	1697912.23643929
14600	1717569.10589218
14700	1734441.86696253
14800	1755441.56257494
14900	1773012.3240939
15000	1791511.60505114
15100	1809579.05898478
15200	1823952.18689396
15300	1843458.72277762
15400	1860324.38096597
15500	1875085.85177393
15600	1893374.58515276
15700	1909020.96124873
15800	1921234.33313292
15900	1940599.00685426
16000	1954947.64667252
16100	1971245.71393237
16200	1986374.67161471
16300	2002973.49931644
16400	2017486.48563102
16500	2031975.23796405
16600	2044779.3574384
16700	2056941.57080176
16800	2063762.83954546
16900	2073634.86849209
17000	2081038.95394396
17100	2087814.54932206
17200	2098101.64480972
17300	2107733.41886893
17400	2114368.68937647
17500	2119459.58924678
17600	2129879.70890719
17700	2135230.3380695
17800	2139753.68519443
17900	2146826.12657319
18000	2153132.8937154
18100	2158607.10255618
18200	2161868.04891138
18300	2164969.1650056
18400	2164409.99966022
18500	2163919.3496847
18600	2165234.2126358
18700	2158424.53638783
18800	2145790.13019909
18900	2135492.101245
19000	2116380.44605435
19100	2103024.94994601
19200	2089681.47530838
19300	2067011.78488845
19400	2057725.95663104
19500	2027148.59032639
19600	2012874.15988167
19700	2005437.28099471
19800	2000162.28598451
19900	1996161.28742188
20000	1990303.52527621
20100	1986483.6986077
20200	1977535.73514324
20300	1970462.66102593
20400	1965024.98020453
20500	1955274.59638793
20600	1942503.4150761
20700	1934718.59111707
20800	1914901.89116408
20900	1895780.6198488
21000	1879132.2549317
21100	1862630.13384096
21200	1847085.85645321
21300	1820920.74979096
21400	1800281.97367791
21500	1778864.96800781
21600	1750857.88086904
21700	1729038.81404721
21800	1708964.98379649
21900	1661901.74223704
22000	1617663.44408531
22100	1606261.77619443
22200	1547581.13269292
22300	1503423.08135263
22400	1491974.34011682
22500	1482531.30227382
22600	1476843.15393033
22700	1466364.51188729
22800	1458193.45094642
22900	1450285.65855535
23000	1443051.50407927
23100	1437881.44833145
23200	1422827.11345508
23300	1414799.20982949
23400	1401770.59443425
23500	1388363.55353607
23600	1375582.463371
23700	1362801.37320593
23800	1350436.91432136
23900	1337429.78150832
24000	1321698.55416972
24100	1291358.47179271
24200	1271386.92594734
24300	1250393.2380524
24400	1220943.83827476
24500	1195903.33647557
24600	1179713.59413995
24700	1154993.5751258
24800	1124606.1123878
24900	1091847.14911031
25000	1078388.76492382
