# Te	Ce
# K	J/(m^3K)
600	18719.5540105071
700	33398.4205202828
800	44020.3927667929
900	54642.365013303
1000	65264.3372598131
1100	75886.3095063232
1200	86508.2817528333
1300	97130.2539993433
1400	107077.558460695
1500	116726.770618796
1600	125849.699963936
1700	134570.117345092
1800	142242.820336673
1900	150031.116417578
2000	155922.034150518
2100	161496.493698685
2200	166053.684116151
2300	170854.017767797
2400	174667.471069157
2500	178190.021985118
2600	181663.55761209
2700	184833.396098078
2800	188397.304350756
2900	191818.177419428
3000	195401.258666842
3100	199775.979322782
3200	203476.240112874
3300	207718.511243864
3400	212661.76038802
3500	217624.163501085
3600	222375.815912707
3700	226660.928194921
3800	233698.217397524
3900	239483.405554575
4000	245986.266217508
4100	251628.002263005
4200	261162.233454173
4300	270225.173973682
4400	282188.466265093
4500	292894.027919588
4600	302809.350886271
4700	316439.685725107
4800	328522.199559223
4900	340604.713393338
5000	351682.709280045
5100	365615.803981382
5200	380889.942830765
5300	394599.578195554
5400	408234.195018431
5500	427210.469728335
5600	443879.343380167
5700	460125.149268194
5800	474618.326208735
5900	498397.854646112
6000	516918.660360036
6100	535410.286567796
6200	557910.342572786
6300	578285.867822077
6400	597109.283433749
6500	617301.768233465
6600	641773.537273197
6700	662594.466317291
6800	685104.994152338
6900	707473.969176566
7000	730086.140674744
7100	750858.725100489
7200	774198.393490246
7300	796591.772897412
7400	820821.330930638
7500	840662.114639866
7600	866673.426360212
7700	887588.416419894
7800	911293.980754721
7900	933877.485354682
8000	956936.674462169
8100	980809.977337781
8200	999612.568008709
8300	1025913.23882445
8400	1048426.93545233
8500	1068696.91327418
8600	1089972.38045805
8700	1115099.52335557
8800	1136387.82541658
8900	1158958.39559712
9000	1179216.73197967
9100	1200124.95913488
9200	1223441.70900739
9300	1241019.65187814
9400	1265480.64824771
9500	1283802.28896608
9600	1306502.43026645
9700	1327874.92913052
9800	1347586.46544244
9900	1368984.71176655
10000	1386397.77748658
10100	1409194.81071401
10200	1427424.60224479
10300	1445297.67507769
10400	1465458.59634251
10500	1485163.90337622
10600	1503166.15493435
10700	1522274.7196839
10800	1541713.3647133
10900	1558159.01043289
11000	1576763.54679914
11100	1596613.3811178
11200	1613783.83891495
11300	1632605.7514425
11400	1650438.98025122
11500	1667360.04041763
11600	1682984.4853085
11700	1702008.05578842
11800	1717648.19497503
11900	1732913.40595569
12000	1750734.23005429
12100	1766221.61716535
12200	1781608.26789924
12300	1796119.8541248
12400	1814891.47434715
12500	1831058.29172467
12600	1847003.80031809
12700	1862758.75998933
12800	1878380.95615238
12900	1891189.00751665
13000	1906784.22800888
13100	1922478.98092178
13200	1936431.71843623
13300	1950527.63011894
13400	1964705.41922975
13500	1978668.17078153
13600	1990703.77244715
13700	2005615.12048472
13800	2016286.94537239
13900	2031669.55133453
14000	2045525.17168802
14100	2058027.81380554
14200	2071888.6528032
14300	2085677.0576789
14400	2099219.41180485
14500	2111785.29946315
14600	2126934.92373698
14700	2142302.7673393
14800	2156172.68504238
14900	2171511.61411859
15000	2188188.17705281
15100	2203370.10679111
15200	2217522.56452358
15300	2232875.20382531
15400	2247402.52365681
15500	2260516.11442718
15600	2275498.36238607
15700	2289605.70987207
15800	2302841.97775471
15900	2316468.9128417
16000	2331154.15037935
16100	2342691.89984453
16200	2358977.24466831
16300	2372695.63642192
16400	2387323.02121879
16500	2401763.0265888
16600	2414943.80140821
16700	2429922.8533656
16800	2445631.29350425
16900	2458491.84704946
17000	2474399.3656469
17100	2487311.44304601
17200	2499714.53992554
17300	2513342.02711998
17400	2526141.12518794
17500	2536726.86367316
17600	2549937.27223917
17700	2562777.08154468
17800	2575988.33834296
17900	2587744.78075133
18000	2600287.10210856
18100	2611658.06946389
18200	2624977.74771819
18300	2638237.0510852
18400	2652741.43842996
18500	2668622.75021989
18600	2684880.8928118
18700	2702079.2764814
18800	2718681.91295383
18900	2731819.39473411
19000	2752509.14865837
19100	2768290.52477254
19200	2785161.80022825
19300	2803069.68094529
19400	2816125.970886
19500	2830733.56056391
19600	2847425.05719049
19700	2860821.31576471
19800	2874493.02747966
19900	2894686.90360546
20000	2908052.20964092
20100	2920472.94373886
20200	2941670.1491947
20300	2958401.75727639
20400	2973766.70790606
20500	2990223.878914
20600	3006726.4273295
20700	3018807.12719011
20800	3033093.5082858
20900	3045300.58912849
21000	3057440.56312913
21100	3067912.19888801
21200	3078101.39641979
21300	3089319.56805352
21400	3100590.93286146
21500	3110559.60428903
21600	3127151.60590466
21700	3135176.49566967
21800	3148590.3628067
21900	3167562.81353948
22000	3180922.20388303
22100	3191903.92950933
22200	3198584.41027972
22300	3202238.67159149
22400	3208868.51956103
22500	3214458.95872263
22600	3218872.70015918
22700	3226967.52618489
22800	3233144.37560983
22900	3238530.35308375
23000	3248783.60818423
