# Te	Ce
# K	(m^3K)
400	1599.372194057728
500	2092.624990991491
600	2585.877787925254
700	3079.130584859018
800	3572.383381792781
900	4065.636178726545
1000	4558.888975660307
1100	5052.141772594071
1200	5545.394569527834
1300	6038.647366461599
1400	6531.90016339536
1500	7025.152960329124
1600	7518.405757262888
1700	8011.658554196651
1800	8504.911351130415
1900	8998.164148064177
2000	9491.416944997942
2100	9984.669741931704
2200	6990.973453776795
2300	3651.0987419129
2400	11464.42813273299
2500	11742.06352025884
2600	18539.29565189114
2700	19722.43691384794
2800	26403.96453378702
2900	31043.67900275331
3000	34991.39822511439
3100	43598.07796494913
3200	50105.24891530231
3300	56381.40064769521
3400	62861.75668599884
3500	69883.32519096305
3600	78175.68448197731
3700	86390.59457486495
3800	95705.51911514874
3900	104717.3385521978
4000	113894.3156385153
4100	125190.7374128745
4200	134575.4246390883
4300	143989.6562899091
4400	154921.2107614733
4500	167273.084156064
4600	179151.8684437964
4700	185844.4171021098
4800	204912.256438483
4900	218566.073608258
5000	232524.6702862867
5100	246882.6021571541
5200	261831.1936448753
5300	277037.9963155805
5400	292710.1334286683
5500	308890.4162757347
5600	325588.5845564361
5700	342481.2065490062
5800	359634.9801256144
5900	377522.4949288396
6000	392518.8560646031
6100	406344.5499608537
6200	423260.5351500791
6300	442030.3689582553
6400	461184.9120039137
6500	480974.6917880755
6600	499140.0432865916
6700	515919.8895982953
6800	533003.7373805231
6900	552158.8186043525
7000	571449.6526177217
7100	587405.7143514685
7200	606071.2084517265
7300	626881.3169708449
7400	645164.7401376307
7500	661526.6717573846
7600	679995.0246488061
7700	697058.3893163732
7800	715709.7223393397
7900	736450.1686452156
8000	753761.5096676946
8100	770740.5971478944
8200	787798.8635989251
8300	805085.2239909964
8400	822532.5965106082
8500	839928.229122653
8600	857337.9342002362
8700	875010.5385112165
8800	892614.9771654084
8900	907877.3591294741
9000	925668.7121409782
9100	941315.5118210415
9200	957004.5885504506
9300	974940.9523171708
9400	988729.3833753132
9500	1004490.578611857
9600	1022198.308875933
9700	1036232.460434716
9800	1052022.724816034
9900	1069907.717471854
10000	1084039.147251585
10100	1100086.205543654
10200	1115946.517792499
10300	1130153.047245935
10400	1144249.17981996
10500	1160170.801892057
10600	1176089.143894497
10700	1189985.979062366
10800	1204281.900248029
10900	1216817.392431772
11000	1230103.573392407
11100	1246179.499601818
11200	1262309.682120701
11300	1276534.463579824
11400	1288807.717060865
11500	1301046.644928458
11600	1312939.643096847
11700	1326785.48670862
11800	1342973.378781592
11900	1357268.979103115
12000	1371478.532498466
12100	1385725.042873338
12200	1398025.808143781
12300	1410059.595862381
12400	1422364.677176912
12500	1434587.641487981
12600	1446804.20381875
12700	1461139.172516071
12800	1475003.195047585
12900	1487402.47158216
13000	1501701.75658923
13100	1515812.806780368
13200	1528388.561838563
13300	1540213.787659912
13400	1553936.0463919
13500	1568056.150892883
13600	1580559.107231731
13700	1591998.127978984
13800	1604097.377441663
13900	1616502.778330422
14000	1628673.723350379
14100	1640278.439373345
14200	1653007.203986686
14300	1665651.197882246
14400	1678202.477622717
14500	1690020.939647169
14600	1701602.361477586
14700	1713593.976328205
14800	1724325.217885288
14900	1735245.610960061
15000	1746264.800147089
15100	1754404.35747612
15200	1766749.681628932
15300	1778823.324182889
15400	1790267.489401746
15500	1800353.036540568
15600	1811170.466559977
15700	1819918.787694973
15800	1831033.006407212
15900	1842108.083702058
16000	1852610.260226514
16100	1858804.177740036
16200	1869797.815281038
16300	1881796.33106462
16400	1892312.172385774
16500	1904030.139704752
16600	1915385.391443961
16700	1926426.725571471
16800	1931040.249979459
16900	1946779.209529577
17000	1956987.611526321
17100	1967215.967691929
17200	1975241.998673838
17300	1984618.91827936
17400	1995037.270853742
17500	2002750.545637939
17600	2012774.914940064
17700	2022136.503693686
17800	2029351.877441603
17900	2038693.353728466
18000	2046438.899349921
18100	2050888.082990008
18200	2061520.8641692
18300	2071358.64686242
18400	2079179.347245522
18500	2088066.433464525
18600	2097755.249159221
18700	2106816.169425801
18800	2114551.753255058
18900	2122975.365184802
19000	2131176.565144372
19100	2139274.84124411
19200	2148413.444267713
19300	2157186.046715861
19400	2161728.671215766
19500	2170524.350260751
19600	2180455.303293785
19700	2185218.065106386
19800	2192956.515223809
19900	2200568.809821534
20000	2205364.460609247
20100	2213983.610528288
20200	2221679.430820772
20300	2229222.148042685
20400	2237512.311432913
20500	2245172.455985316
20600	2251984.381429276
20700	2258310.058274265
20800	2266747.358380847
20900	2273878.732631043
21000	2281865.806462154
21100	2287645.059880854
21200	2294401.780739196
21300	2303030.838850235
21400	2310338.248975818
21500	2316236.761117376
21600	2324252.168436579
21700	2332145.466972932
21800	2339565.764343962
21900	2346950.235604818
22000	2356297.605227038
22100	2364178.607813891
22200	2371569.214406247
22300	2379624.916409506
22400	2387812.117417827
22500	2396834.824761856
22600	2404806.225649441
22700	2413340.462405716
22800	2420769.502143285
22900	2430349.025344044
23000	2438602.013479851
23100	2447149.394088124
23200	2454552.759748892
23300	2464871.276943538
23400	2472246.242924164
23500	2479515.283363912
23600	2488781.786880705
23700	2497202.102063644
23800	2506898.416313309
23900	2516029.620484122
24000	2524653.887769673
24100	2534598.39222873
24200	2542004.366324648
24300	2551500.665422096
24400	2562069.802549293
24500	2572356.538655108
24600	2582187.7813148
24700	2593395.440926487
24800	2603353.123020008
24900	2611837.68183441
25000	2620728.992604409
