# Te	Ce
# K	(m^3K)
400	1211.74828374043
500	1539.49763361615
600	1867.24698349187
700	2194.9963333676
800	2522.74568324332
900	2850.49503311904
1000	3178.24438299477
1100	3505.99373287049
1200	3833.74308274621
1300	4161.49243262194
1400	4489.24178249766
1500	4816.99113237338
1600	5144.74048224911
1700	5472.48983212483
1800	5800.23918200056
1900	6127.98853187628
2000	6455.737881752
2100	6783.48723162773
2200	7111.23658150345
2300	7438.98593137917
2400	7766.7352812549
2500	8094.48463113062
2600	8422.23398100634
2700	8749.98333088207
2800	9077.73268075779
2900	9733.22841939758
3000	9733.22841939758
3100	13698.8445453457
3200	16027.0087521216
3300	12662.3793844126
3400	21302.7977505987
3500	22690.1120097703
3600	31193.3653860023
3700	37530.335451702
3800	38237.5548896003
3900	45287.0461235799
4000	52352.0122261652
4100	59484.438803003
4200	66436.8915507554
4300	73044.5305191597
4400	82484.9161666274
4500	91749.6492713938
4600	99131.8618812005
4700	110549.075328085
4800	121770.637490584
4900	129602.305765924
5000	140672.723738995
5100	153752.47802079
5200	166009.987198329
5300	178964.878999408
5400	189402.210740357
5500	202659.483252647
5600	215921.100977348
5700	230289.599178633
5800	244232.358331011
5900	259081.686207592
6000	274086.643130396
6100	289346.354609383
6200	307871.374137473
6300	324212.725791703
6400	340939.89815631
6500	355601.858580671
6600	373041.515778233
6700	390708.725409071
6800	408962.744841297
6900	427947.708911457
7000	444417.975813285
7100	463816.532251394
7200	484359.436120202
7300	502383.290783836
7400	523135.18649478
7500	544393.19828273
7600	563006.152373524
7700	585648.230135675
7800	605119.534490928
7900	624635.067651
8000	648376.538146105
8100	672200.988189828
8200	692977.352516345
8300	710141.845631175
8400	735956.676077002
8500	762184.904923374
8600	780334.778677051
8700	798686.628643026
8800	821125.422855207
8900	849289.107919963
9000	873580.863675997
9100	892666.805483624
9200	916465.393445117
9300	940383.545114331
9400	959890.690042975
9500	984177.115258827
9600	1014602.10480725
9700	1041060.13502711
9800	1061917.50152902
9900	1082771.84934278
10000	1104199.24257379
10100	1130970.98525858
10200	1157966.80522189
10300	1179311.07351467
10400	1201004.1729957
10500	1222748.325961
10600	1244520.53908842
10700	1266979.46010646
10800	1294999.0290725
10900	1322616.76800743
11000	1345546.87184132
11100	1368671.64312783
11200	1391981.83473864
11300	1415388.54603551
11400	1438690.27187322
11500	1462512.72972145
11600	1486291.22089528
11700	1509703.02446241
11800	1533724.61736032
11900	1563272.23971637
12000	1593251.58738669
12100	1617567.84188621
12200	1641795.05459164
12300	1666102.05018818
12400	1690573.42376151
12500	1715146.73286098
12600	1739961.39851946
12700	1764814.30986415
12800	1789908.02641853
12900	1815017.1960156
13000	1839615.04671025
13100	1864782.92773022
13200	1888978.87464617
13300	1902086.63646128
13400	1927665.20151327
13500	1953140.86315863
13600	1978548.70055426
13700	2003594.5507105
13800	2017033.58049764
13900	2042470.41891661
14000	2067842.97330608
14100	2091663.94082824
14200	2105349.55225403
14300	2130937.1099112
14400	2156324.3128615
14500	2181713.62656625
14600	2207410.7925125
14700	2232685.07231787
14800	2256608.09518494
14900	2270025.08652236
15000	2295368.72702336
15100	2320300.29030362
15200	2333786.39200583
15300	2359048.62749125
15400	2383422.12100007
15500	2396399.18224767
15600	2421231.96591232
15700	2446088.96686776
15800	2471001.73188165
15900	2495708.48635085
16000	2518889.78450704
16100	2530724.24028308
16200	2544852.78231423
16300	2569172.41409352
16400	2593377.85390658
16500	2617423.9385596
16600	2639228.09326505
16700	2652836.85122582
16800	2676568.51462795
16900	2699058.02849922
17000	2712462.62295617
17100	2734471.3767677
17200	2747117.9698618
17300	2770308.96370349
17400	2793383.93374176
17500	2816357.99865205
17600	2837342.1833972
17700	2839114.57890669
17800	2861720.28843278
17900	2884160.40137563
18000	2906365.03641404
18100	2927358.36024616
18200	2939074.71293902
18300	2960045.78054794
18400	2972059.97956445
18500	2993620.99419374
18600	3013749.86988764
18700	3025222.41547324
18800	3046178.44386115
18900	3066986.53546891
19000	3086310.24232474
19100	3096811.52858993
19200	3108138.62691997
19300	3128423.81800779
19400	3148383.12923343
19500	3168158.97509496
19600	3185623.33840511
19700	3187709.92168943
19800	3207163.73689734
19900	3226346.78637387
20000	3245162.1973784
20100	3262293.01822596
20200	3272784.32112106
20300	3290043.09223499
20400	3300691.2793383
20500	3318518.09751666
20600	3335049.46634934
20700	3344831.43850803
20800	3362234.21845621
20900	3379207.48985503
21000	3388421.7006666
21100	3404724.0227753
21200	3413741.1290281
21300	3430459.06189352
21400	3446191.31405408
21500	3462249.35483151
21600	3477530.99760946
21700	3478249.41051317
21800	3493726.59002272
21900	3508914.14152372
22000	3524035.14812962
22100	3539500.93895702
22200	3554324.07885476
22300	3561046.58954549
22400	3568667.93028083
22500	3583236.24726464
22600	3597398.0015493
22700	3611626.85759931
22800	3624944.1055615
22900	3637146.14685526
23000	3644417.95982874
23100	3657077.99891205
23200	3663206.31541881
23300	3676386.43736888
23400	3689664.30785035
23500	3702124.44592466
23600	3714198.3339286
23700	3725125.09988024
23800	3731198.27832419
23900	3742556.07553117
24000	3754108.1073297
24100	3766328.10353464
24200	3776407.73652564
24300	3781431.61033158
24400	3792396.44652568
24500	3802798.57433811
24600	3812338.87858743
24700	3822613.1431604
24800	3832221.78418396
24900	3842092.5684254
25000	3847562.07567859
