# Te	Ce
# K	(m^3K)
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	5.33518560396197E-194
2900	2.33031076328447E-191
3000	3.30098977986854E-191
3100	4417.39907042307
3200	5937.92122081049
3300	13258.6263177028
3400	17685.226977125
3500	24693.5378405809
3600	31169.619075383
3700	37120.3834750132
3800	43519.504518835
3900	51518.9284419607
4000	60511.3881286231
4100	68788.6085965861
4200	76525.6399336862
4300	86470.165606764
4400	96599.7988977517
4500	107575.03405158
4600	118807.997766051
4700	130416.100517263
4800	142155.306501089
4900	154611.24231057
5000	168490.718433635
5100	182344.704316379
5200	196692.343113062
5300	211512.229698366
5400	227137.486086374
5500	242932.775092219
5600	258549.268706862
5700	276848.709380587
5800	291952.030551857
5900	308950.557464494
6000	326568.559720259
6100	345656.288209021
6200	364404.200086329
6300	382368.331330065
6400	401726.023409567
6500	419545.639849287
6600	438988.383319319
6700	459768.406885365
6800	481055.960027036
6900	500344.049983731
7000	520993.998189814
7100	542453.942042044
7200	564231.222584812
7300	584684.35046415
7400	607231.79597159
7500	630093.314947219
7600	650367.636124269
7700	670676.43472234
7800	695012.683038738
7900	720051.630945588
8000	743498.660336024
8100	767522.596155916
8200	787525.259012839
8300	811090.601945517
8400	835914.706696556
8500	858541.624217218
8600	878020.367135753
8700	903923.01893632
8800	929221.433242476
8900	954545.556527494
9000	976769.553895196
9100	1000295.91767097
9200	1028017.02912998
9300	1057652.52576082
9400	1083184.3743911
9500	1102815.2451255
9600	1130346.36647093
9700	1154991.84186153
9800	1179957.75455505
9900	1208381.65329141
10000	1230966.73891595
10100	1256325.81846705
10200	1283927.91571164
10300	1313416.09022864
10400	1337437.65114261
10500	1363888.66509675
10600	1390338.65028517
10700	1414750.57722662
10800	1438910.41450828
10900	1468760.67064907
11000	1496432.01840658
11100	1520664.13281708
11200	1544765.36009226
11300	1573118.63691908
11400	1603738.33606027
11500	1631212.79326192
11600	1656922.33721384
11700	1681338.23176482
11800	1706038.34306354
11900	1736155.4304403
12000	1765998.54690475
12100	1793128.61928278
12200	1819257.38718371
12300	1850587.43123995
12400	1874930.55017803
12500	1904304.43824686
12600	1935225.82401817
12700	1956342.62526519
12800	1980023.55289199
12900	2008524.98374534
13000	2029574.36474517
13100	2058256.80323676
13200	2089644.4137295
13300	2113798.67050572
13400	2145441.23778573
13500	2176296.89045083
13600	2193557.89162621
13700	2223446.63288043
13800	2256933.67824183
13900	2281333.31906695
14000	2308831.17139705
14100	2336583.76392399
14200	2365055.96383907
14300	2386359.53304312
14400	2416263.40157352
14500	2441716.42128859
14600	2461862.56112612
14700	2488433.24613112
14800	2515871.71102422
14900	2538550.08762043
15000	2566783.12695805
15100	2591751.37282398
15200	2616182.94390834
15300	2638797.40854843
15400	2668266.16835355
15500	2696242.45248684
15600	2721627.06228933
15700	2740613.08850075
15800	2767715.64675538
15900	2796403.70706194
16000	2824158.12234925
16100	2845719.57003386
16200	2867478.67813531
16300	2892353.54875072
16400	2917561.82896916
16500	2938557.74879249
16600	2959751.6648124
16700	2983570.42369463
16800	3005883.27480899
16900	3031089.92426468
17000	3055666.30068612
17100	3078382.57794024
17200	3096879.65544389
17300	3119781.29162573
17400	3142116.03978807
17500	3163944.91698645
17600	3187497.96965694
17700	3208954.11840535
17800	3229721.95010546
17900	3250496.5916308
18000	3272300.53374413
18100	3293464.95691921
18200	3312971.37708317
18300	3333224.92482581
18400	3354634.46043894
18500	3374263.48180326
18600	3394089.7214745
18700	3414662.29390218
18800	3433452.82959815
18900	3453495.87966052
19000	3472827.6516882
19100	3490336.69261336
19200	3508343.07911642
19300	3526734.3375329
19400	3545543.27410792
19500	3563801.65617976
19600	3581644.54888809
19700	3599329.68158697
19800	3616044.07901013
19900	3631018.14599799
20000	3644974.22278089
