# Te	Ce
# K	(m^3K)
400	5.4630645058008E-41
500	5.44584708598442E-41
600	5.42862966616804E-41
700	5.41141224635166E-41
800	5.39419482653528E-41
900	5.37697740671889E-41
1000	5.35975998690251E-41
1100	5.34254256708613E-41
1200	5.32532514726975E-41
1300	5.30810772745337E-41
1400	5.29089030763699E-41
1500	5.27367288782061E-41
1600	5.25645546800423E-41
1700	5.23923804818784E-41
1800	5.22202062837146E-41
1900	5.20480320855508E-41
2000	5.187623364616E-41
2100	1953.45931046842
2200	7956.2540221951
2300	10698.5353305391
2400	14436.746600342
2500	19330.5751036324
2600	24623.8367462189
2700	30687.5557095818
2800	37402.0851185624
2900	44869.3939120421
3000	55554.8646601399
3100	64724.2873866393
3200	74737.9058834002
3300	85593.0324286055
3400	96795.1210184278
3500	108620.380717016
3600	121526.849173839
3700	134295.012817432
3800	148707.490052482
3900	163294.240959761
4000	177627.938234414
4100	196721.587275628
4200	213578.379028962
4300	230468.205772475
4400	246600.082434402
4500	264150.91457463
4600	281719.169570904
4700	299728.185647123
4800	317837.744377361
4900	334807.459768666
5000	353413.084506531
5100	373461.419180912
5200	392969.406647666
5300	411709.052387403
5400	430522.818530528
5500	449243.641202134
5600	468735.66068238
5700	488456.200044797
5800	507548.624937697
5900	526812.709951493
6000	545128.180026907
6100	562896.927319197
6200	581797.603046204
6300	600114.242454571
6400	618153.234487108
6500	636927.552410891
6600	655697.642708066
6700	672911.665607785
6800	690101.549351359
6900	708395.09429342
7000	724712.611355829
7100	741615.234490724
7200	759419.03717281
7300	774578.351529936
7400	791804.198929892
7500	807541.70069548
7600	822613.774201223
7700	838176.826786364
7800	852493.53988173
7900	868294.661169719
8000	882496.327562885
8100	895475.466275003
8200	909568.921523365
8300	924537.6372723
8400	938303.858014337
8500	950958.585053358
8600	963133.441808737
8700	976034.240571935
8800	988447.334806911
8900	1000326.6444635
9000	1011936.02341873
9100	1023425.82883805
9200	1034785.18782705
9300	1045108.42888393
9400	1055818.43930142
9500	1065975.60494512
9600	1075997.40860328
9700	1085921.26994324
9800	1095704.86438889
9900	1105768.95130789
10000	1115387.81851749
10100	1124797.77997501
10200	1134135.90121463
10300	1143327.96667921
10400	1151984.97531314
10500	1160220.79476404
10600	1168231.74737463
10700	1175376.16276258
10800	1183255.49710781
10900	1190571.03148258
11000	1197482.88551879
11100	1204841.05892958
11200	1212343.99184139
11300	1219787.66062856
11400	1226855.7583262
11500	1233733.8556627
11600	1240173.02083459
11700	1247267.42996549
11800	1254014.05375117
11900	1260632.6901158
12000	1266536.28059836
12100	1271949.67165682
12200	1278015.17295852
12300	1284414.84381403
12400	1290756.5042664
12500	1296944.08462165
12600	1301853.12304011
12700	1307676.20680908
12800	1313951.04047899
12900	1318717.39584633
13000	1322970.90911772
13100	1328952.05972481
13200	1334733.13281064
13300	1339521.45947433
13400	1344741.26862768
13500	1350188.14064898
13600	1355522.92742246
13700	1359882.94581142
13800	1363559.52183888
13900	1369232.44191221
14000	1374292.22835507
14100	1379121.8580838
14200	1383155.9530281
14300	1388115.34604089
14400	1392985.26460851
14500	1396945.46137672
14600	1401788.73411296
14700	1406217.74978566
14800	1410968.97881401
14900	1414821.72027607
15000	1419654.41385201
15100	1423889.06181324
15200	1428282.92552073
15300	1432605.24085067
15400	1436577.62869785
15500	1440569.09273638
15600	1445790.88280479
15700	1449404.19624958
15800	1453652.54401235
15900	1457941.27072223
16000	1461976.18960671
16100	1465744.22359477
16200	1470415.16076941
16300	1474939.7150365
16400	1479116.64148299
16500	1482713.3490372
16600	1486367.59425182
16700	1491053.47627138
16800	1494732.78981043
16900	1499062.08140824
17000	1502343.74213127
17100	1506917.31114144
17200	1510787.62630998
17300	1514540.7327466
17400	1519020.06218044
17500	1522863.2705727
17600	1526478.97891638
17700	1530523.2452473
17800	1534443.08710371
17900	1538510.6601698
18000	1542313.32205019
18100	1545507.54023975
18200	1549809.04187661
18300	1553686.27206911
18400	1557605.07397805
18500	1561511.34535863
18600	1564887.11262944
18700	1568664.54877686
18800	1572283.92604221
18900	1575528.21484987
19000	1579865.0848222
19100	1583581.22153675
19200	1586781.6646233
19300	1590309.68792374
19400	1594821.77891675
19500	1598085.5254536
19600	1601380.17078537
19700	1604638.59480811
19800	1608657.79544378
19900	1612348.38129024
20000	1616341.81725913
20100	1619470.57358816
20200	1622536.86333931
20300	1626137.2016805
20400	1630150.25142062
20500	1634344.82900822
20600	1636504.52286369
20700	1640006.92236187
20800	1643545.67559986
20900	1647200.21809855
21000	1649826.91923164
21100	1653618.18985803
21200	1657184.82689892
21300	1659776.0476496
21400	1663643.93982509
21500	1666597.72427
21600	1670135.60613019
21700	1673368.34255933
21800	1677095.93806671
21900	1679140.84230792
22000	1682559.43793033
22100	1686001.93136996
22200	1689032.98378189
22300	1692631.39180825
22400	1694916.9343235
22500	1698066.27981068
22600	1701053.71283481
22700	1704588.83989251
22800	1707591.94235665
22900	1710089.8821513
23000	1713526.22995242
23100	1716540.56729476
23200	1718866.24472578
23300	1722115.42625802
23400	1724428.16798236
23500	1726972.31492657
23600	1729488.29778241
23700	1732628.70894594
23800	1735716.23768743
23900	1738675.92623062
24000	1740999.73338016
24100	1743676.47304392
24200	1746567.69244551
24300	1749211.01981265
24400	1751839.47940416
24500	1754291.54610107
24600	1757119.33640596
24700	1759450.76773349
24800	1761641.43707343
24900	1764209.8720163
25000	1766444.62714887
