# Te	Ce
# K	(m^3K)
400	4.29227273970782E-41
500	4.26113938378824E-41
600	4.23000602786865E-41
700	4.19887267194907E-41
800	4.16773931602949E-41
900	4.13660596010991E-41
1000	4.10547260419033E-41
1100	4.07433924827074E-41
1200	4.04320589235116E-41
1300	4.01207253643158E-41
1400	3.980939180512E-41
1500	3.94980582459242E-41
1600	3.91867246867283E-41
1700	3.88753911275325E-41
1800	3.85640575683367E-41
1900	3.82527240091409E-41
2000	3.80013599478611E-41
2100	4398.50615968625
2200	6374.43969631819
2300	9651.94853847792
2400	12447.7168593534
2500	16897.0559889907
2600	21513.753007083
2700	26311.0723026061
2800	39576.5179493263
2900	52435.1656353962
3000	63846.743878374
3100	76129.3255167658
3200	94283.824476761
3300	107132.260553953
3400	120855.510571638
3500	135455.294961857
3600	150264.377490291
3700	166050.437653672
3800	183283.652569376
3900	200225.755288526
4000	217035.313387594
4100	239656.218885454
4200	258637.193932095
4300	276906.680736653
4400	295495.133992694
4500	315270.346713326
4600	336044.118803483
4700	356297.761065129
4800	376002.288786901
4900	396005.897307047
5000	416131.720399615
5100	436633.686144338
5200	456933.599799984
5300	477235.019841767
5400	496805.005350453
5500	515588.56692408
5600	535655.66682933
5700	555920.801863215
5800	574195.951268521
5900	592519.733938105
6000	613061.484741486
6100	632827.451559204
6200	651332.828047213
6300	669517.356144542
6400	686753.5144638
6500	703431.176121328
6600	720553.519549205
6700	737232.240734653
6800	753915.008256033
6900	771498.001466632
7000	787782.290450743
7100	802125.141509648
7200	817021.358601237
7300	833211.971531786
7400	848717.157312776
7500	862775.511822517
7600	874922.426912728
7700	888311.309531659
7800	902571.764743837
7900	915993.700605249
8000	928740.034751135
8100	940114.069680313
8200	951442.534736984
8300	963683.943804574
8400	976165.413766464
8500	987787.817971888
8600	998154.718704288
8700	1007964.80828653
8800	1017950.20474487
8900	1027989.29445617
9000	1038340.17263306
9100	1048094.56156846
9200	1057324.9846835
9300	1066768.66078267
9400	1075691.14516036
9500	1084186.57814781
9600	1092495.74678378
9700	1101011.20949597
9800	1108799.33837981
9900	1116231.1983841
10000	1123783.4986131
10100	1131878.48772788
10200	1139096.42774458
10300	1146051.15149397
10400	1152913.78984939
10500	1159928.75953836
10600	1166882.61404142
10700	1173630.40842385
10800	1179654.26259341
10900	1185187.24225502
11000	1191521.28336331
11100	1197759.76019189
11200	1203388.16910231
11300	1209086.60810263
11400	1215483.8508905
11500	1220613.81978422
11600	1225986.6627667
11700	1231117.20094725
11800	1236467.38813002
11900	1241295.06591805
12000	1245844.09356602
12100	1251130.24111243
12200	1256354.93795842
12300	1260982.55051025
12400	1265497.3564484
12500	1269300.9555677
12600	1274055.76910978
12700	1279223.52635721
12800	1283816.92035496
12900	1286995.17960552
13000	1291642.30100222
13100	1295755.21522666
13200	1300284.3147989
13300	1303839.22630925
13400	1308110.73979175
13500	1312546.38091288
13600	1316393.46148707
13700	1319275.86593263
13800	1323243.02573007
13900	1327748.60874554
14000	1332052.71060897
14100	1334859.22203897
14200	1338871.0906815
14300	1343175.02617547
14400	1346702.68884942
14500	1349906.73547965
14600	1353270.60353312
14700	1357204.36132425
14800	1360387.98901048
14900	1363899.82175421
15000	1366731.45574572
15100	1369783.03883267
15200	1373639.15181527
15300	1377143.58743668
15400	1380053.34219764
15500	1383181.13485684
15600	1385903.87293097
15700	1389650.30768843
15800	1392469.58713129
15900	1396151.14425409
16000	1399409.29015791
16100	1402286.43241654
16200	1405227.00195243
16300	1408099.3699733
16400	1410962.9732688
16500	1414513.72390688
16600	1417577.7681426
16700	1419698.50050124
16800	1422931.06789345
16900	1425646.67363593
17000	1428010.35337574
17100	1431208.23452527
17200	1434546.90677511
17300	1436421.08536824
17400	1439249.82584795
17500	1442571.01286731
17600	1445005.37752854
17700	1447440.06359711
17800	1450693.84780897
17900	1453063.94528593
18000	1455712.85731464
