# Te	Ce
# K	(m^3K)
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	1025.85
1300	3933.880612325945
1400	4236.564647827607
1500	5071.818596848694
1600	9624.264889007494
1700	10423.45387668846
1800	11889.38438157175
1900	13740.39453455426
2000	15218.55971706917
2100	16551.61753039147
2200	18148.25917883592
2300	19610.81498105776
2400	21155.72713325249
2500	22727.83374189147
2600	24062.85553849855
2700	25420.24841281267
2800	26738.86919574943
2900	27995.85257414992
3000	29144.39840245014
3100	30525.53202538791
3200	31756.94120970448
3300	32968.42873294104
3400	34232.69261171363
3500	35601.50820730761
3600	36647.77402457297
3700	50045.63194781085
3800	52506.05674233495
3900	54890.36002283989
4000	57823.39207840921
4100	60651.62323162762
4200	88577.92981656526
4300	102403.9276389941
4400	108726.2978308476
4500	115656.1422241882
4600	123663.4049489793
4700	133476.5351012656
4800	143615.7970541515
4900	154683.7256003862
5000	166413.0079467866
5100	178872.1433626554
5200	192107.4913471408
5300	207377.911139349
5400	224358.6060351599
5500	241699.1611596404
5600	258938.0644949684
5700	276748.2771955558
5800	296423.673719676
5900	316430.9291480228
6000	335952.3829668846
6100	356432.533448528
6200	377273.4038581838
6300	398121.9656387511
6400	419294.1111945779
6500	441759.2911246491
6600	463532.3018219636
6700	484846.6525456411
6800	506221.338389401
6900	527392.8965336375
7000	549519.8122237591
7100	571165.1282496137
7200	592190.9600000466
7300	613272.0600181845
7400	634363.0394622473
7500	654992.7596128
7600	674846.7355225728
7700	694789.6942886221
7800	714855.8744470729
7900	734605.621650223
8000	754667.289829448
8100	773458.6951351532
8200	791510.7581616662
8300	811469.3395465011
8400	830953.8290773478
8500	848961.457810473
8600	866413.8169322821
8700	883820.1243467453
8800	902011.8196072947
8900	920451.7621423271
9000	938123.906100559
9100	955068.3662066719
9200	972073.7474426739
9300	988465.0967240933
9400	1004721.077796133
9500	1021661.677231624
9600	1037339.172897173
9700	1053063.141890744
9800	1068844.296558337
9900	1084091.663549906
10000	1099216.421808913
10100	1115074.27942555
10200	1130823.282049208
10300	1146013.475625461
10400	1161967.262257063
10500	1176003.375204202
10600	1190754.399394536
10700	1206032.642329928
10800	1220755.363380915
10900	1234707.02859052
11000	1248856.775305254
11100	1263004.627915735
11200	1276453.294851703
11300	1291243.59999366
11400	1305467.436998033
11500	1319117.657003891
11600	1333479.566116193
11700	1347065.1443197
11800	1360147.80923533
11900	1373895.856031624
12000	1386874.361725024
12100	1400048.949441993
12200	1413047.023399593
12300	1425430.605580827
12400	1438476.467630633
12500	1452015.189893689
12600	1465597.390540933
12700	1478875.732103879
12800	1492204.698482658
12900	1504708.849019232
13000	1517641.689412082
13100	1530649.230908792
13200	1543070.78685809
13300	1555747.754691145
13400	1569137.567900107
13500	1581262.76991439
13600	1592406.499621207
13700	1604669.950504698
13800	1616498.366053685
13900	1627926.758847406
14000	1639702.654629141
14100	1652400.878831391
14200	1664271.494337059
14300	1675797.613674776
14400	1688286.449072425
14500	1700007.127304367
14600	1711119.147819178
14700	1722273.971313759
14800	1733909.243726922
14900	1745512.581206017
15000	1755885.386628508
15100	1766139.840915028
15200	1776419.327974223
15300	1786866.79315166
15400	1798650.731294499
15500	1810381.371703716
15600	1820533.85196942
15700	1830981.417275173
15800	1840208.921453359
15900	1849695.08892676
16000	1860426.265242531
16100	1869711.95297903
16200	1879642.716428169
16300	1889868.831069954
16400	1898366.897197827
16500	1907393.346234371
16600	1915991.536750591
16700	1924892.182103895
16800	1934182.289134455
16900	1942456.168598523
17000	1951048.01901373
17100	1959161.632968253
17200	1966818.635763531
17300	1974329.344912149
17400	1982245.26066826
17500	1989608.772101345
17600	1997080.423170432
17700	2004408.463357823
17800	2011301.457891549
17900	2018333.798402545
18000	2025473.65214399
18100	2031608.631211748
18200	2037265.372303333
18300	2043852.28193318
18400	2049707.828386593
18500	2054730.287199359
18600	2059646.006763588
18700	2065549.402689936
18800	2071233.946278793
18900	2076236.569454986
19000	2080732.396856865
19100	2086166.532246023
19200	2091120.331262671
19300	2096495.308499496
19400	2101674.969207062
19500	2105548.091917646
19600	2110604.63292973
19700	2115539.516438981
19800	2120428.468356649
19900	2125281.643940736
20000	2130004.223471484
20100	2132880.972777771
20200	2136839.96213425
20300	2140812.02645457
20400	2145249.684321679
20500	2149285.222176608
20600	2154131.956838726
20700	2157702.425859362
20800	2160674.136226277
20900	2165358.342035634
21000	2169011.1298353
21100	2173361.58448899
21200	2177797.462219222
21300	2181213.362440206
21400	2185066.560059557
21500	2188255.8168241
21600	2192044.550085427
21700	2195711.231924441
21800	2200090.834281337
21900	2204186.450201777
22000	2209003.698246081
22100	2213127.796943294
22200	2217634.696129482
22300	2216001.169959493
22400	2221231.050667901
22500	2227010.749466943
22600	2232722.154457152
22700	2238020.286250798
22800	2243579.765225388
22900	2249205.231451002
23000	2253914.310575511
23100	2259946.45031879
23200	2265702.302012115
23300	2270869.158650114
23400	2277159.504296035
23500	2284005.921062088
23600	2290806.625733774
23700	2297536.90021466
23800	2304883.231344616
23900	2313036.38911351
24000	2320641.902258273
24100	2329391.632823734
24200	2338179.114579056
24300	2347527.198683139
24400	2356140.815560334
24500	2364356.204880729
24600	2374139.420466674
24700	2384770.824365885
24800	2395157.620754115
24900	2405130.671289187
25000	2415450.363705232
