# Te	Ce
# K	J/(m^3K)
500	136000.590090381
600	180215.408506134
700	220309.233569728
800	260403.058633322
900	299705.210711332
1000	338342.430995892
1100	377612.955475171
1200	418180.860827828
1300	450844.595725157
1400	492677.006097764
1500	537755.50554788
1600	580972.921438686
1700	626119.230613878
1800	666284.381529776
1900	725875.011565407
2000	776305.702049435
2100	822465.640534034
2200	876015.502628219
2300	928325.916600115
2400	998286.397195429
2500	1066237.0213797
2600	1123194.32583527
2700	1192528.86290424
2800	1236846.99226173
2900	1316363.7921439
3000	1384450.97839061
3100	1445704.16107394
3200	1526056.83740492
3300	1579261.64678089
3400	1662263.89392304
3500	1714804.03085095
3600	1792521.53596347
3700	1852265.07171627
3800	1927188.93254353
3900	1991750.59196386
4000	2062617.49188217
4100	2124021.37564853
4200	2193614.89879344
4300	2256892.40873838
4400	2316486.06680115
4500	2381121.56516349
4600	2439834.19304597
4700	2504252.46036533
4800	2564324.61257583
4900	2619270.16631993
5000	2675315.00153462
5100	2734768.02665851
5200	2778070.05790323
5300	2837463.04269448
5400	2890049.55289589
5500	2938395.4288568
5600	2993432.22993271
5700	3036919.05228551
5800	3088577.29785377
5900	3127960.07607741
6000	3174285.12200318
6100	3219688.27841059
6200	3251902.69179435
6300	3302451.98086758
6400	3338847.7408509
6500	3378876.74005927
6600	3412642.37188081
6700	3454259.46398342
6800	3488329.01851593
6900	3522469.4705552
7000	3551953.72593184
7100	3582824.80173079
7200	3615702.86840395
7300	3643988.62119138
7400	3671563.50158838
7500	3701437.68196311
7600	3724562.27131674
7700	3752957.67268962
7800	3776336.09936128
7900	3798482.49438646
8000	3822984.92296625
8100	3841622.53163852
8200	3863290.97169151
8300	3880755.48866941
8400	3903082.65765881
8500	3921073.98482209
8600	3937151.5508406
8700	3955928.79307528
8800	3970706.63764281
8900	3986777.17692768
9000	3999837.76322661
9100	4012650.53244543
9200	4027203.53665332
9300	4039164.46781242
9400	4051148.38122597
9500	4063368.49413372
9600	4072973.80894013
9700	4083867.34598948
9800	4090932.35005066
9900	4100393.62286137
10000	4108436.24220659
10100	4116154.44487547
10200	4123488.31334601
10300	4130338.94359225
10400	4136797.26758085
10500	4142026.79805731
10600	4147513.33125035
10700	4150969.86309412
10800	4155198.57684791
10900	4158663.54732238
11000	4161731.56090669
11100	4165004.40794529
11200	4167999.29276766
11300	4170520.66717057
11400	4172489.14720596
11500	4174416.16186467
11600	4175572.53853133
11700	4176475.79294723
11800	4177056.7911378
11900	4177405.54383009
12000	4177141.51973763
12100	4176792.90821595
12200	4176315.68292911
12300	4175601.5923178
12400	4174710.58207604
12500	4173748.00869914
12600	4172363.99883159
12700	4170502.06779725
12800	4168922.06359468
12900	4166553.76225461
13000	4164346.36203089
13100	4161576.87910678
13200	4158954.22660025
13300	4155890.06787655
13400	4153051.52545325
13500	4149870.6128616
13600	4146724.88647733
13700	4144137.87751678
13800	4140094.79320861
13900	4136225.26461767
14000	4132341.72069891
14100	4128136.56419019
14200	4124924.83892886
14300	4120838.91698018
14400	4117698.83490922
14500	4115204.36583678
14600	4111696.42816404
14700	4108448.89237005
14800	4105463.05640853
14900	4102249.09612828
15000	4099443.7555936
15100	4095334.26508291
15200	4092042.5097733
15300	4088334.27077325
15400	4084735.36061611
15500	4081818.16687557
15600	4078559.04723033
15700	4074656.21683772
15800	4072062.57131946
15900	4067414.58019499
16000	4065531.61499226
16100	4063582.76764746
16200	4061862.85709119
16300	4060587.86123713
16400	4058750.40765258
16500	4057101.76395425
16600	4055749.14255757
16700	4053668.83028659
16800	4052239.5569924
16900	4050540.50532311
17000	4048834.91898026
17100	4047122.18099615
17200	4045595.41011388
17300	4043902.28623781
17400	4041909.89587008
17500	4041164.7133285
17600	4039104.07384678
17700	4038491.63894254
