# Te	Ce
# K	J/(m^3K)
600	24252.29566309
700	30186.4599220065
800	35559.1905822648
900	40931.9212425232
1000	46304.6519027815
1100	51677.3825630399
1200	57050.1132232982
1300	62422.8438835566
1400	67795.5745438149
1500	73168.3052040732
1600	78541.0358643316
1700	83784.1730586899
1800	89492.147305806
1900	96324.6307732221
2000	103286.577569888
2100	109796.913156658
2200	117318.245367312
2300	123866.211813226
2400	131374.158705855
2500	140106.197789911
2600	152414.145556988
2700	176378.178051258
2800	186012.669880708
2900	197030.448692226
3000	207178.820295447
3100	217600.392164105
3200	228067.64087512
3300	238708.446321907
3400	249860.681894356
3500	260365.072085686
3600	270526.600751836
3700	281104.03125982
3800	289598.247114469
3900	300849.958928319
4000	310036.320121668
4100	320324.010557944
4200	330556.892276566
4300	340675.269076202
4400	350324.963206084
4500	359213.227295255
4600	369265.303759232
4700	378639.451105877
4800	387030.809969019
4900	396971.138402518
5000	406048.804096522
5100	414344.747725403
5200	422596.601823455
5300	432337.083682989
5400	439761.041976593
5500	448786.527455903
5600	457564.105589548
5700	465675.445151445
5800	473783.126984156
5900	482315.387883862
6000	490486.844716491
6100	496943.947894313
6200	505971.886097279
6300	513691.054266147
6400	521939.155183712
6500	529055.662019502
6600	536888.187326463
6700	544451.878702309
6800	552240.14818986
6900	559536.487656087
7000	566066.673620897
7100	574313.411500691
7200	581080.450914759
7300	588311.877513235
7400	595612.392280766
7500	602852.869882193
7600	609301.250689828
7700	616844.079517306
7800	622796.628156659
7900	630708.168805145
8000	637508.676822741
8100	643831.808431821
8200	651259.739031196
8300	657676.836680517
8400	663646.814630417
8500	671428.396016551
8600	677889.57698159
8700	684270.001374454
8800	691366.19429754
8900	697429.597875251
9000	704175.82964809
9100	711119.065769337
9200	717315.026065582
9300	723562.946140988
9400	730716.641214419
9500	736985.53429869
9600	743629.114749767
9700	750179.576681276
9800	756691.923474756
9900	763163.940364952
10000	769013.1619248
10100	776083.601634838
10200	782334.226004607
10300	788420.711708115
10400	795412.306458846
10500	800873.005923954
10600	808251.889363367
10700	813507.448841327
10800	820471.151545714
10900	827426.057838236
11000	833465.85703024
11100	839691.054622445
11200	846555.761614285
11300	852352.203640483
11400	859290.471179135
11500	865194.947920222
11600	871462.267655531
11700	878380.634387554
11800	884347.858541764
11900	891117.622378476
12000	896762.820340679
12100	903877.639863411
12200	910258.82655834
12300	916582.833736144
12400	922949.044937516
12500	929145.201620352
12600	935235.965874787
12700	942138.388770456
12800	948344.364582031
12900	954892.31274523
13000	960755.159853266
13100	967697.942063182
13200	973513.900992162
13300	980378.841950125
13400	986877.32054725
13500	992666.338495503
13600	999182.688309123
13700	1006135.1880355
13800	1012563.28736152
13900	1018953.97276956
14000	1025427.35282917
14100	1031295.97371149
14200	1038308.86854972
14300	1044749.98514542
14400	1051109.80155037
14500	1057440.83160781
14600	1063028.16315078
14700	1070301.13317816
14800	1076642.30025788
14900	1082983.4673376
15000	1088788.58159628
15100	1095424.99527272
15200	1102083.48944596
15300	1108457.39750312
15400	1114831.30556028
15500	1120481.33499179
15600	1127600.97268858
15700	1133816.28783449
15800	1139742.64776277
15900	1146266.55428846
16000	1152850.79696954
16100	1159618.86664633
16200	1165819.1074829
16300	1172482.08878394
16400	1178909.35284564
16500	1184824.337073
16600	1191731.56555044
16700	1198141.30990399
16800	1204217.40673727
16900	1210505.85254855
17000	1217401.50826575
17100	1223909.11945893
17200	1230075.09471595
17300	1236536.01608165
17400	1242696.21236447
17500	1249578.66356968
17600	1255968.99151233
17700	1262359.31945498
17800	1268749.64739763
17900	1274448.56109637
18000	1281143.80052971
18100	1286880.33861183
18200	1293528.04483916
18300	1299482.9498095
18400	1305609.7257255
18500	1311710.94606605
18600	1317252.71299831
18700	1323305.78979154
18800	1329324.8061933
18900	1335285.37496858
19000	1341461.26948751
19100	1347380.30588867
19200	1352976.20337694
19300	1359324.27490288
19400	1365313.96054328
19500	1371303.64618368
19600	1376919.86612099
19700	1383125.40809355
19800	1389062.73696047
19900	1394797.79185808
20000	1401041.19250313
20100	1406347.08309033
20200	1412993.47522738
20300	1418850.82063989
20400	1423737.59096436
20500	1429897.39365445
20600	1435368.40597103
20700	1440444.23134128
20800	1446378.71228869
20900	1451701.64034692
21000	1457442.03299793
21100	1462881.97836498
21200	1468321.92373203
21300	1473717.46375847
21400	1479087.09336674
21500	1484405.94249057
21600	1489445.73500717
21700	1495214.48989397
21800	1500128.70051802
21900	1505105.80455465
22000	1509935.51901932
22100	1515379.93353495
22200	1520033.47378304
22300	1525101.82831213
22400	1529931.71592859
22500	1534496.75517073
22600	1538956.5598204
22700	1543000.90320183
22800	1547184.72721817
22900	1550892.9502622
23000	1554501.17317427
23100	1558625.47404546
23200	1562487.11663044
23300	1566106.9173936
23400	1569968.90012526
23500	1573675.14515985
23600	1577524.43055791
23700	1581155.96211679
23800	1585162.08415801
23900	1588515.92266792
24000	1592474.87657921
24100	1596091.23326671
24200	1599104.16728355
24300	1601498.93163082
24400	1604539.44695787
24500	1607525.80487407
24600	1610643.35639508
24700	1613458.17790447
24800	1616031.27260048
24900	1618548.19517837
25000	1620744.66450173
25100	1622937.31489976
25200	1625153.54713623
25300	1626961.72146445
25400	1628752.6530758
25500	1631284.17378194
25600	1631253.14877794
25700	1631542.13055497
25800	1629530.49825623
25900	1628517.06162123
26000	1625735.70091852
26100	1625318.52414362
26200	1623679.08421192
26300	1623540.76478506
26400	1624774.25543037
26500	1625166.38281763
26600	1625659.04446809
26700	1626236.61985105
26800	1625933.2362106
26900	1625773.73404309
27000	1625861.15354027
27100	1625860.5940941
27200	1626630.02616304
27300	1627566.30436154
27400	1628692.1101082
27500	1628806.54828721
27600	1627711.57332773
27700	1626993.32005342
27800	1626345.67930323
27900	1625630.03313344
28000	1621503.58302756
28100	1618856.81289159
28200	1616063.2021685
28300	1612942.80578118
28400	1610482.13853191
28500	1608183.59432114
28600	1604162.10778942
28700	1602220.13079584
28800	1596398.56601251
28900	1592760.37070747
29000	1592157.15542588
29100	1591291.48192279
29200	1589876.05525842
29300	1588493.25370087
29400	1587132.50817719
29500	1586497.35877867
29600	1585864.18695946
29700	1584508.28552424
29800	1583678.31017409
29900	1582622.25096612
30000	1579244.61027566
