# Te	Coupling parameter
# K	W/(m\+(2)K)
400	67016.4209901997
500	95415.978690783
600	123815.536391366
700	152215.09409195
800	180614.651847344
900	252798.656826587
1000	340438.941530556
1100	413492.222724424
1200	486545.503918292
1300	559598.78511216
1400	632652.066306029
1500	705705.347499897
1600	778758.628693765
1700	851811.909887633
1800	923857.865481682
1900	1009171.80140367
2000	1148614.2973542
2100	1294512.49143327
2200	1442994.5459439
2300	1569355.09282701
2400	1721732.46296399
2500	1860390.2436796
2600	1999048.0243952
2700	2137705.80511081
2800	2276363.58582641
2900	2405102.21990245
3000	2542117.08584928
3100	2682479.1514817
3200	2818623.89697564
3300	2965234.6716294
3400	3111585.59325245
3500	3243538.60078868
3600	3390729.88467223
3700	3520302.0009739
3800	3682432.68167961
3900	3818484.20783107
4000	3983748.62414809
4100	4136327.24787839
4200	4270056.5298562
4300	4410376.72771123
4400	4551458.81514367
4500	4684597.79581202
4600	4802819.60093987
4700	4923430.7125038
4800	5053857.16037711
4900	5156933.80849442
5000	5266766.37949001
5100	5374077.7543764
5200	5471476.64098439
5300	5570451.92529378
5400	5659696.98067061
5500	5744584.08050874
5600	5859256.38494714
5700	5959832.23880925
5800	6059121.55738113
5900	6156251.56759716
6000	6263425.64999426
6100	6367440.12836515
6200	6471454.60673604
6300	6575469.08510693
6400	6675645.44842929
6500	6782564.60773576
6600	6871161.2203016
6700	6968547.76158601
6800	7077056.8341269
6900	7192504.33078791
7000	7291861.74017966
7100	7407276.4349405
7200	7528270.66985472
7300	7643219.6203078
7400	7757821.05825826
7500	7879742.14551179
7600	8000309.41134678
7700	8106875.28520688
7800	8298085.36473229
7900	8456063.93996491
8000	8610123.07458698
8100	8788338.92966677
8200	8950279.90882788
8300	9153325.4342114
8400	9336861.77633521
8500	9520398.11845902
8600	9691842.09508708
8700	9922963.4996339
8800	10138151.0516702
8900	10378304.1037531
9000	10602922.5990109
9100	10804909.6874017
9200	11044150.3613839
9300	11309538.3344002
9400	11549517.158941
9500	11775037.0799389
9600	12047967.8916264
9700	12290286.3872179
9800	12565675.9395566
9900	12800828.7749704
10000	13104520.0195733
10100	13393106.9191812
10200	13676945.6279989
10300	13933093.761103
10400	14251689.1012561
10500	14539592.0063043
10600	14827494.9113526
10700	15097541.0037612
10800	15428420.9770612
10900	15874476.0748866
11000	16221747.4363794
11100	16670163.7985998
11200	17079130.8989422
11300	17505571.4117077
11400	17966835.9783503
11500	18378833.4978166
11600	18893482.659996
11700	19361771.726554
11800	19830060.793112
11900	20298349.85967
12000	20737246.9159799
12100	21231033.6603826
12200	21611711.5362298
12300	22248246.0733757
12400	22822870.4605499
12500	23320459.2840905
12600	23951829.2214418
12700	24475905.8902147
12800	25045550.5298363
12900	25701264.1956934
13000	26285981.8569689
13100	26881259.2281755
13200	27552436.8792132
13300	28165684.9151769
13400	28829474.2972604
13500	29512462.154613
13600	30183266.4261797
13700	30852916.4680459
13800	31489527.1121465
13900	32249370.3023218
14000	32934115.4762462
14100	33628542.7786662
14200	34424747.8826225
14300	35136722.985945
14400	35949485.353438
14500	36724857.2428371
14600	37444476.1454215
14700	38468420.3336574
14800	39337793.8505223
14900	40329131.0213386
15000	41338076.001884
15100	42288490.1149289
15200	43271250.824007
15300	44237683.9402211
15400	45076944.377886
15500	46461850.772228
15600	47605837.4983009
15700	48749824.2243739
15800	49893810.9504468
15900	50857778.3207016
16000	51930675.4542504
16100	53044751.5725851
16200	54101977.8733311
16300	55159204.1740771
16400	56214192.7046272
16500	57281623.1440246
16600	58344213.2325618
16700	59348481.9853695
16800	60399396.1835373
16900	61385331.5957804
17000	62296676.3081921
17100	63397707.545514
17200	64652269.9816897
17300	65918960.1054557
17400	67085693.762371
17500	68252427.4192864
17600	69389368.0936296
17700	70482496.3708132
17800	71890548.6095231
17900	73184867.9447613
18000	74389519.9885684
18100	75997523.5373376
18200	77436613.1087138
18300	78628008.7745689
18400	80511336.6586291
18500	81945934.074148
18600	83748858.5679995
18700	85689677.9163173
18800	87453153.9194569
18900	89160655.4146333
19000	90913002.556914
19100	92630508.4314877
19200	94214951.7457232
19300	95867320.9675933
19400	97529613.7890046
19500	99506112.156725
19600	101321676.152605
19700	102909432.030457
19800	104492763.35451
19900	106028578.238335
20000	107451221.820463
20100	108858873.18227
20200	111019991.533563
20300	112703833.107143
20400	114551909.77906
20500	116581129.874699
20600	119254905.785435
20700	121620387.156199
20800	123947693.283109
20900	126805550.275441
21000	129762433.415876
21100	132572129.66064
21200	135128364.811726
21300	138455647.272985
21400	141409637.706612
21500	144081477.648372
21600	147993385.889434
21700	152538091.506135
21800	156415473.404815
21900	161315291.787971
22000	165869730.783455
22100	170424169.778939
22200	174739527.169167
22300	180573643.441458
22400	186039566.528279
22500	191143000.582729
22600	197926449.166061
22700	203998242.490219
22800	211664524.396643
22900	218129069.024242
23000	225082556.586809
23100	230975599.235527
23200	238059183.131372
23300	239365666.683091
23400	241637027.026185
23500	242685545.820127
23600	247149776.112569
23700	253373290.178782
23800	284756080.299154
23900	294153640.826946
24000	308090210.918706
24100	292878012.415297
24200	341481729.862417
24300	390977301.255958
24400	343971193.973042
24500	469667737.021334
24600	578166203.220154
24700	636451374.475491
24800	581101430.035073
24900	524924885.143112
25000	508856284.047324
