# Te	Coupling parameter
# K	W/(m\+(2)K)
400	505877.555116237
500	1513722.86742745
600	1959653.29914481
700	1998481.80762757
800	2033153.89118008
900	2066227.2414769
1000	2099300.59177371
1100	2132373.94207053
1200	2165447.29236735
1300	2198520.64266417
1400	2231593.99296099
1500	2264667.34325781
1600	2291108.24548029
1700	2323676.62475244
1800	2359805.18004732
1900	2417695.55455274
2000	2462260.52564659
2100	2509730.08301343
2200	2580778.00901838
2300	2661265.64607327
2400	2767380.10792424
2500	2861924.76157527
2600	2954968.75801475
2700	3048012.75445423
2800	3141056.75089371
2900	3234100.74733319
3000	3327144.74377267
3100	3414895.66253779
3200	3514455.13020503
3300	3653134.31862505
3400	3762033.08049076
3500	3877264.15863465
3600	4013578.73852927
3700	4133465.00720898
3800	4242559.7090031
3900	4371889.89736026
4000	4493579.50993222
4100	4625819.93214932
4200	4763291.91357148
4300	4891062.83993514
4400	5010085.02522036
4500	5173587.55712432
4600	5314283.43657602
4700	5454979.31602772
4800	5580290.32441262
4900	5745848.80256103
5000	5896376.87377108
5100	6045789.41969733
5200	6193561.89365647
5300	6336662.62180231
5400	6490378.10025533
5500	6637353.49752496
5600	6772228.96686402
5700	6890373.02626984
5800	7001851.42246111
5900	7110667.24426965
6000	7189601.1122917
6100	7302394.99779256
6200	7387279.43168954
6300	7472680.63891541
6400	7569771.64322995
6500	7659681.80750663
6600	7749591.9717833
6700	7830410.73768843
6800	7928149.93466654
6900	8016497.99485498
7000	8088365.92337344
7100	8159325.31267376
7200	8216962.55712817
7300	8255953.60388
7400	8258064.52672458
7500	8284769.4453497
7600	8303171.54116904
7700	8322938.94976901
7800	8339644.74508755
7900	8353086.97597762
8000	8375259.51807678
8100	8391734.49008084
8200	8421205.14084046
8300	8446579.539521
8400	8474427.57733402
8500	8495745.28174016
8600	8522132.56095682
8700	8548193.61114836
8800	8576819.61399092
8900	8597666.0599064
9000	8632278.48307246
9100	8660615.54204878
9200	8691440.8137679
9300	8726827.07291711
9400	8767961.08391586
9500	8806591.6591803
9600	8841360.22026703
9700	8891700.47463162
9800	8935025.14619979
9900	8977035.8813439
10000	9032692.37958128
10100	9084700.40907584
10200	9136708.4385704
10300	9188829.26857672
10400	9242878.03071577
10500	9298851.10627357
10600	9363455.47941726
10700	9421051.03980319
10800	9470327.58939636
10900	9520039.97639325
11000	9569752.36339014
11100	9619464.75038702
11200	9658836.4320196
11300	9719464.32613138
11400	9781588.01024653
11500	9838948.64488652
11600	9895457.58447077
11700	9949259.59379018
11800	10015333.642844
11900	10075356.0965375
12000	10132597.9862454
12100	10195252.9726655
12200	10284799.4796621
12300	10361824.1532608
12400	10438848.8268595
12500	10515873.5004582
12600	10592898.1740569
12700	10667949.4760298
12800	10748646.078475
12900	10824679.5885986
13000	10910261.1426047
13100	11007215.6964678
13200	11112322.6505291
13300	11207896.3641459
13400	11303470.0777626
13500	11390071.1376516
13600	11517106.5174072
13700	11613409.0345386
13800	11725705.8620836
13900	11828489.0647263
14000	11936673.3862988
14100	12037466.135885
14200	12158947.3949935
14300	12271387.9489138
14400	12384791.7010581
14500	12492844.5433258
14600	12610790.383339
14700	12728521.5763103
14800	12852978.9740847
14900	12969737.4638203
15000	13092110.4902652
15100	13211602.4669144
15200	13331094.4435635
15300	13439945.6502006
15400	13559647.3276341
15500	13682748.5386759
15600	13801153.9923586
15700	13918173.1162642
15800	14046378.6404086
15900	14162529.1282052
16000	14311470.5850386
16100	14445950.8029827
16200	14577548.1790833
16300	14721141.8895996
16400	14859479.6015352
16500	15001518.3408606
16600	15135882.6258165
16700	15299000.4237137
16800	15449043.7640123
16900	15581525.451836
17000	15751616.0635221
17100	15897524.2911489
17200	16041922.0615877
17300	16214661.4706253
17400	16360907.0420509
17500	16514347.3372382
17600	16665865.6993774
17700	16817384.0615166
17800	16966385.8865104
17900	17125646.0390758
18000	17286117.3508335
18100	17444863.7236242
18200	17603610.0964149
18300	17745770.5103977
18400	17901590.6181487
18500	18051132.8551333
18600	18195544.1414468
18700	18328786.0432495
18800	18482898.570487
18900	18633930.0132098
19000	18798427.3956235
19100	18951317.4503168
19200	19104207.5050101
19300	19257097.5597033
19400	19409787.8539245
19500	19566199.003606
19600	19722361.143775
19700	19877297.4567127
19800	20023491.5858256
19900	20184905.9144058
20000	20324734.0012199
20100	20464208.8373138
20200	20592453.0570177
20300	20729861.3953706
20400	20885740.8063816
20500	21029937.7076696
20600	21172989.2651873
20700	21324506.4728995
20800	21474465.5519283
20900	21608905.6634156
21000	21789678.9804401
21100	21947328.9698603
21200	22102885.3211556
21300	22252537.1157184
21400	22417203.5287824
21500	22576036.2609956
21600	22727280.8002208
21700	22879386.3445563
21800	23082747.6431446
21900	23261969.291555
22000	23455031.7442273
22100	23645654.470082
22200	23826227.2286494
22300	24034519.2987081
22400	24230540.962878
22500	24402621.9574128
22600	24656495.6466063
22700	24862310.2719218
22800	25089130.9830847
22900	25296771.61549
23000	25523660.9748808
23100	25753523.0106932
23200	25980113.1420295
23300	26206703.2733658
23400	26433293.4047021
23500	26659883.5360385
23600	26853474.7262191
23700	27125979.1352153
23800	27373170.6314528
23900	27616864.3485796
24000	27877307.9001135
24100	28132968.1868822
24200	28364965.6525571
24300	28654276.929512
24400	28882080.9914737
24500	29197991.5004003
24600	29469031.0072628
24700	29740070.5141252
24800	30011110.0209876
24900	30282149.5278501
25000	30539575.3766823
