# Te	G
# K	W/(m^3K)
400	6.83889117280084E16
500	7.67315512742322E16
600	7.75970632903586E16
700	7.84625753064851E16
800	7.93280873226115E16
900	8.0193599338738E16
1000	8.09406969736313E16
1100	8.33106557201556E16
1200	8.61702519084245E16
1300	8.85074032695825E16
1400	9.22292408057588E16
1500	9.59138641765163E16
1600	9.95409374106352E16
1700	1.03639098925285E17
1800	1.08263190263054E17
1900	1.12582825605452E17
2000	1.16800449977252E17
2100	1.21582340845613E17
2200	1.2587851659812E17
2300	1.30349658558011E17
2400	1.3496366576836E17
2500	1.39762970406163E17
2600	1.454850073855E17
2700	1.5025725522197E17
2800	1.55581405645569E17
2900	1.6064978371128E17
3000	1.65770740812743E17
3100	1.72098846467795E17
3200	1.76230445077538E17
3300	1.82962707993035E17
3400	1.88196636380151E17
3500	1.93493232056453E17
3600	1.97612594156941E17
3700	2.03803833778665E17
3800	2.08380527414071E17
3900	2.13804610847715E17
4000	2.18607689502252E17
4100	2.24325768772E17
4200	2.29445441740341E17
4300	2.34099161896211E17
4400	2.38861035119246E17
4500	2.44141197470804E17
4600	2.48918098411093E17
4700	2.53741448402831E17
4800	2.58059120730232E17
4900	2.62238919093212E17
5000	2.6692400889781E17
5100	2.71142918693526E17
5200	2.75531170088043E17
5300	2.79930404389696E17
5400	2.83885100538405E17
5500	2.88045652841396E17
5600	2.92140390432885E17
5700	2.95775832458083E17
5800	2.99284972877867E17
5900	3.03458248533989E17
6000	3.06794467314467E17
6100	3.10393574722632E17
6200	3.14145480069265E17
6300	3.17317818337183E17
6400	3.20686304676375E17
6500	3.24066569913013E17
6600	3.27072357997502E17
6700	3.30145598927029E17
6800	3.33383715505408E17
6900	3.35955790039691E17
7000	3.39382859002066E17
7100	3.42145693519481E17
7200	3.45096397484968E17
7300	3.47764075391888E17
7400	3.50382742708023E17
7500	3.53182961510015E17
7600	3.55625233289432E17
7700	3.57958107764277E17
7800	3.60530129277483E17
7900	3.62756927726859E17
8000	3.64888541313153E17
8100	3.67146736035265E17
8200	3.69410639982456E17
8300	3.71358910554273E17
8400	3.73395377109493E17
8500	3.75580128124702E17
8600	3.77222543540435E17
8700	3.79058372026575E17
8800	3.81217181644237E17
8900	3.82940146957346E17
9000	3.8460580330746E17
9100	3.86401345561048E17
9200	3.87982451707715E17
9300	3.89692962313827E17
9400	3.9108791234116E17
9500	3.92392950421963E17
9600	3.93993403554657E17
9700	3.95250334802959E17
9800	3.96581640369294E17
9900	3.97899100094137E17
10000	3.99194831507317E17
10100	4.00315153799012E17
10200	4.01637135396422E17
10300	4.02861215829498E17
10400	4.03915023589812E17
10500	4.04909708900683E17
10600	4.05922491478269E17
10700	4.06859010365448E17
10800	4.07702237850747E17
10900	4.08520353818636E17
11000	4.09379888929203E17
11100	4.10089699128097E17
11200	4.10869210379767E17
11300	4.11448915652344E17
11400	4.12162297976941E17
11500	4.12827792974138E17
11600	4.13468126273646E17
11700	4.14245725816172E17
11800	4.14986743711564E17
11900	4.15680385545363E17
12000	4.16417552749313E17
12100	4.1710415632365E17
12200	4.17664630164905E17
12300	4.18067985066661E17
12400	4.18420108416885E17
12500	4.18668667946584E17
12600	4.18883092247781E17
12700	4.19138512908816E17
12800	4.19288764351614E17
12900	4.19435145057589E17
13000	4.19582129945711E17
13100	4.19676231705057E17
13200	4.19826158092353E17
13300	4.1997439529242E17
13400	4.20207607430664E17
13500	4.20402921605077E17
13600	4.20538820110296E17
13700	4.2069992234763E17
13800	4.20791003403397E17
13900	4.20872212751163E17
14000	4.20909681653854E17
14100	4.20911872373752E17
14200	4.21027118079132E17
14300	4.20945801649676E17
14400	4.20936895060253E17
14500	4.20856169895192E17
14600	4.20945662870893E17
14700	4.20747592308434E17
14800	4.20709001252713E17
14900	4.20710291692038E17
15000	4.20544042010442E17
15100	4.20505336238138E17
15200	4.20244933266414E17
15300	4.20161383475345E17
15400	4.19675991807013E17
15500	4.19485159535583E17
15600	4.19120603529331E17
15700	4.18759141544263E17
15800	4.18754615201735E17
15900	4.185147614127E17
16000	4.18421003791575E17
16100	4.17831743666119E17
16200	4.17631538405108E17
16300	4.17398114560192E17
16400	4.17165362638236E17
16500	4.16705098721133E17
16600	4.16763441681981E17
16700	4.16750739542458E17
16800	4.16756720879377E17
16900	4.16719924505598E17
17000	4.166237970306E17
17100	4.16783149464063E17
17200	4.16793347644884E17
17300	4.16836655858546E17
17400	4.17035454096142E17
17500	4.17234148855514E17
17600	4.17401379066492E17
17700	4.17855649844872E17
17800	4.17955446645064E17
17900	4.18613854557539E17
18000	4.18836119916617E17
18100	4.19406649137843E17
18200	4.19693396556226E17
18300	4.20095422803164E17
18400	4.21143011964366E17
18500	4.22768782473253E17
18600	4.24617143064347E17
18700	4.24858422195262E17
18800	4.24729938684931E17
18900	4.24710764202205E17
19000	4.24687723339732E17
