# Te	G
# K	W/(m^3K)
K	--
100	2139147373.08511
200	104382513894.742
300	1235206454357.73
400	1328984358326.25
500	1778241168106.33
600	2227497977886.4
700	2676754787666.48
800	3126011597446.55
900	3575268407226.63
1000	4024525217006.7
1100	4473782026786.78
1200	4923038836566.85
1300	5372295646346.93
1400	5821552456127
1500	6270809265907.08
1600	6720066075687.15
1700	7169322885467.23
1800	7618579695247.3
1900	8067836505027.38
2000	8517093314807.45
2100	8969289763057.33
2200	70524670772996.6
2300	118458187682906
2400	516931938011954
2500	759959089790798
2600	1.00299014951566E15
2700	1.31225026941121E15
2800	1.74317273740965E15
2900	2.24140812578645E15
3000	2.72452706773074E15
3100	3.24533527084964E15
3200	3.7004687630648E15
3300	4.3234455076599E15
3400	4.8580007982335E15
3500	5.54040889475672E15
3600	6.15230416066425E15
3700	6.79822863563971E15
3800	7.34966619709228E15
3900	7.94063094085596E15
4000	8.51394080438676E15
4100	9.05512268818119E15
4200	9.62452798854886E15
4300	1.01372280876822E16
4400	1.06459132746073E16
4500	1.1226134871394E16
4600	1.16529856793779E16
4700	1.21694701989517E16
4800	1.26798137739113E16
4900	1.31301379894617E16
5000	1.35857365672956E16
5100	1.4085381895523E16
5200	1.45320143839844E16
5300	1.49722509927542E16
5400	1.54873167909104E16
5500	1.59404117501195E16
5600	1.63328959896702E16
5700	1.69007824696229E16
5800	1.73528232228752E16
5900	1.7742468865242E16
6000	1.83174980582503E16
6100	1.87715195385457E16
6200	1.92058244727078E16
6300	1.97597666245259E16
6400	2.02434182858268E16
6500	2.06214132800898E16
6600	2.12415308348874E16
6700	2.1736866950861E16
6800	2.2182752743469E16
6900	2.2691097055267E16
7000	2.3222950136869E16
7100	2.37164252088043E16
7200	2.41625578484827E16
7300	2.47175444248136E16
7400	2.51110675488635E16
7500	2.57127755346291E16
7600	2.62284368551835E16
7700	2.67196222217552E16
7800	2.72014599402983E16
7900	2.77447226292977E16
8000	2.82528408226545E16
8100	2.87105395939399E16
8200	2.92555945055527E16
8300	2.9690298776311E16
8400	3.02445576782046E16
8500	3.06882894074464E16
8600	3.11965661576179E16
8700	3.16879944279543E16
8800	3.2248666279691E16
8900	3.27558650248746E16
9000	3.32063382453744E16
9100	3.37866338060279E16
9200	3.4231594396481E16
9300	3.4714699974958E16
9400	3.52796355274269E16
9500	3.57257143032104E16
9600	3.62604208734749E16
9700	3.66999689414188E16
9800	3.71935479727913E16
9900	3.76539250713459E16
10000	3.82116234800407E16
10100	3.86663060437468E16
10200	3.92053328381488E16
10300	3.9663032958966E16
10400	4.02098870392467E16
10500	4.06746104334758E16
10600	4.11130442196622E16
10700	4.16293969860775E16
10800	4.21305820023679E16
10900	4.25688143287568E16
11000	4.30841269240017E16
11100	4.35292672239496E16
11200	4.40166673276591E16
11300	4.44654496343009E16
11400	4.48071336537227E16
11500	4.53685357658276E16
11600	4.58049232156335E16
11700	4.61703733343102E16
11800	4.66608527971538E16
11900	4.70798785750248E16
12000	4.74985299385234E16
12100	4.79062176225234E16
12200	4.83665507920253E16
12300	4.879840794384E16
12400	4.92311975906643E16
12500	4.95504589231429E16
12600	5.00418341597091E16
12700	5.04365667050673E16
12800	5.08281387533684E16
12900	5.11916094685283E16
13000	5.15873657044958E16
13100	5.19593106735322E16
13200	5.23202364125447E16
13300	5.26819279790852E16
13400	5.30409973397129E16
13500	5.33924520039506E16
13600	5.37136538316704E16
13700	5.40313470493954E16
13800	5.43716914182599E16
13900	5.47277423901988E16
14000	5.50457013751874E16
14100	5.53665484336245E16
14200	5.56363760093511E16
14300	5.5970618270704E16
14400	5.62712740008614E16
14500	5.6526287180959E16
14600	5.68454531459471E16
14700	5.71272564523496E16
14800	5.73696196429944E16
14900	5.76821131787512E16
15000	5.79590325291485E16
15100	5.81989696899805E16
15200	5.85046743282189E16
15300	5.87294081999936E16
15400	5.91022887254735E16
15500	5.93943169116554E16
15600	5.96742197034071E16
15700	5.99461915934055E16
15800	6.02321328257429E16
15900	6.04832886773076E16
16000	6.07390412344457E16
16100	6.09743583772771E16
16200	6.11913448347356E16
16300	6.1408331292194E16
16400	6.16113582988559E16
