# Te	G
# K	W/(m^3K)
K	--
16500	6.18469393208811E16
16600	6.20691632672693E16
16700	6.22883516080532E16
16800	6.25136493404344E16
16900	6.27416120171434E16
17000	6.29507653728433E16
17100	6.31699314598606E16
17200	6.33659764409885E16
17300	6.35850953164448E16
17400	6.37924700568556E16
17500	6.39624942644876E16
17600	6.42154268207215E16
17700	6.44266691777985E16
17800	6.46398201473415E16
17900	6.48240099587957E16
18000	6.50462801383332E16
18100	6.52083595870001E16
18200	6.5368444896668E16
18300	6.5554475263096E16
18400	6.56909502001223E16
18500	6.58643737658233E16
18600	6.60108731157013E16
18700	6.61753844596823E16
18800	6.63084123537182E16
18900	6.65467014147138E16
19000	6.67368276879437E16
19100	6.69206748991859E16
19200	6.71206451427158E16
19300	6.72983919623756E16
19400	6.74429047538151E16
19500	6.76344099412582E16
19600	6.77590778645312E16
19700	6.78850827941562E16
19800	6.80082866919498E16
19900	6.81118089249555E16
20000	6.82299582430317E16
20100	6.83183763470741E16
20200	6.84346955853961E16
20300	6.85637937481569E16
20400	6.86783637527819E16
20500	6.8762579267549E16
20600	6.88919997762844E16
20700	6.89900731616001E16
20800	6.91285284645061E16
20900	6.92732643980533E16
21000	6.94138778709121E16
21100	6.95575435216935E16
21200	6.96802740043868E16
21300	6.97302880867303E16
21400	6.97902255709753E16
21500	6.98135902821895E16
21600	6.99001501765951E16
21700	6.98592213012906E16
21800	6.99062477064736E16
21900	6.99714280446212E16
22000	6.99524956772577E16
