# Te	G
# K	W/(m^3K)
600	2.09343745574236E17
700	3.3299686466066E17
800	3.99121879625384E17
900	4.38270741372083E17
1000	4.52202943864728E17
1100	4.63160366620963E17
1200	4.72506171346367E17
1300	4.80535992806433E17
1400	4.86551546323421E17
1500	4.91902273753752E17
1600	4.95989410599371E17
1700	4.9929833582274E17
1800	5.02031959150196E17
1900	5.03903783104932E17
2000	5.05471963230882E17
2100	5.06989212767752E17
2200	5.08081960608167E17
2300	5.08938959021786E17
2400	5.09601266084573E17
2500	5.09990261894137E17
2600	5.1020173512461E17
2700	5.10288150560149E17
2800	5.10542613508269E17
2900	5.10643212285618E17
3000	5.10468852028807E17
3100	5.10443942078453E17
3200	5.10323310153369E17
3300	5.1038467714002E17
3400	5.10510932601411E17
3500	5.10459500158578E17
3600	5.10698697485874E17
3700	5.10809185846324E17
3800	5.10907151510511E17
3900	5.11144807520473E17
4000	5.11357051022359E17
4100	5.11622290189156E17
4200	5.11956042499152E17
4300	5.12314312855926E17
4400	5.12778391392421E17
4500	5.13254693287941E17
4600	5.13832050815003E17
4700	5.14455903320185E17
4800	5.15146545709833E17
4900	5.15948647923343E17
5000	5.16562262757461E17
5100	5.17355072330206E17
5200	5.17675672068498E17
5300	5.18540878442059E17
5400	5.19243494062435E17
5500	5.20125812055737E17
5600	5.2096168274952E17
5700	5.21854645068238E17
5800	5.22552437286523E17
5900	5.23273850934698E17
6000	5.2411829664464E17
6100	5.25097562244376E17
6200	5.25975230208987E17
6300	5.26749756461948E17
6400	5.27435374748769E17
6500	5.2834285724765E17
6600	5.29249597646664E17
6700	5.30077888733441E17
6800	5.30732835711933E17
6900	5.31570043547128E17
7000	5.32417780003027E17
7100	5.33119565674768E17
7200	5.34024635943822E17
7300	5.34375181654529E17
7400	5.35376797546384E17
7500	5.35964700443148E17
7600	5.36558882172017E17
7700	5.37391839777077E17
7800	5.37984185814177E17
7900	5.38808460789948E17
8000	5.39116524238854E17
8100	5.39869249426855E17
8200	5.40428933218746E17
8300	5.40962978015771E17
8400	5.41537699556267E17
8500	5.42129521416742E17
8600	5.42657937102941E17
8700	5.43081470447557E17
8800	5.43800094870679E17
8900	5.44125321329499E17
9000	5.44752651720286E17
9100	5.45227444347016E17
9200	5.45729165266834E17
9300	5.46240054944765E17
9400	5.46835358433347E17
9500	5.47127526408297E17
9600	5.47719891193901E17
9700	5.48181601644566E17
9800	5.48575783002489E17
9900	5.49121150985827E17
10000	5.49514744274761E17
10100	5.50088246095575E17
10200	5.5054184741136E17
10300	5.50897201910076E17
10400	5.51540182043991E17
10500	5.51986516743445E17
10600	5.52335925364597E17
10700	5.52857101943138E17
10800	5.53069148849266E17
10900	5.53742574333558E17
11000	5.54218813449805E17
11100	5.54628032858466E17
11200	5.5519306582959E17
11300	5.5547559708605E17
11400	5.56078049256102E17
11500	5.56578223126093E17
11600	5.57054115232097E17
11700	5.57542667449352E17
11800	5.57968035796243E17
11900	5.58462107578301E17
12000	5.58931955147551E17
12100	5.59441375298689E17
12200	5.60007754281365E17
12300	5.60264699338579E17
12400	5.60945297731061E17
12500	5.61072875426132E17
12600	5.61820310247023E17
12700	5.62154286940437E17
12800	5.62744584520594E17
12900	5.63248963409479E17
13000	5.63782042186275E17
13100	5.64280728596628E17
13200	5.64982543038123E17
13300	5.65386526187054E17
13400	5.66081397751782E17
13500	5.66563825355865E17
13600	5.67285257915532E17
13700	5.67812661579447E17
13800	5.68610283129246E17
13900	5.69193376362826E17
14000	5.69822575406769E17
14100	5.70474570681507E17
14200	5.71084309921777E17
14300	5.71706284641502E17
14400	5.72411294842757E17
14500	5.73076696437595E17
14600	5.73759213903634E17
14700	5.74444803191461E17
14800	5.74979515163807E17
14900	5.75769859227718E17
15000	5.76484483142907E17
15100	5.77339552535457E17
15200	5.77975653154652E17
15300	5.78851326587491E17
15400	5.79541828387567E17
15500	5.80408739106422E17
15600	5.81279464875069E17
15700	5.8209213200347E17
15800	5.82902629397053E17
15900	5.8364278325699E17
16000	5.84556367746606E17
16100	5.8550334509274E17
16200	5.86148215969682E17
16300	5.87297201138036E17
16400	5.87876079843958E17
16500	5.88953200228677E17
16600	5.89768564272617E17
16700	5.90581706988138E17
16800	5.91573246611922E17
16900	5.92260821857059E17
17000	5.93195408417735E17
17100	5.9425969849728E17
17200	5.95040992452001E17
17300	5.96042835734771E17
17400	5.97093731274195E17
17500	5.97898133846307E17
17600	5.98881888214353E17
17700	5.99700380790539E17
17800	6.0080471218191E17
17900	6.01622892700956E17
18000	6.02759532407997E17
18100	6.03580409738908E17
18200	6.04713104012492E17
18300	6.05622237723786E17
18400	6.06707182423418E17
18500	6.07880169376864E17
