# Te	G
# K	W/(m^3K)
500	6.4088353174973E16
600	7.33362910759011E16
700	7.61103053662364E16
800	7.88843196565717E16
900	8.15321579679108E16
1000	8.46466063794551E16
1100	9.19446302012152E16
1200	9.69059478142745E16
1300	1.0346726817916E17
1400	1.11282984241827E17
1500	1.17542031494516E17
1600	1.2420314206291E17
1700	1.30871048715668E17
1800	1.36721206348961E17
1900	1.4200936902912E17
2000	1.47302705564773E17
2100	1.51887899003789E17
2200	1.56123490308708E17
2300	1.59886043421004E17
2400	1.63145405217994E17
2500	1.66328256339794E17
2600	1.69412471453824E17
2700	1.71754614230055E17
2800	1.74615972984247E17
2900	1.77041042925307E17
3000	1.79655563231685E17
3100	1.82007309556904E17
3200	1.83972767317999E17
3300	1.86346561615656E17
3400	1.87897852103691E17
3500	1.90512648849925E17
3600	1.92212036768679E17
3700	1.9447010108853E17
3800	1.9656003897219E17
3900	1.98028818571324E17
4000	2.00102253187489E17
4100	2.01606010248498E17
4200	2.03367865429277E17
4300	2.05097988246966E17
4400	2.0658637166313E17
4500	2.08386253870994E17
4600	2.09814260545013E17
4700	2.1156664641957E17
4800	2.13073467104202E17
4900	2.14596605109189E17
5000	2.16075771923061E17
5100	2.17698888152948E17
5200	2.19037859327913E17
5300	2.20530197927087E17
5400	2.21644791658835E17
5500	2.23120581052923E17
5600	2.2454152066534E17
5700	2.25800475208286E17
5800	2.27308768832763E17
5900	2.28577248023504E17
6000	2.29901748350576E17
6100	2.31102817753218E17
6200	2.32092742549011E17
6300	2.33334416926393E17
6400	2.34533448769019E17
6500	2.35618975586657E17
6600	2.36596070745098E17
6700	2.38006597488708E17
6800	2.39158139937159E17
6900	2.4036674424952E17
7000	2.41493503586765E17
7100	2.42815294148463E17
7200	2.43937518543059E17
7300	2.45110666231592E17
7400	2.46295457887927E17
7500	2.47348054261028E17
7600	2.48501694540667E17
7700	2.49664950677254E17
7800	2.50769213511555E17
7900	2.5170440062316E17
8000	2.52824177453258E17
8100	2.53776844356848E17
8200	2.54728761063172E17
8300	2.555859211127E17
8400	2.56468967700661E17
8500	2.5725179570751E17
8600	2.58261070344937E17
8700	2.59176497506562E17
8800	2.5984594869471E17
8900	2.61017026790367E17
9000	2.61842428930307E17
9100	2.62816656612484E17
9200	2.63733689237555E17
9300	2.6470248270408E17
9400	2.65517598350087E17
9500	2.66477226614579E17
9600	2.67359667183977E17
9700	2.68034938067273E17
9800	2.68877219881331E17
9900	2.69740578216065E17
10000	2.70471280784356E17
10100	2.71168014080875E17
10200	2.71979791786516E17
10300	2.72659818810841E17
10400	2.73434032101599E17
10500	2.74138188195572E17
10600	2.74848665360236E17
10700	2.7556301077474E17
10800	2.76182642359882E17
10900	2.76897880031605E17
11000	2.77626314722935E17
11100	2.78319721313984E17
11200	2.78857223525506E17
11300	2.79715948819204E17
11400	2.80443843657347E17
11500	2.81240822104394E17
11600	2.82162018588585E17
11700	2.82991095427777E17
11800	2.83789882690579E17
11900	2.84574803720976E17
12000	2.85426098855628E17
12100	2.86099693774986E17
12200	2.86820046957766E17
12300	2.87381306320067E17
12400	2.88024198758363E17
12500	2.88530499500435E17
12600	2.89078070093805E17
12700	2.89641930444106E17
12800	2.90163648682299E17
12900	2.90664668814761E17
13000	2.91188263832164E17
13100	2.91713471434489E17
13200	2.92192935004519E17
13300	2.92919866184557E17
13400	2.93549552973738E17
13500	2.94244506047874E17
13600	2.94820432344496E17
13700	2.95418957240773E17
13800	2.95997875703234E17
13900	2.96555553182331E17
14000	2.96964811926815E17
14100	2.97416246202722E17
14200	2.97918660815685E17
14300	2.98361199685082E17
14400	2.98944847440244E17
14500	2.99443385425049E17
14600	2.99982541092042E17
14700	3.00457500915765E17
14800	3.01092915049858E17
14900	3.01633982985682E17
15000	3.02253777356338E17
15100	3.02802262383302E17
15200	3.03358273243868E17
15300	3.03955333506577E17
15400	3.04628497411998E17
15500	3.05254074859106E17
15600	3.0572879534167E17
15700	3.06314899348812E17
15800	3.06836033825654E17
15900	3.07359067525961E17
16000	3.08667263343912E17
16100	3.09836131563638E17
16200	3.10501827690963E17
16300	3.10904853544569E17
16400	3.12081356538927E17
16500	3.1272423740139E17
16600	3.13859111623519E17
16700	3.15579530293582E17
16800	3.16842663990974E17
16900	3.18123893420167E17
17000	3.20084412675385E17
17100	3.23009475246494E17
17200	3.24008003342451E17
17300	3.24706245113436E17
17400	3.25110168196065E17
17500	3.25854027844321E17
17600	3.26723138951202E17
17700	3.2775489488642E17
17800	3.28587064631818E17
17900	3.29707223963636E17
18000	3.31005311571231E17
18100	3.31668350261345E17
18200	3.33580143000677E17
18300	3.35054049684251E17
18400	3.3698518033419E17
18500	3.38908500822617E17
18600	3.40430145751695E17
18700	3.45003418273424E17
18800	3.4620612002609E17
18900	3.46525392098128E17
19000	3.47001344247596E17
