#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   1.0000000000000000E+02   1.1122783527744822E-73   1.1592173768612318E-73   2.7469092498809346E-72  -4.3452125999501812E+00   1.3007460484751736E-62
   2.0000000000000000E+02   1.7775696607930841E-36   1.8662752734010005E-36   3.7398245806036861E-35  -4.3452125999501812E+00   2.5667184434494336E-29
   3.0000000000000000E+02   4.4580031106445234E-24   4.7253208466991940E-24   7.8803207539772775E-23  -4.3452125999501812E+00   6.9395756555490832E-18
   4.0000000000000000E+02   7.7615060608997984E-18   8.2985630038808069E-18   1.1993020087193483E-16  -4.3452125999501812E+00   4.1476171354542705E-12
   5.0000000000000000E+02   7.1734834348748970E-14   7.6795388971673509E-14   1.0885969853334204E-12  -4.3452125999501812E+00   1.2574335127617365E-08
   6.0000000000000000E+02   5.9576190918980200E-11   6.4020857143068615E-11   8.5813391054678578E-10  -4.3452125999501812E+00   2.6599483014359860E-06
   7.0000000000000000E+02   9.1954273208772110E-09   9.9674254695114949E-09   1.1872403663570530E-07  -4.3452125999501812E+00   1.2210582088767488E-04
   8.0000000000000000E+02   1.9576022563507604E-06   2.0646746468985106E-06   3.7748402989062292E-05  -4.6059577668892056E+00   3.5943993692053933E-04
   9.0000000000000000E+02   3.2746608059857939E-05   3.5065828149003533E-05   4.9511770619095640E-04  -4.5733646210218266E+00   4.0289387500319577E-03
   1.0000000000000000E+03   2.6436898651020351E-04   2.8479573882997085E-04   3.6859095199408371E-03  -4.5794758358719605E+00   3.3417896200216998E-02
   1.1000000000000000E+03   1.4843835100427751E-03   1.6118121077963198E-03   1.8775591635462302E-02  -4.5789665679677833E+00   1.8571114852640527E-01
   1.2000000000000000E+03   6.2294393751432791E-03   6.8192771737970734E-03   7.2020263593519082E-02  -4.5790938849438279E+00   7.6878733073135863E-01
   1.3000000000000000E+03   2.0970057526888779E-02   2.3153292875374484E-02   2.2238824773072147E-01  -4.5787437632597037E+00   2.5621668799287165E+00
   1.4000000000000000E+03   5.9369117006435733E-02   6.6144962617423572E-02   5.7955394064057408E-01  -4.5779639467814350E+00   7.1839543534571115E+00
   1.5000000000000000E+03   1.4607531718491867E-01   1.6459382341643103E-01   1.2983279893990742E+00  -4.5768021793750284E+00   1.7541149131022301E+01
   1.6000000000000000E+03   3.2171484997700484E-01   3.6615580943601339E-01   2.6506574730811123E+00  -4.5752544823849890E+00   3.8281224891351755E+01
   1.7000000000000000E+03   6.4584024724232025E-01   7.4279275566240854E-01   4.9480458503270324E+00  -4.5733298077861892E+00   7.6170861261485996E+01
   1.8000000000000000E+03   1.2001580328525348E+00   1.3954562247516515E+00   8.5754403629854714E+00  -4.5710321342341373E+00   1.4038044682932986E+02
   1.9000000000000000E+03   2.0897078838394587E+00   2.4574385134058088E+00   1.3964919488949633E+01  -4.5683763816869600E+00   2.4257522702608736E+02
   2.0000000000000000E+03   3.4425750090800400E+00   4.0961939038668929E+00   2.1574429500537459E+01  -4.5653784647666651E+00   3.9689847451537651E+02
   2.1000000000000000E+03   5.3952111428796226E+00   6.5135544868178457E+00   3.1423267226039325E+01  -4.5620557900910681E+00   6.1981930507221614E+02
   2.2000000000000000E+03   8.1131969138697784E+00   9.9444776324589306E+00   4.4057420808684761E+01  -4.5584270697743250E+00   9.2986309647088990E+02
   2.3000000000000000E+03   1.1773080217233437E+01   1.4654575824583263E+01   5.9874981690854547E+01  -4.5545116375955113E+00   1.3473059629545601E+03
   2.4000000000000000E+03   1.6560388599732022E+01   2.0936709645586429E+01   7.9226373956067363E+01  -4.5503292624991545E+00   1.8938216285130673E+03
   2.5000000000000000E+03   2.2621476953918467E+01   2.9106942432684971E+01   1.0152579326738577E+02  -4.5458998999292470E+00   2.5921036820000081E+03
   2.6000000000000000E+03   3.0165247243005599E+01   3.9500144357075023E+01   1.2764271594056680E+02  -4.5412432255805797E+00   3.4655575653278506E+03
   2.7000000000000000E+03   3.9350261111612376E+01   5.2465425888305333E+01   1.5741534652356398E+02  -4.5363787908149487E+00   4.5379347213464844E+03
   2.8000000000000000E+03   5.0321044412223898E+01   6.8361626804599979E+01   1.9068278305582319E+02  -4.5313257429119540E+00   5.8330564932293582E+03
   2.9000000000000000E+03   6.3228709445687635E+01   8.7552976793372778E+01   2.2758595980075961E+02  -4.5261026618819580E+00   7.3745647186682581E+03
   3.0000000000000000E+03   7.8192346259451313E+01   1.1040499668318500E+02   2.6799489069873823E+02  -4.5207275760076948E+00   9.1856739587744923E+03
   3.1000000000000000E+03   9.5194109391020916E+01   1.3728073347908330E+02   3.1050998846434419E+02  -4.5152178375113081E+00   1.1288989869621380E+04
   3.2000000000000000E+03   1.1426511804904631E+02   1.6853734041156613E+02   3.5483969993274815E+02  -4.5095900759294638E+00   1.3706349553052767E+04
   3.3000000000000000E+03   1.3562968785658856E+02   2.0452302371718298E+02   4.0264262892390360E+02  -4.5038601553738884E+00   1.6458654154507250E+04
   3.4000000000000000E+03   1.5919756151026724E+02   2.4557435957573833E+02   4.5260810876863411E+02  -4.4980431356773218E+00   1.9565796626045714E+04
   3.5000000000000000E+03   1.8499381540906484E+02   2.9201396686471651E+02   5.0477201861768935E+02  -4.4921532607372958E+00   2.3046538075517266E+04
   3.6000000000000000E+03   2.1296611329604039E+02   3.4414852903481267E+02   5.5870273628015968E+02  -4.4862039468599031E+00   2.6918424679663443E+04
