#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   3.5341387348218026E-11   3.5787152771274755E-11   2.8372941523966308E-09  -3.8471048181001146E+00  -6.3230081792177623E-04
   4.0000000000000000E+02   3.9942235390710012E-09   4.0251499197044111E-09   5.1985871700112746E-07  -4.2147191231573977E+00   6.0553628504218113E-05
   5.0000000000000000E+02   3.0926607692430870E-06   3.1441927076778883E-06   1.8869698546811607E-04  -4.1457914409591563E+00   2.0598335398957506E-03
   6.0000000000000000E+02   9.5240959589395889E-05   9.7031413263198131E-05   5.1614655239178020E-03  -4.1481249302002441E+00   5.8604476486447683E-02
   7.0000000000000000E+02   1.1054479476392946E-03   1.1290162029906150E-03   5.2955495680233354E-02  -4.1512661657170895E+00   6.4814097642779944E-01
   8.0000000000000000E+02   7.0094359458868589E-03   7.1792564785603027E-03   2.9632776221665280E-01  -4.1545869004063274E+00   3.9514768454154785E+00
   9.0000000000000000E+02   2.9741285854717418E-02   3.0559214713491593E-02   1.1111850750097676E+00  -4.1580156150664571E+00   1.6221044035419144E+01
   1.0000000000000000E+03   9.5295712005434116E-02   9.8261944809854770E-02   3.1568466169406686E+00  -4.1615188288948159E+00   5.0495567234808483E+01
   1.1000000000000000E+03   2.4893369818651628E-01   2.5766785422507871E-01   7.3438362645270789E+00  -4.1650518423904659E+00   1.2857207992846034E+02
   1.2000000000000000E+03   5.5779169558277297E-01   5.7976060710146227E-01   1.4720149052087226E+01  -4.1685663625631797E+00   2.8160914625722103E+02
   1.3000000000000000E+03   1.1104910990247649E+00   1.1593049809282459E+00   2.6373601364493979E+01  -4.1720142498033681E+00   5.4940718767387909E+02
   1.4000000000000000E+03   2.0140175543747940E+00   2.1124213545318531E+00   4.3234648290746343E+01  -4.1753520316552191E+00   9.7880359280810274E+02
   1.5000000000000000E+03   3.3890861038235522E+00   3.5724410341370865E+00   6.6032095481805243E+01  -4.1785433240396586E+00   1.6216890363265736E+03
   1.6000000000000000E+03   5.3653288042313143E+00   5.6849345428782927E+00   9.5434904211044440E+01  -4.1815601788128438E+00   2.5330274372133449E+03
   1.7000000000000000E+03   8.0739402993589398E+00   8.6026041286558907E+00   1.3138200176500476E+02  -4.1843831768901145E+00   3.7691015152354371E+03
   1.8000000000000000E+03   1.1647790726825464E+01   1.2480479906060168E+01   1.7457896864919488E+02  -4.1870008831969345E+00   5.3860589579914040E+03
   1.9000000000000000E+03   1.6208804612581591E+01   1.7471654144777425E+01   2.2425049150462294E+02  -4.1894088442168478E+00   7.4387509404706743E+03
   2.0000000000000000E+03   2.1871814872046642E+01   2.3723645733196175E+01   2.8019793732370863E+02  -4.1916084075083422E+00   9.9798137792515518E+03
   2.1000000000000000E+03   2.8708631173595435E+01   3.1375405056455314E+01   3.3776576914798960E+02  -4.1936055083544161E+00   1.3058940872886677E+04
   2.2000000000000000E+03   3.6823103064609342E+01   4.0554927438102268E+01   4.0016842256518964E+02  -4.1954095331024757E+00   1.6722290357664831E+04
   2.3000000000000000E+03   4.6265513714680871E+01   5.1377425886134183E+01   4.6499292676309040E+02  -4.1970323153428293E+00   2.1012011037632270E+04
   2.4000000000000000E+03   5.7101991225825572E+01   6.3944008708799899E+01   5.3366280242924972E+02  -4.1984872875220134E+00   2.5965857675323241E+04
   2.5000000000000000E+03   6.9352557285199481E+01   7.8340806686192465E+01   6.0447090874811158E+02  -4.1997887955230553E+00   3.1616885418076341E+04
   2.6000000000000000E+03   8.3025852524112324E+01   9.4638498579465647E+01   6.7662804745003996E+02  -4.2009515474538022E+00   3.7993236412036480E+04
   2.7000000000000000E+03   9.8103757019936467E+01   1.1289218086677373E+02   7.4890652282550593E+02  -4.2019902048601168E+00   4.5117998289963463E+04
   2.8000000000000000E+03   1.1461859700173247E+02   1.3314153596020455E+02   8.2387012604360302E+02  -4.2029190663783140E+00   5.3009148922170105E+04
   2.9000000000000000E+03   1.3248477287077282E+02   1.5541124810887007E+02   8.9807193183594552E+02  -4.2037518506741627E+00   6.1679572538527187E+04
   3.0000000000000000E+03   1.5166923569527589E+02   1.7971162443427306E+02   9.7198298537235814E+02  -4.2045015430622401E+00   7.1137160997786894E+04
   3.1000000000000000E+03   1.7208572199749770E+02   2.0603937745827915E+02   1.0442597284047160E+03  -4.2051802999854058E+00   8.1384964952517112E+04
   3.2000000000000000E+03   1.9360959216857239E+02   2.3437853034072970E+02   1.1130515953277497E+03  -4.2057993966325737E+00   9.2421420616698422E+04
   3.3000000000000000E+03   2.1622746150788694E+02   2.6470141025633200E+02   1.1807520425931973E+03  -4.2063692046848224E+00   1.0424061310435232E+05
   3.4000000000000000E+03   2.3976093888284677E+02   2.9696969728935761E+02   1.2445949785504833E+03  -4.2068991974509018E+00   1.1683258313830379E+05
   3.5000000000000000E+03   2.6437010043023298E+02   3.3113550311096799E+02   1.3111929636982843E+03  -4.2073979700669293E+00   1.3018366336835780E+05
   3.6000000000000000E+03   2.8969231939180816E+02   3.6714245534126854E+02   1.3732493575533410E+03  -4.2078732737331261E+00   1.4427683244554026E+05
   3.7000000000000000E+03   3.1589342268428726E+02   4.0492676880098446E+02   1.4366943231064663E+03  -4.2083320585097646E+00   1.5909207743612211E+05
