#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.3000000000000000E+03   4.2146272700324977E+02   4.5067454761794818E+02   6.5022487415400474E+03   1.7714447715661169E-01   2.8198116326020722E+05
   3.4000000000000000E+03   4.4761649227929615E+02   4.7983181932925459E+02   6.6670326059108311E+03   1.6991303817204503E-01   3.0009423851285817E+05
   3.5000000000000000E+03                      NaN   5.0907779490863652E+02                      NaN   1.6300635784332365E-01   3.1824796281290177E+05
   3.6000000000000000E+03   4.9974535519461637E+02   5.3832106862546095E+02   6.9739074076040033E+03   1.5640668258438276E-01   3.3638658592975349E+05
   3.7000000000000000E+03   5.2540168473094593E+02   5.6747484637764819E+02   7.0865185467377578E+03   1.5009729053436480E-01   3.5445734485327988E+05
   3.8000000000000000E+03   5.5080962256993394E+02   5.9645758487477303E+02   7.1971356576637463E+03   1.4406253555518350E-01   3.7241067479152285E+05
   3.9000000000000000E+03   5.7583098121904050E+02   6.2519346998210699E+02   7.2931041017707512E+03   1.3828783655593305E-01   3.9020035129724658E+05
   4.0000000000000000E+03   6.0061768296169487E+02   6.5361274846422680E+02   7.4076967508994321E+03   1.3275963184688730E-01   4.0778360200542596E+05
   4.1000000000000000E+03   6.2479672240965522E+02   6.8165192957359022E+02   7.4908511052256472E+03   1.2746531426173632E-01   4.2512115968085441E+05
   4.2000000000000000E+03   6.4845225782820580E+02   7.0925387296617384E+02   7.5642279280689108E+03   1.2239315670319020E-01   4.4217728882958338E+05
   4.3000000000000000E+03   6.7153577099077586E+02   7.3636777950807880E+02   7.6273636411055732E+03   1.1753223537292154E-01   4.5891977160809410E+05
   4.4000000000000000E+03   6.9377548153334055E+02   7.6294910054229376E+02   7.6519833311836464E+03   1.1287235478731369E-01   4.7531986834065110E+05
   4.5000000000000000E+03   7.1535141882965047E+02   7.8895938025418286E+02   7.6674207672825360E+03   1.0840397750302967E-01   4.9135224555978883E+05
