#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   1.9869458410423986E-22   1.9869542226699204E-22   4.7102670918562276E-17  -3.9097033417800957E+00   4.7208319076619100E-11
   4.0000000000000000E+02   3.1896553829871034E-15   3.1899032664953204E-15   4.1046264829690871E-11  -3.9097033417800957E+00   3.0814529566371696E-07
   5.0000000000000000E+02   8.5949357605094061E-12   8.5952813992959672E-12   2.1373727238706217E-07  -3.9097033417800957E+00   6.6172288295890879E-05
   6.0000000000000000E+02   4.5227643091278474E-10   4.5227650337413278E-10   2.8229395169766017E-03  -4.0359735093272029E+00   1.1187816611720294E-03
   7.0000000000000000E+02   2.2186149215250612E-08   2.2186256089039183E-08   4.6056904568966559E-03  -4.0254509953649427E+00   2.0838657795547711E-02
   8.0000000000000000E+02   3.5991455501765116E-07   3.5992061812712443E-07   2.1365385151876869E-02  -4.0224915383130586E+00   1.9888360824394710E-01
   9.0000000000000000E+02   3.1424998554350094E-06   3.1426212477438240E-06   8.1353480407352824E-02  -4.0191210455595217E+00   1.1797902828996869E+00
   1.0000000000000000E+03   1.7679361330657667E-05   1.7680618555742495E-05   2.4862854533218118E-01  -4.0162746233255895E+00   4.9906010469802915E+00
   1.1000000000000000E+03   7.2175071426511806E-05   7.2183298611832374E-05   6.3324630844100460E-01  -4.0140036510739705E+00   1.6470860359179536E+01
   1.2000000000000000E+03   2.3186306609441465E-04   2.3190125411543571E-04   1.4080157696761710E+00  -4.0122824390733083E+00   4.4993623234828313E+01
   1.3000000000000000E+03   6.1984990239851866E-04   6.1998853995784919E-04   2.7719749095179300E+00  -4.0110538276713434E+00   1.0607798936671898E+02
   1.4000000000000000E+03   1.4351806754290307E-03   1.4355914046711722E-03   5.0162803871796182E+00  -4.0102375364575948E+00   2.2245713012168127E+02
   1.5000000000000000E+03   2.9632935297663572E-03   2.9643445520126698E-03   8.3577898201450296E+00  -4.0097513582917372E+00   4.2438024848913273E+02
   1.6000000000000000E+03   5.5767628003214756E-03   5.5791141102802012E-03   1.3232366882766978E+01  -4.0095183845405273E+00   7.4909887166069234E+02
   1.7000000000000000E+03   9.7266241482758305E-03   9.7313306038958325E-03   2.0111311545025771E+01  -4.0094689318076746E+00   1.2396690383464061E+03
   1.8000000000000000E+03   1.5925559168936242E-02   1.5934528556903554E-02   2.8292485316380041E+01  -4.0095437130100331E+00   1.9432611264861416E+03
   1.9000000000000000E+03   2.4727840915103893E-02   2.4743345036716175E-02   3.9463667473472405E+01  -4.0096931750642435E+00   2.9092140834467195E+03
   2.0000000000000000E+03   2.4727840915103893E-02   3.6730614938742738E-02   3.9463667473472405E+01  -4.0098768365733148E+00   4.1870363863213915E+03
   2.1000000000000000E+03   5.2423827984609810E-02   5.2464734058015036E-02   6.7237013102413925E+01  -4.0100621839710087E+00   5.8245234601360180E+03
   2.2000000000000000E+03   7.2426906601219532E-02   7.2489413414351223E-02   8.3993787427251874E+01  -4.0102234372105050E+00   7.8661104371195397E+03
   2.3000000000000000E+03   9.7214620334016594E-02   9.7306757732695315E-02   1.0266883637449250E+02  -4.0103405412417663E+00   1.0351529554688294E+04
   2.4000000000000000E+03   1.2723397464424913E-01   1.2736447409207879E-01   1.2417744700623071E+02  -4.0103981524713355E+00   1.3314807198313792E+04
   2.5000000000000000E+03   1.6286386117767529E-01   1.6304701314211451E-01   1.4498597487129356E+02  -4.0103848158881448E+00   1.6783598336519110E+04
   2.6000000000000000E+03   2.0442591343142824E-01   2.0467104189711152E-01   1.7068627495443977E+02  -4.0102922751537289E+00   2.0778837429894567E+04
   2.7000000000000000E+03   2.5216071306718590E-01   2.5248402163679090E-01   1.9692194058385959E+02  -4.0101148629728591E+00   2.5314668018437525E+04
   2.8000000000000000E+03   3.0624757686014270E-01   3.0666615270586667E-01   2.2436976985320325E+02  -4.0098490118847945E+00   3.0398606768901089E+04
   2.9000000000000000E+03   3.6680615203135392E-01   3.6733443783094333E-01   2.5505234430700833E+02  -4.0094928403174199E+00   3.6031893018859198E+04
   3.0000000000000000E+03   4.3389217070263103E-01   4.3454857473590203E-01   2.8724263534507492E+02  -4.0090458189217708E+00   4.2209977668500636E+04
   3.1000000000000000E+03   5.0750766423109883E-01   5.0831782171839035E-01   3.1842597820061712E+02  -4.0085084808099518E+00   4.8923108657185956E+04
   3.2000000000000000E+03   5.8762602835725397E-01   5.8860863437298683E-01   3.5200451507049354E+02  -4.0078821995296137E+00   5.6156972358828338E+04
   3.3000000000000000E+03   6.7415838063530076E-01   6.7535226023472650E-01   3.8135703662013987E+02  -4.0071689908716852E+00   6.3893363290052162E+04
   3.4000000000000000E+03   7.6704009678587204E-01   7.6845228210384320E-01   4.1739119175029356E+02  -4.0063713704980906E+00   7.2110847836406290E+04
   3.5000000000000000E+03   8.6612177275090696E-01   8.6779150507538549E-01   4.5013988513924090E+02  -4.0054922178413657E+00   8.0785412225786480E+04
   3.6000000000000000E+03   9.7127673316098151E-01   9.7323835151580884E-01   4.8188974390507565E+02  -4.0045346820260512E+00   8.9891070061798251E+04
   3.7000000000000000E+03   1.0823916887195912E+00   1.0846523801815784E+00   5.1931842146494432E+02  -4.0035020978251357E+00   9.9400423901530332E+04
   3.8000000000000000E+03   1.0823916887195912E+00   1.2018889270196902E+00   5.1931842146494432E+02  -4.0023979216866019E+00   1.0928517213798313E+05
   3.9000000000000000E+03   1.3218325781560831E+00   1.3248030969890496E+00   5.8951583602430799E+02  -4.0012256796766081E+00   1.1951656237705289E+05
   4.0000000000000000E+03   1.4498204622519768E+00   1.4532527139428391E+00   6.1386975993248814E+02  -3.9999889260848844E+00   1.3006578247226792E+05
   4.1000000000000000E+03   1.5832605065506300E+00   1.5871006904854301E+00   6.5434205387757697E+02  -3.9986912120652183E+00   1.4090430019944959E+05
   4.2000000000000000E+03   1.7218752100364201E+00   1.7262166097594402E+00   6.8464775812674839E+02  -3.9973360630565713E+00   1.5200414295079323E+05
   4.3000000000000000E+03   1.8655719066800818E+00   1.8704778094637780E+00   7.1128821895957140E+02  -3.9959269555770320E+00   1.6333813485408673E+05
   4.4000000000000000E+03   2.0142783748793867E+00   2.0197698487647169E+00   7.4085369675857271E+02  -3.9944673081295443E+00   1.7488008102669669E+05
   4.5000000000000000E+03   2.1678987968049048E+00   2.1739866122967322E+00   7.7416652449392552E+02  -3.9929604677173223E+00   1.8660491403116976E+05
   4.6000000000000000E+03   2.3262360639206379E+00   2.3330300288472148E+00   7.9882346317158340E+02  -3.9914097035719194E+00   1.9848880414257932E+05
   4.7000000000000000E+03   2.4892656376060511E+00   2.4968095975288054E+00   8.2386735857741428E+02  -3.9898182018221302E+00   2.1050923624871805E+05
   4.8000000000000000E+03   2.6569138825114025E+00   2.6652415727864973E+00   8.5033389824313997E+02  -3.9881890636124027E+00   2.2264505384338449E+05
   4.9000000000000000E+03   2.8290614494548625E+00   2.8382481621283095E+00   8.7404262491760505E+02  -3.9865253019668940E+00   2.3487649177034717E+05
   5.0000000000000000E+03   3.0057547150893171E+00   3.0157564761675086E+00   9.0630281776743493E+02  -3.9848298425734519E+00   2.4718517325986491E+05
   5.1000000000000000E+03   3.1866042262014918E+00   3.1976975848251019E+00   9.1854928553653826E+02  -3.9831055228428380E+00   2.5955410446513968E+05
   5.2000000000000000E+03   3.3719422672988886E+00   3.3840054333440488E+00   9.4591012929314491E+02  -3.9813550939470832E+00   2.7196764425604756E+05
   5.3000000000000000E+03   3.5615870907876377E+00   3.5746158257061298E+00   9.7717128017474283E+02  -3.9795812212898993E+00   2.8441147044514900E+05
   5.4000000000000000E+03   3.7553219926955959E+00   3.7694655250998590E+00   1.0008501682966237E+03  -3.9777864867018264E+00   2.9687253287316090E+05
   5.5000000000000000E+03   3.9530231070341761E+00   3.9684912477414631E+00   1.0141837923024694E+03  -3.9759733901650245E+00   3.0933900122923055E+05
   5.6000000000000000E+03   4.1553472070149136E+00   4.1716288654806171E+00   1.0646683439154328E+03  -3.9741443515380381E+00   3.2180021131520724E+05
   5.7000000000000000E+03   4.3607053017344724E+00   4.3788126850754336E+00   1.0545262853035272E+03  -3.9723017125941693E+00   3.3424660234797752E+05
   5.8000000000000000E+03   4.5704775623629992E+00   4.5899747423609245E+00   1.0759697850666671E+03  -3.9704477392166426E+00   3.4666965555070085E+05
   5.9000000000000000E+03   4.7839863526451927E+00   4.8050441907683306E+00   1.0916251562991542E+03  -3.9685846231233839E+00   3.5906183110047533E+05
   6.0000000000000000E+03   5.0017760785228011E+00   5.0239468696737744E+00   1.1334127456882063E+03  -3.9667144840621869E+00   3.7141650605875126E+05
   6.1000000000000000E+03   5.2223844009756268E+00   5.2466049337559131E+00   1.1312628013876435E+03  -3.9648393708298912E+00   3.8372791045100638E+05
   6.2000000000000000E+03   5.4467949489826202E+00   5.4729364439223875E+00   1.1403312108793075E+03  -3.9629612640163510E+00   3.9599106701578636E+05
   6.3000000000000000E+03   5.6748479223282926E+00   5.7028552559972727E+00   1.1555129339812383E+03  -3.9610820769452184E+00   4.0820172980852576E+05
   6.4000000000000000E+03   5.9059942287553531E+00   5.9362707692115286E+00   1.1579784339640564E+03  -3.9592036572419151E+00   4.2035633019848436E+05
   6.5000000000000000E+03   6.1408630506778952E+00   6.1730879223630639E+00   1.1763611629358884E+03  -3.9573277884800140E+00   4.3245191663546889E+05
   6.6000000000000000E+03   6.3790877843426026E+00   6.4132072087006859E+00   1.1990358141487200E+03  -3.9554561915924182E+00   4.4448610331007326E+05
   6.7000000000000000E+03   6.6200877288204580E+00   6.6565246454445077E+00   1.2093991809617833E+03  -3.9535905257337380E+00   4.5645702273772151E+05
   6.8000000000000000E+03   6.8641955863536799E+00   6.9029319528497899E+00   1.2232194015515195E+03  -3.9517323896130918E+00   4.6836327552963624E+05
   6.9000000000000000E+03   7.1110417449858518E+00   7.1523166516989640E+00   1.2322359112063352E+03  -3.9498833229836636E+00   4.8020388214852201E+05
   7.0000000000000000E+03   7.3606916377098450E+00   7.4045623822795612E+00   1.2423472850235007E+03  -3.9480448071131002E+00   4.9197824847363186E+05
   7.1000000000000000E+03   7.6131861940920809E+00   7.6595489974606901E+00   1.2577663222134208E+03  -3.9462182661163068E+00   5.0368611929854099E+05
   7.2000000000000000E+03   7.8681079203898481E+00   7.9171529381385044E+00   1.2701190987174198E+03  -3.9444050679746110E+00   5.1532754370319936E+05
   7.3000000000000000E+03   8.1255448536888384E+00   8.1772474704517144E+00   1.2851301396523991E+03  -3.9426065251629647E+00   5.2690284261488926E+05
   7.4000000000000000E+03   8.3843999417624993E+00   8.4397030852874266E+00   1.2795266515886422E+03  -3.9408238955907313E+00   5.3841257538269530E+05
   7.5000000000000000E+03   8.6462123084470512E+00   8.7043876862925185E+00   1.2936741751919731E+03  -3.9390583838560604E+00   5.4985750744444493E+05
   7.6000000000000000E+03   8.9097353798341761E+00   8.9711670501785683E+00   1.3011322013104821E+03  -3.9373111414810928E+00   5.6123858891900047E+05
   7.7000000000000000E+03   9.1750509480198286E+00   9.2399051520908841E+00   1.3071874327903802E+03  -3.9355832682447311E+00   5.7255692703631707E+05
   7.8000000000000000E+03   9.4421594155266622E+00   9.5104645622502257E+00   1.3146787148544959E+03  -3.9338758126530395E+00   5.8381376229355054E+05
   7.9000000000000000E+03   9.7117606890568080E+00   9.7827066935577900E+00   1.3391494978093217E+03  -3.9321897728800259E+00   5.9501044862323022E+05
   8.0000000000000000E+03   9.9819353442799326E+00   1.0056492183977708E+01   1.3463990048081153E+03  -3.9305260977084369E+00   6.0614843666819681E+05
   8.1000000000000000E+03   1.0252399808154676E+01   1.0331681235519607E+01   1.3360572612976280E+03  -3.9288856871569324E+00   6.1722925006968563E+05
   8.2000000000000000E+03   1.0525567925608540E+01   1.0608134191698444E+01   1.3523275580503346E+03  -3.9272693934208860E+00   6.2825447978747007E+05
   8.3000000000000000E+03   1.0798959363429818E+01   1.0885711509543261E+01   1.3550599207062442E+03  -3.9256780216171716E+00   6.3922575954620610E+05
   8.4000000000000000E+03   1.1073066089669403E+01   1.1164274108984142E+01   1.3553933741875460E+03  -3.9241123307641397E+00   6.5014476163831877E+05
   8.5000000000000000E+03   1.1348430660929697E+01   1.1443684102209884E+01   1.3633927949910737E+03  -3.9225730344088201E+00   6.6101318231622432E+05
   8.6000000000000000E+03   1.1624352733251547E+01   1.1723804500117774E+01   1.3703289863956272E+03  -3.9210608018812905E+00   6.7183272930560727E+05
   8.7000000000000000E+03   1.1900666197014710E+01   1.2004499762503434E+01   1.3758705469014137E+03  -3.9195762586474876E+00   6.8260511938723538E+05
   8.8000000000000000E+03   1.2177628148741459E+01   1.2285636173215710E+01   1.3851740147678827E+03  -3.9181199876811728E+00   6.9333206150278391E+05
   8.9000000000000000E+03   1.2454407929231445E+01   1.2567081931896482E+01   1.3891009563688863E+03  -3.9166925300911264E+00   7.0401525940884103E+05
   9.0000000000000000E+03   1.2733316327481953E+01   1.2848707241925087E+01   1.4178469292854784E+03  -3.9152943862187386E+00   7.1465639830004680E+05
   9.1000000000000000E+03   1.3009725028850287E+01   1.3130384967426798E+01   1.4157366559643253E+03  -3.9139260164219838E+00   7.2525714311264153E+05
   9.2000000000000000E+03   1.3286041721708518E+01   1.3411990094120355E+01   1.4148039911064134E+03  -3.9125878421338212E+00   7.3581913080314628E+05
   9.3000000000000000E+03   1.3562919608795593E+01   1.3693400642194749E+01   1.4233677281890489E+03  -3.9112802466853678E+00   7.4634397195065196E+05
   9.4000000000000000E+03   1.3839393456560554E+01   1.3974497316427684E+01   1.4314806912984648E+03  -3.9100035764034957E+00   7.5683324238199531E+05
   9.5000000000000000E+03   1.4116689092004815E+01   1.4255163977225003E+01   1.4532289916835755E+03  -3.9087581414732062E+00   7.6728848275858012E+05
   9.6000000000000000E+03   1.4389967343971106E+01   1.4535287358607851E+01   1.4393221122943360E+03  -3.9075442171528207E+00   7.7771119115899049E+05
   9.7000000000000000E+03   1.4662458494623653E+01   1.4814757504438980E+01   1.4262782619542299E+03  -3.9063620444011691E+00   7.8810282917978044E+05
   9.8000000000000000E+03   1.4934317217398251E+01   1.5093467783846812E+01   1.4163357430927065E+03  -3.9052118310927733E+00   7.9846481714249263E+05
   9.9000000000000000E+03   1.5209519004544251E+01   1.5371314994193698E+01   1.4449697303101711E+03  -3.9040937529194282E+00   8.0879852844724315E+05
   1.0000000000000000E+04   1.5483093193014149E+01   1.5648199190533523E+01   1.4674362531345957E+03  -3.9030079545661907E+00   8.1910529288942751E+05
   1.0100000000000000E+04   1.5751358966068231E+01   1.5924023922367814E+01   1.4526689280845051E+03  -3.9019545504169661E+00   8.2938639706598618E+05
   1.0200000000000000E+04   1.6020068310537816E+01   1.6198696207254450E+01   1.4527642353284327E+03  -3.9009336258088871E+00   8.3964307834416837E+05
   1.0300000000000000E+04   1.6287375863667954E+01   1.6472126778937383E+01   1.4521590852813374E+03  -3.8999452377771138E+00   8.4987653114354296E+05
