#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   2.7316617406886349E-18   2.7316927892746735E-18   2.4033495987496988E-13  -7.2555416800075516E+00   2.9612425514945427E-06
   4.0000000000000000E+02   1.6122268157024072E-20   1.6122268169802864E-20   2.0340538826918550E-11  -7.7528443672539593E+00   2.6443652702358102E-08
   5.0000000000000000E+02   2.4823717150880182E-12   2.4824154623321874E-12   1.4086093983226453E-07  -7.7528443672539593E+00   2.7672073605623595E-05
   6.0000000000000000E+02   4.1765863584690257E-10   4.1765875477176057E-10   1.4667983522864277E-03  -7.7528443672539593E+00   2.8404392029611667E-03
   7.0000000000000000E+02   1.9072906840917754E-08   1.9073002207415911E-08   3.8145218845237975E-03  -7.7217629493010591E+00   4.5016655664126055E-02
   8.0000000000000000E+02   3.6043589842427728E-07   3.6044168812568084E-07   2.2439175120250364E-02  -7.7025798866582553E+00   4.3871163715601980E-01
   9.0000000000000000E+02   3.7870501949928472E-06   3.7871941248225645E-06   9.9647823366537297E-02  -7.6827290591766175E+00   2.5405274871957895E+00
   1.0000000000000000E+03   2.5982000010318013E-05   2.5984002810222640E-05   3.3708627592997681E-01  -7.6625898786963926E+00   1.0252905730606123E+01
   1.1000000000000000E+03   1.2940561411753663E-04   1.2942368861957769E-04   9.2661761132480180E-01  -7.6421813158095935E+00   3.1984877113393264E+01
   1.2000000000000000E+03   5.0267656004972195E-04   5.0279354804038182E-04   2.1604143273045264E+00  -7.6215887381802787E+00   8.2188774330701520E+01
   1.3000000000000000E+03   1.6029853517605336E-03   1.6035662239449351E-03   4.4252302599242794E+00  -7.6008704803788794E+00   1.8214616493912331E+02
   1.4000000000000000E+03   4.3585867371738318E-03   4.3609000442909841E-03   8.2165316287879921E+00  -7.5800782372686308E+00   3.5961938081014625E+02
   1.5000000000000000E+03   1.0401537206162671E-02   1.0409336290253255E-02   1.3882796679321462E+01  -7.5592569454393663E+00   6.4765113418928172E+02
