#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   1.6856764996896835E+01   1.6908505363883208E+01   5.5087104705464117E+03   2.8450991747556449E+00   3.0253476723187840E+04
   4.0000000000000000E+02   2.7944143381113314E+01   2.8066814159232159E+01   6.3935608067702387E+03   2.8180793420809702E+00   4.2884151784453519E+04
   5.0000000000000000E+02   3.8364445727700378E+01   3.8575915350023990E+01   6.9983744926617046E+03   2.7910916577531890E+00   5.6202595276526881E+04
   6.0000000000000000E+02   4.6068524562238963E+01   4.6361560975718263E+01   7.2885437178083721E+03   2.7644193225099460E+00   6.6846729821103509E+04
   7.0000000000000000E+02   5.2966297681552263E+01   5.3346584615142973E+01   7.4301029865540177E+03   2.7391739204260785E+00   7.4259537552238136E+04
   8.0000000000000000E+02   6.0584762392429155E+01   6.1085940678338140E+01   7.3843526456914733E+03   2.7175020337958085E+00   8.0931808839117293E+04
   9.0000000000000000E+02   6.8982390424052753E+01   6.9638251065974870E+01   7.3244416823105621E+03   2.7011692541307371E+00   8.8925235670082140E+04
   1.0000000000000000E+03   7.7561273978055723E+01   7.8400587097948787E+01   7.2450308136720096E+03   2.6901061757852065E+00   9.8197727708926308E+04
   1.1000000000000000E+03   8.5945955657753515E+01   8.6989930283729194E+01   7.1615080527931223E+03   2.6830723080191383E+00   1.0806626289692825E+05
   1.2000000000000000E+03   9.4041441505513916E+01   9.5315442440617872E+01   7.0357888741424804E+03   2.6788007285383229E+00   1.1813638622425140E+05
   1.3000000000000000E+03   1.0187417249789473E+02   1.0340303927911576E+02   6.8901353536599554E+03   2.6763782837397967E+00   1.2827885393840459E+05
   1.4000000000000000E+03   1.0949679535529275E+02   1.1130227836471438E+02   6.7501287650349859E+03   2.6752086336131415E+00   1.3849232273917648E+05
   1.5000000000000000E+03   1.1695041700868316E+02   1.1905869607910303E+02   6.6044217534200297E+03   2.6749072807304191E+00   1.4883837603180620E+05
   1.6000000000000000E+03   1.2427098392409187E+02   1.2670894972625942E+02   6.4587640402792895E+03   2.6752219567673192E+00   1.5941777606159169E+05
   1.7000000000000000E+03   1.3147384096264116E+02   1.3428176387116233E+02   6.2874016995994371E+03   2.6759829587209620E+00   1.7036038910423615E+05
   1.8000000000000000E+03   1.3859966854590701E+02   1.4179976447197265E+02   6.1415035079482577E+03   2.6770735872646552E+00   1.8181816218180215E+05
   1.9000000000000000E+03   1.4567240620153362E+02   1.4928103404121038E+02   6.0261485515181466E+03   2.6784125541051287E+00   1.9395807452295427E+05
   2.0000000000000000E+03   1.5270068891719851E+02   1.5674022765251146E+02   5.9250182537791161E+03   2.6799433114920479E+00   2.0695461016001238E+05
   2.1000000000000000E+03   1.5962071334785929E+02   1.6418932379061650E+02   5.7365400959299332E+03   2.6816273833397655E+00   2.2098206753733029E+05
   2.2000000000000000E+03   1.6651460420632591E+02   1.7163811520815815E+02   5.5782553819803543E+03   2.6834400270073284E+00   2.3620713232754997E+05
   2.3000000000000000E+03   1.7338925890900299E+02   1.7909452829927292E+02   5.4428748955181682E+03   2.6853672661822334E+00   2.5278207862908294E+05
   2.4000000000000000E+03   1.8025505499252256E+02   1.8656483613171864E+02   5.3297022598280819E+03   2.6874037371280028E+00   2.7083885274799151E+05
   2.5000000000000000E+03   1.8712136398591150E+02   1.9405381023269891E+02   5.2379221366820084E+03   2.6895510207512872E+00   2.9048420276335813E+05
   2.6000000000000000E+03   1.9399645593908576E+02   2.0156484105139396E+02   5.1666061155244388E+03   2.6918162715820197E+00   3.1179596691392211E+05
   2.7000000000000000E+03   2.0086784946881082E+02   2.0910004616597988E+02   5.1020982785351980E+03   2.6942110339816545E+00   3.3482060086118651E+05
