#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   1.6000000000000000E+03   2.1519783535330561E+02   2.1897138753561779E+02   1.2487482967070431E+04   3.3978160415087610E+00   1.7925251418880836E+05
   1.7000000000000000E+03   2.3334721080077384E+02   2.3769704601247273E+02   1.2751274474356511E+04   3.4002208854782450E+00   1.9487322905724621E+05
   1.8000000000000000E+03   2.5213906507271841E+02   2.5715591246115088E+02   1.2924262255889606E+04   3.4027254507870661E+00   2.1118738361445218E+05
   1.9000000000000000E+03   2.7160998433895526E+02   2.7737099555003874E+02   1.3076997943084549E+04   3.4053105400946575E+00   2.2820981396233270E+05
   2.0000000000000000E+03   2.9174655705791929E+02   2.9836831355209864E+02   1.3145745889405467E+04   3.4079580580958213E+00   2.4595878410710397E+05
   2.1000000000000000E+03   3.1243982582568435E+02   3.2017355064099314E+02   1.2934901458899170E+04   3.4106508437569252E+00   2.6445404169189214E+05
   2.2000000000000000E+03   3.3382779451818811E+02   3.4280921973263389E+02   1.2741769043490014E+04   3.4133725803752530E+00   2.8371498094847467E+05
   2.3000000000000000E+03   3.5589393445163580E+02   3.6629248279515377E+02   1.2536487647652040E+04   3.4161077589203344E+00   3.0375910355385143E+05
   2.4000000000000000E+03   3.7853577888233343E+02   3.9063365803837115E+02   1.2222705657413786E+04   3.4188416780776696E+00   3.2460084736423596E+05
   2.5000000000000000E+03   4.0192536338098773E+02   4.1583536442838755E+02   1.2015439782140624E+04   3.4215604678275393E+00   3.4625078344917984E+05
   2.6000000000000000E+03   4.2629748252767126E+02   4.4189221118832887E+02   1.2079564914355267E+04   3.4242511264099034E+00   3.6871515268547874E+05
   2.7000000000000000E+03   4.5084724095501207E+02   4.6879092338711115E+02   1.1778691201965628E+04   3.4269015637198974E+00   3.9199566834609117E+05
   2.8000000000000000E+03   4.7586380112114091E+02   4.9651079522817548E+02   1.1443385564509872E+04   3.4295006439596314E+00   4.1608953928058193E+05
   2.9000000000000000E+03   5.0152748449165773E+02   5.2502437247795990E+02   1.1206341579326794E+04   3.4320382239592111E+00   4.4098963393200643E+05
   3.0000000000000000E+03   5.2760465638576818E+02   5.5429828006793366E+02   1.0955813158700368E+04   3.4345051829673960E+00   4.6668474956092524E+05
   3.1000000000000000E+03   5.5402559876869088E+02   5.8429412663936273E+02   1.0694735626110805E+04   3.4368934417683468E+00   4.9315993185805838E+05
   3.2000000000000000E+03   5.8082370609976817E+02   6.1496943302012153E+02   1.0460718146606758E+04   3.4391959698121384E+00   5.2039682490650803E+05
   3.3000000000000000E+03   6.0772361917129729E+02   6.4627854535927918E+02   1.0186992309712454E+04   3.4414067793091334E+00   5.4837402445602266E+05
   3.4000000000000000E+03   6.3490383810175433E+02   6.7817350506212915E+02   9.9509654570989424E+03   3.4435209069881165E+00   5.7706741511243838E+05
   3.5000000000000000E+03   6.6192495242287475E+02   7.1060485728278684E+02   9.6624487599547429E+03   3.4455343835182357E+00   6.0645050288519706E+05
   3.6000000000000000E+03   6.8941177515990785E+02   7.4352238682795644E+02   9.4730603253718473E+03   3.4474441923882710E+00   6.3649471505279967E+05
   3.7000000000000000E+03   7.1663526061979462E+02   7.7687577596100812E+02   9.2418959403245990E+03   3.4492482195337582E+00   6.6716967947907653E+05
   3.8000000000000000E+03   7.4388513245914771E+02   8.1061518261313086E+02   9.0364772857220996E+03   3.4509451950899139E+00   6.9844349715187878E+05
   3.9000000000000000E+03   7.7098316856092538E+02   8.4469174005192303E+02   8.8353783152887627E+03   3.4525346296326482E+00   7.3028297808306105E+05
   4.0000000000000000E+03   7.9836579412820333E+02   8.7905798106595103E+02   8.6973702135484964E+03   3.4540167463949905E+00   7.6265386977620842E+05
   4.1000000000000000E+03   8.2502153418853220E+02   9.1366819084745578E+02   8.5033769006374332E+03   3.4553924110118959E+00   7.9552107765855733E+05
   4.2000000000000000E+03   8.5161034369607614E+02   9.4847869325362899E+02   8.3384745341431080E+03   3.4566630608713460E+00   8.2884885876887431E+05
   4.3000000000000000E+03   8.7765822378382143E+02   9.8344807575038351E+02   8.1589233305621365E+03   3.4578306348810273E+00   8.6260101816517161E+05
   4.4000000000000000E+03   9.0371480273484974E+02   1.0185373582509515E+03   8.0164326917524195E+03   3.4588975052035589E+00   8.9674108818264201E+05
   4.5000000000000000E+03   9.2945356765449128E+02   1.0537101111641925E+03   7.8818756295011972E+03   3.4598664119445357E+00   9.3123249261417612E+05
   4.6000000000000000E+03   9.5521081319264431E+02   1.0889325280326032E+03   7.7785431248681789E+03   3.4607404010558631E+00   9.6603871578647092E+05
   4.7000000000000000E+03   9.8039947916471453E+02   1.1241734577070451E+03   7.6657757099090531E+03   3.4615227667230011E+00   1.0011234441962778E+06
   4.8000000000000000E+03   1.0052124886209757E+03   1.1594044011793685E+03   7.5584235521189721E+03   3.4622169980173854E+00   1.0364507108010957E+06
   4.9000000000000000E+03   1.0300190006215842E+03   1.1945994777730989E+03   7.4763433764147958E+03   3.4628267303171052E+00   1.0719850189070224E+06
   5.0000000000000000E+03   1.0545247408941825E+03   1.2297353653076541E+03   7.4012998458885631E+03   3.4633557012989931E+00   1.1076914679149431E+06
   5.1000000000000000E+03   1.0775285207294580E+03   1.2647912184227282E+03   7.2777367164225670E+03   3.4638077119395363E+00   1.1435358528714406E+06
   5.2000000000000000E+03   1.1006391089145063E+03   1.2997485692265698E+03   7.1847621142879625E+03   3.4641865918028780E+00   1.1794847602389199E+06
   5.3000000000000000E+03   1.1231604219051626E+03   1.3345912138988326E+03   7.0896013619360319E+03   3.4644961688127078E+00   1.2155056551027040E+06
   5.4000000000000000E+03   1.1456533418421641E+03   1.3693050886889459E+03   7.0142485939655153E+03   3.4647402431362275E+00   1.2515669522652493E+06
   5.5000000000000000E+03   1.1674907574637443E+03   1.4038781384023293E+03   6.9335966441286173E+03   3.4649225648520958E+00   1.2876380802451815E+06
   5.6000000000000000E+03   1.1895426294937174E+03   1.4383001800991344E+03   6.8778590803472625E+03   3.4650468152492553E+00   1.3236895272859954E+06
   5.7000000000000000E+03   1.2103925906036536E+03   1.4725627644809658E+03   6.7985577190817030E+03   3.4651165911441870E+00   1.3596928916348394E+06
