#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   2.0000000000000000E+03   4.0320070861025249E+02   4.2627684984764517E+02   7.4481745520004752E+03  -4.2804530872744015E+00   4.3550433630149567E+05
   2.1000000000000000E+03   4.2628421655374729E+02   4.5276174569952184E+02   7.2893956603132701E+03  -4.2804737813676015E+00   4.6135388361392799E+05
   2.2000000000000000E+03   4.4969573726561140E+02   4.7990850618300482E+02   7.1430993332015132E+03  -4.2804754119150816E+00   4.8782672313311324E+05
   2.3000000000000000E+03   4.7344999153370594E+02   5.0774999591502677E+02   7.0085772758129260E+03  -4.2804722190987867E+00   5.1494258383731835E+05
   2.4000000000000000E+03   4.9755860803100080E+02   5.3631553773723226E+02   6.8851793587516895E+03  -4.2804743261875808E+00   5.4271729206365789E+05
   2.5000000000000000E+03   5.2202903454849638E+02   5.6562944062172392E+02   6.7722990997846673E+03  -4.2804884088616362E+00   5.7116216961781448E+05
   2.6000000000000000E+03   5.4686389617584928E+02   5.9570998553892548E+02   6.6693626435719152E+03  -4.2805183474777211E+00   6.0028359172240016E+05
   2.7000000000000000E+03   5.7206073816737216E+02   6.2656882827706568E+02   6.5758206845170716E+03  -4.2805658159779165E+00   6.3008271303774824E+05
   2.8000000000000000E+03   5.9761208217312219E+02   6.5821076524646128E+02   6.4911428100120238E+03  -4.2806307891626432E+00   6.6055535781415342E+05
   2.9000000000000000E+03   6.2352497414317907E+02   6.9063380238835418E+02   6.4168520750109246E+03  -4.2807119652779448E+00   6.9169206087204220E+05
   3.0000000000000000E+03   6.4974532168476651E+02   7.2382946668104375E+02   6.3482518384631621E+03  -4.2808071101433240E+00   7.2347824081413192E+05
   3.1000000000000000E+03   6.7600931455511932E+02   7.5778330242667994E+02   6.2644440388473640E+03  -4.2809133322646815E+00   7.5589448676306650E+05
   3.2000000000000000E+03   7.0252054030319698E+02   7.9247549953499015E+02   6.1889896995651106E+03  -4.2810272998704404E+00   7.8891692847493512E+05
   3.3000000000000000E+03   7.2903827772740294E+02   8.2788160718005236E+02   6.1062024559772854E+03  -4.2811454098623329E+00   8.2251767531096551E+05
   3.4000000000000000E+03   7.5594497348954974E+02   8.6397329301298510E+02   6.0457875394488146E+03  -4.2812639180833152E+00   8.5666529331264447E+05
   3.5000000000000000E+03   7.8301379913533310E+02   9.0071911480079223E+02   5.9918746408914058E+03  -4.2813790384541894E+00   8.9132530827295384E+05
   3.6000000000000000E+03   8.1021494900243704E+02   9.3808527782522708E+02   5.9439177370570778E+03  -4.2814870175626547E+00   9.2646071464013623E+05
   3.7000000000000000E+03   8.3751861251979005E+02   9.7603635724576941E+02   5.9013999780782815E+03  -4.2815841899635600E+00   9.6203247290330427E+05
   3.8000000000000000E+03   8.6489561951479095E+02   1.0145359698219939E+03   5.8638443062839769E+03  -4.2816670180186414E+00   9.9799999823481066E+05
   3.9000000000000000E+03   8.9231738205723423E+02   1.0535473840874681E+03   5.8307922334820150E+03  -4.2817321201881953E+00   1.0343216126378356E+06
   4.0000000000000000E+03   9.1975692905687538E+02   1.0930340618103901E+03   5.8018368383054567E+03  -4.2817762897730312E+00   1.0709549724688253E+06
   4.1000000000000000E+03   9.4700293008895994E+02   1.1329601270150174E+03   5.7696963478310990E+03  -4.2817965067359447E+00   1.1078574538645807E+06
   4.2000000000000000E+03   9.7419668451472387E+02   1.1732907613874931E+03   5.7410847558558671E+03  -4.2817899437176647E+00   1.1449865049031982E+06
   4.3000000000000000E+03   1.0013163035826950E+03   1.2139925271922475E+03   5.7156859816019214E+03  -4.2817539679089345E+00   1.1822999556534267E+06
   4.4000000000000000E+03   1.0283404607701702E+03   1.2550336204606165E+03   5.6931662751044914E+03  -4.2816861396201569E+00   1.2197562888760981E+06
   4.5000000000000000E+03   1.0552396300170544E+03   1.2963840585552480E+03   5.6729315398351746E+03  -4.2815842084320357E+00   1.2573148748569193E+06
   4.6000000000000000E+03   1.0819280064871009E+03   1.3380158071307196E+03   5.6528923721429210E+03  -4.2814461074320702E+00   1.2949361662175315E+06
   4.7000000000000000E+03   1.1089110639803966E+03   1.3799028521890336E+03   5.6466269702328746E+03  -4.2812699461258594E+00   1.3325818645691704E+06
   4.8000000000000000E+03   1.1354233632218302E+03   1.4220212233322786E+03   5.6336642546686444E+03  -4.2810540025911523E+00   1.3702150467612199E+06
   4.9000000000000000E+03   1.1617093917470872E+03   1.4643489743724024E+03   5.6210358921547640E+03  -4.2807967147274120E+00   1.4078002733943085E+06
   5.0000000000000000E+03   1.1877737831443967E+03   1.5068661276337155E+03   5.6090849938004603E+03  -4.2804966714633039E+00   1.4453036592761027E+06
   5.1000000000000000E+03   1.2134798431457739E+03   1.5495545879405413E+03   5.5950448150103848E+03  -4.2801526036486806E+00   1.4826929290172765E+06
   5.2000000000000000E+03   1.2389505660225332E+03   1.5923980321295685E+03   5.5818831153895972E+03  -4.2797633749885913E+00   1.5199374472994939E+06
   5.3000000000000000E+03   1.2641636623573281E+03   1.6353817795345165E+03   5.5692061462129568E+03  -4.2793279731246070E+00   1.5570082355204581E+06
   5.4000000000000000E+03   1.2891171458386589E+03   1.6784926484790312E+03   5.5570359142930556E+03  -4.2788455009684876E+00   1.5938779660535082E+06
   5.5000000000000000E+03   1.3138059771855105E+03   1.7217188033524953E+03   5.5453133850496060E+03  -4.2783151683514191E+00   1.6305209494027097E+06
