#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   8.8000000000000000E+03   4.7078759503647444E+02   5.3942368670691462E+02   3.7000064250428272E+03   4.2105766664028579E+00   1.4740814675677773E+06
   8.9000000000000000E+03   4.7840267343067836E+02   5.4907876550245874E+02   3.7166846898327076E+03   4.2188860889651929E+00   1.4981046019283202E+06
   9.0000000000000000E+03   4.8601448266592507E+02   5.5880022522227171E+02   3.7312939709965722E+03   4.2272091281507027E+00   1.5221516871014070E+06
   9.1000000000000000E+03   4.9365224297820595E+02   5.6858705874995894E+02   3.7457125101267434E+03   4.2355438452753091E+00   1.5462180444158097E+06
   9.2000000000000000E+03   5.0142985401705624E+02   5.7843823114481711E+02   3.7664239738441424E+03   4.2438884258983975E+00   1.5702989435094709E+06
   9.3000000000000000E+03   5.0916289300300014E+02   5.8835268184438269E+02   3.7829038058681299E+03   4.2522411732750252E+00   1.5943896985521154E+06
   9.4000000000000000E+03   5.1692321514739285E+02   5.9832932674371580E+02   3.7993501130608861E+03   4.2606005021787592E+00   1.6184856317312301E+06
   9.5000000000000000E+03   5.2470691683711777E+02   6.0836706018828647E+02   3.8156091021352249E+03   4.2689649324774015E+00   1.6425821074139487E+06
   9.6000000000000000E+03   5.3251069661167696E+02   6.1846475683065603E+02   3.8315711631379613E+03   4.2773330833264609E+00   1.6666745009345897E+06
   9.7000000000000000E+03   5.4034178828545134E+02   6.2862127339007986E+02   3.8476701876466236E+03   4.2857036673626219E+00   1.6907583227786864E+06
   9.8000000000000000E+03   5.4819014308555256E+02   6.3883545030367009E+02   3.8634465220290681E+03   4.2940754851442726E+00   1.7148291479980077E+06
   9.9000000000000000E+03   5.5595053420229215E+02   6.4910611328528444E+02   3.8738516145493304E+03   4.3024474196332454E+00   1.7388825911734484E+06
   1.0000000000000000E+04   5.6396470280666358E+02   6.5943207476446685E+02   3.8955342169689443E+03   4.3108184312530833E+00   1.7629144038295448E+06
   1.0100000000000000E+04   5.7185264056866720E+02   6.6981213524685984E+02   3.9101246845357950E+03   4.3191875529061186E+00   1.7869204647089336E+06
   1.0200000000000000E+04   5.7975948327644289E+02   6.8024508458861294E+02   3.9247268622820102E+03   4.3275538851552744E+00   1.8108967376857686E+06
   1.0300000000000000E+04   5.8768081284492905E+02   6.9072970316977160E+02   3.9391845184876161E+03   4.3359165919000588E+00   1.8348392977491766E+06
   1.0400000000000000E+04   5.9549906603169529E+02   7.0126476300353715E+02   3.9483738429930031E+03   4.3442748960113553E+00   1.8587443729497131E+06
   1.0500000000000000E+04   6.0345287098457607E+02   7.1184902874891111E+02   3.9629388067429322E+03   4.3526280755427713E+00   1.8826083123116605E+06
   1.0600000000000000E+04   6.1153877528212854E+02   7.2248125869091757E+02   3.9824717324574726E+03   4.3609754595301400E+00   1.9064275803614538E+06
   1.0700000000000000E+04   6.1949924017422370E+02   7.3316020561323296E+02   3.9960261515383336E+03   4.3693164246970539E+00   1.9301987812109217E+06
   1.0800000000000000E+04   6.2746289958166972E+02   7.4388461762950715E+02   4.0092175837863988E+03   4.3776503920368164E+00   1.9539186677793786E+06
   1.0900000000000000E+04   6.3542915130255471E+02   7.5465323897257815E+02   4.0220787303926459E+03   4.3859768233532339E+00   1.9775840861860469E+06
   1.1000000000000000E+04   6.4340003308052837E+02   7.6546481069518757E+02   4.0347436348756960E+03   4.3942952185838342E+00   2.0011920616578492E+06
   1.1100000000000000E+04   6.5132158042260869E+02   7.7631807135579345E+02   4.0451752634909276E+03   4.4026051127524735E+00   2.0247397085483645E+06
   1.1200000000000000E+04   6.5927625244784576E+02   7.8721175764014356E+02   4.0566535199106015E+03   4.4109060734161059E+00   2.0482243001040933E+06
   1.1300000000000000E+04   6.6734289812444842E+02   7.9814460495173489E+02   4.0720885584022903E+03   4.4191976981115353E+00   2.0716432242034005E+06
   1.1400000000000000E+04   6.7533523808904795E+02   8.0911534795127966E+02   4.0844943744843290E+03   4.4274796121728386E+00   2.0949940211224591E+06
   1.1500000000000000E+04   6.8333960724139047E+02   8.2012272108055288E+02   4.0971602589183804E+03   4.4357514663840272E+00   2.1182743016021140E+06
   1.1600000000000000E+04   6.9133155460920045E+02   8.3116545903256701E+02   4.1092388237314744E+03   4.4440129351259090E+00   2.1414818526149224E+06
   1.1700000000000000E+04   6.9932067070252015E+02   8.4224229721066411E+02   4.1211219223413373E+03   4.4522637143581898E+00   2.1646145182730583E+06
   1.1800000000000000E+04   7.0731420913120371E+02   8.5335197214558525E+02   4.1330951859983415E+03   4.4605035199722494E+00   2.1876703069284600E+06
   1.1900000000000000E+04   7.1504307041914262E+02   8.6449322189507927E+02   4.1361609984043698E+03   4.4687320861438957E+00   2.2106473227318786E+06
   1.2000000000000000E+04   7.2303866602624248E+02   8.7566478641753417E+02   4.1483036942450753E+03   4.4769491638508256E+00   2.2335437661037645E+06
   1.2100000000000000E+04   7.3131189497559512E+02   8.8686540793380277E+02   4.1694668910410619E+03   4.4851545193489493E+00   2.2563579154085764E+06
   1.2200000000000000E+04   7.3916325146557404E+02   8.9809383125053466E+02   4.1769051451679015E+03   4.4933479330604760E+00   2.2790882021527598E+06
   1.2300000000000000E+04   7.4722106186901215E+02   9.0934880408437164E+02   4.1910444795725289E+03   4.5015291982561276E+00   2.3017331186487875E+06
   1.2400000000000000E+04   7.5516568871853167E+02   9.2062907735242266E+02   4.2016998261254585E+03   4.5096981201079771E+00   2.3242912550119539E+06
   1.2500000000000000E+04   7.6292019146297389E+02   9.3193340547583182E+02   4.2067173048509258E+03   4.5178545143716491E+00   2.3467612407282852E+06
   1.2600000000000000E+04   7.7105892305171790E+02   9.4326054662594061E+02   4.2235923572758056E+03   4.5259982068509572E+00   2.3691418805727428E+06
   1.2700000000000000E+04   7.7896247934934388E+02   9.5460926300044162E+02   4.2335235684916352E+03   4.5341290322448478E+00   2.3914319789427281E+06
   1.2800000000000000E+04   7.8680779399758308E+02   9.6597832106141516E+02   4.2419882572151309E+03   4.5422468334884822E+00   2.4136304564635046E+06
   1.2900000000000000E+04   7.9466443951660744E+02   9.7736649177660274E+02   4.2510655232526315E+03   4.5503514609296403E+00   2.4357362492222600E+06
   1.3000000000000000E+04   8.0251982947081774E+02   9.8877255083393720E+02   4.2603918647376204E+03   4.5584427718345202E+00   2.4577484290538970E+06
   1.3100000000000000E+04   8.1042637495608665E+02   1.0001952788679472E+03   4.2714302364186315E+03   4.5665206296053071E+00   2.4796660391789768E+06
   1.3200000000000000E+04   8.1817392423990498E+02   1.0116334616527527E+03   4.2783732985286506E+03   4.5745849034507353E+00   2.5014882993795918E+06
   1.3300000000000000E+04   8.2598758380260915E+02   1.0230858903153220E+03   4.2874860647754358E+03   4.5826354676448142E+00   2.5232143766068798E+06
   1.3400000000000000E+04   8.3374227550272565E+02   1.0345513615185998E+03   4.2953694147523511E+03   4.5906722011973820E+00   2.5448435504103368E+06
   1.3500000000000000E+04   8.4167616163077400E+02   1.0460286776427654E+03   4.3083267068873001E+03   4.5986949874834746E+00   2.5663751496285941E+06
   1.3600000000000000E+04   8.4946649727742511E+02   1.0575166469698584E+03   4.3178289621135773E+03   4.6067037137491562E+00   2.5878084854348633E+06
   1.3700000000000000E+04   8.5722161122006264E+02   1.0690140838518355E+03   4.3267919959065384E+03   4.6146982708232525E+00   2.6091429576865141E+06
   1.3800000000000000E+04   8.6520836174793294E+02   1.0805198088649538E+03   4.3419650287155218E+03   4.6226785529938033E+00   2.6303780335540362E+06
   1.3900000000000000E+04   8.7265196002782477E+02   1.0920326489906768E+03   4.3438847606019608E+03   4.6306444573903356E+00   2.6515131349611045E+06
   1.4000000000000000E+04   8.8086002457244945E+02   1.1035514377556408E+03   4.3651182265332527E+03   4.6385958839838901E+00   2.6725477699272423E+06
   1.4100000000000000E+04   8.8825873259333491E+02   1.1150750153785896E+03   4.3668607374385156E+03   4.6465327354222756E+00   2.6934814878778108E+06
   1.4200000000000000E+04   8.9596539746909718E+02   1.1266022289340465E+03   4.3765629601526380E+03   4.6544549165358964E+00   2.7143138095450723E+06
   1.4300000000000000E+04   9.0359250708773595E+02   1.1381319324709661E+03   4.3847957953238092E+03   4.6623623345436647E+00   2.7350443631468765E+06
   1.4400000000000000E+04   9.1116426205292612E+02   1.1496629871682048E+03   4.3921904689693993E+03   4.6702548986000068E+00   2.7556726986505291E+06
   1.4500000000000000E+04   9.1872095831661284E+02   1.1611942614601198E+03   4.3997153123657617E+03   4.6781325197948656E+00   2.7761984719799352E+06
   1.4600000000000000E+04   9.2624896287173499E+02   1.1727246311646259E+03   4.4070677680832296E+03   4.6859951110713265E+00   2.7966213040371672E+06
   1.4700000000000000E+04   9.3401627026482981E+02   1.1842529796160504E+03   4.4202609358905365E+03   4.6938425870197253E+00   2.8169408496942781E+06
   1.4800000000000000E+04   9.4140119250411112E+02   1.1957781977810273E+03   4.4253489820592285E+03   4.7016748639188268E+00   2.8371567731632679E+06
   1.4900000000000000E+04   9.4884125118365910E+02   1.2072991843877905E+03   4.4321923280365017E+03   4.7094918595093196E+00   2.8572687590337899E+06
   1.5000000000000000E+04   9.5625584109610577E+02   1.2188148460339655E+03   4.4389976874359027E+03   4.7172934930967818E+00   2.8772765239432110E+06
   1.5100000000000000E+04   9.6366803978755968E+02   1.2303240973125330E+03   4.4462669333867643E+03   4.7250796853045784E+00   2.8971797169660735E+06
   1.5200000000000000E+04   9.7104073252820126E+02   1.2418258609071499E+03   4.4532116695869827E+03   4.7328503583209685E+00   2.9169781162567334E+06
   1.5300000000000000E+04   9.7833304574258193E+02   1.2533190677221128E+03   4.4590028685279867E+03   4.7406054355078648E+00   2.9366713677212042E+06
   1.5400000000000000E+04   9.8560194069183615E+02   1.2648026569701972E+03   4.4648594384663902E+03   4.7483448417097085E+00   2.9562592460763543E+06
   1.5500000000000000E+04   9.9290166636684307E+02   1.2762755762949014E+03   4.4718871499787156E+03   4.7560685029240028E+00   2.9757414024752118E+06
   1.5600000000000000E+04   1.0001131482508766E+03   1.2877367818558046E+03   4.4776657289201166E+03   4.7637763465896006E+00   2.9951176172433919E+06
   1.5700000000000000E+04   1.0072428189097400E+03   1.2991852384399540E+03   4.4823736268197599E+03   4.7714683013807804E+00   3.0143876218700511E+06
