#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   5.0416987354171233E+01   5.0494125775575554E+01   3.3002512293367523E+04   3.5963201301395018E+00   1.6090800277696332E+05
   4.0000000000000000E+02   6.5488608397587953E+01   6.5619134675476630E+01   3.2922917006917007E+04   3.6031692671594970E+00   2.0784480871034091E+05
   5.0000000000000000E+02   7.8556618957214496E+01   7.8750009469511781E+01   3.1988821029978659E+04   3.6079396021316574E+00   2.4856804167383866E+05
   6.0000000000000000E+02   8.9832985064154144E+01   9.0096267225683533E+01   3.0741226754617444E+04   3.6117289988021044E+00   2.8411458653021848E+05
   7.0000000000000000E+02   9.9526565281866141E+01   9.9864825680465742E+01   2.9383289127539807E+04   3.6152136823306424E+00   3.1467267395227955E+05
   8.0000000000000000E+02   1.0789877002612391E+02   1.0831614184603707E+02   2.8001838939663157E+04   3.6187012411676442E+00   3.4054292295356392E+05
   9.0000000000000000E+02   1.1521030156945015E+02   1.1571010984143720E+02   2.6672220922768844E+04   3.6223165410224554E+00   3.6220034428591328E+05
   1.0000000000000000E+03   1.2168731324199446E+02   1.2227455275095812E+02   2.5337637497158612E+04   3.6261022506821292E+00   3.8020761077545956E+05
   1.1000000000000000E+03   1.2751802352650228E+02   1.2819762893230575E+02   2.4054411755162924E+04   3.6300650868365123E+00   3.9514416651159117E+05
   1.2000000000000000E+03   1.3285488226183440E+02   1.3363127504325803E+02   2.2866734128848053E+04   3.6341967206603085E+00   4.0756354451307282E+05
   1.3000000000000000E+03   1.3781730255178527E+02   1.3869787049507192E+02   2.1707542872799175E+04   3.6384833534957193E+00   4.1797090164352977E+05
   1.4000000000000000E+03   1.4250485584442856E+02   1.4349674605279412E+02   2.0616176002073455E+04   3.6429101561434862E+00   4.2681307607766194E+05
   1.5000000000000000E+03   1.4699867764942374E+02   1.4810945245850937E+02   1.9600636853390315E+04   3.6474632981387871E+00   4.3447606549616205E+05
   1.6000000000000000E+03   1.5136487954035161E+02   1.5260367814582801E+02   1.8646160286138394E+04   3.6521307976742370E+00   4.4128681819138338E+05
   1.7000000000000000E+03   1.5565930267077306E+02   1.5703604406021302E+02   1.7755056468908071E+04   3.6569027735830821E+00   4.4751745772109122E+05
   1.8000000000000000E+03   1.5992815363768685E+02   1.6145407265346176E+02   1.6921639660961944E+04   3.6617713903102191E+00   4.5339076749541285E+05
   1.9000000000000000E+03   1.6421092402801963E+02   1.6589759522097123E+02   1.6151457094366639E+04   3.6667306510358957E+00   4.5908618614522292E+05
   2.0000000000000000E+03   1.6853857078653633E+02   1.7039979960739700E+02   1.5430095626212462E+04   3.6717761256673547E+00   4.6474581603715563E+05
   2.1000000000000000E+03   1.7290982086411435E+02   1.7498805850647781E+02   1.4559044275275668E+04   3.6769046633894278E+00   4.7048013821515988E+05
   2.2000000000000000E+03   1.7736832300174984E+02   1.7968462780637051E+02   1.3759139574218951E+04   3.6821141179821510E+00   4.7637325849688525E+05
   2.3000000000000000E+03   1.8193069209248679E+02   1.8450726706285107E+02   1.3027967429215556E+04   3.6874031004719163E+00   4.8248758931911271E+05
   2.4000000000000000E+03   1.8660901195674521E+02   1.8946980886401431E+02   1.2359064615145440E+04   3.6927707656705766E+00   4.8886793247312767E+05
   2.5000000000000000E+03   1.9141200727220695E+02   1.9458268819943274E+02   1.1746834129179861E+04   3.6982166340601457E+00   4.9554499861146481E+05
   2.6000000000000000E+03   1.9634530643578913E+02   1.9985343431322084E+02   1.1185534043645464E+04   3.7037404473644000E+00   5.0253838169142732E+05
   2.7000000000000000E+03   2.0141227120549078E+02   2.0528712359158152E+02   1.0670689278446949E+04   3.7093420543793498E+00   5.0985902999704727E+05
   2.8000000000000000E+03   2.0661419171933045E+02   2.1088679091315848E+02   1.0198055532975703E+04   3.7150213236446907E+00   5.1751131304800883E+05
   2.9000000000000000E+03   2.1195069648342744E+02   2.1665379754308569E+02   9.7637543192348621E+03   3.7207780783419340E+00   5.2549468426515569E+05
   3.0000000000000000E+03   2.1742013318516530E+02   2.2258815480921623E+02   9.3643467045182060E+03   3.7266120499510613E+00   5.3380503107636154E+05
   3.1000000000000000E+03   2.2299982467475155E+02   2.2868880426835455E+02   8.9642724882096900E+03   3.7325228471270901E+00   5.4243575185690331E+05
   3.2000000000000000E+03   2.2870353847303423E+02   2.3495385636602521E+02   8.5971272579675642E+03   3.7385099365595655E+00   5.5137859006190556E+05
   3.3000000000000000E+03   2.3452707833121659E+02   2.4138079053748143E+02   8.2598057616554670E+03   3.7445726335832612E+00   5.6062429702704481E+05
   3.4000000000000000E+03   2.4046587814226081E+02   2.4796662044016753E+02   7.9495480268338433E+03   3.7507100999967129E+00   5.7016310690363916E+05
   3.5000000000000000E+03   2.4651512641728047E+02   2.5470802829976353E+02   7.6638757178406058E+03   3.7569213476410286E+00   5.7998511029285064E+05
   3.6000000000000000E+03   2.5266988927596850E+02   2.6160147250479065E+02   7.4005709176974833E+03   3.7632052460500391E+00   5.9008049754624488E+05
   3.7000000000000000E+03   2.5892519998232063E+02   2.6864327243903324E+02   7.1576450319770256E+03   3.7695605331866959E+00   6.0043974842697091E+05
   3.8000000000000000E+03   2.6527608886465191E+02   2.7582967432122734E+02   6.9332851378160685E+03   3.7759858281698837E+00   6.1105373639272584E+05
   3.9000000000000000E+03   2.7171766581202695E+02   2.8315690145600746E+02   6.7258630486101183E+03   3.7824796453081251E+00   6.2191377775646606E+05
   4.0000000000000000E+03   2.7824420322622581E+02   2.9062119190516097E+02   6.5333874078702547E+03   3.7890404089173870E+00   6.3301166195326380E+05
   4.1000000000000000E+03   2.8483042063685690E+02   2.9821882619417664E+02   6.3444293902702721E+03   3.7956664683198258E+00   6.4433964174288546E+05
   4.2000000000000000E+03   2.9148922697635788E+02   3.0594614724517083E+02   6.1686724626456389E+03   3.8023561127521006E+00   6.5589041575158702E+05
   4.3000000000000000E+03   2.9821662430540619E+02   3.1379957435744228E+02   6.0052974219167290E+03   3.8091075858916241E+00   6.6765708307962667E+05
   4.4000000000000000E+03   3.0501592571094369E+02   3.2177561272089110E+02   5.8561169028404611E+03   3.8159190996791605E+00   6.7963308660736273E+05
   4.5000000000000000E+03   3.1189318117411312E+02   3.2987085961408718E+02   5.7229008809563284E+03   3.8227888475482938E+00   6.9181220045225043E+05
