#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.1000000000000000E+03   8.7993064780266809E+02   1.5380803103268652E+03   2.0563772663010195E+03  -3.5616749922716759E+00   3.2804663149041618E+05
   3.2000000000000000E+03   8.8997578840825520E+02   1.5879460991271112E+03   2.0247760682899841E+03  -3.5568856221073948E+00   3.3857991594613396E+05
   3.3000000000000000E+03   8.9874376979367264E+02   1.6379367597754385E+03   1.9914764859993106E+03  -3.5523738084229128E+00   3.4910535556249879E+05
   3.4000000000000000E+03   9.0780337314329245E+02   1.6880493526603411E+03   1.9640176772534396E+03  -3.5481276035810319E+00   3.5962509966658871E+05
   3.5000000000000000E+03   9.1585936627959734E+02   1.7382800624977558E+03   1.9357733624365742E+03  -3.5441341328408371E+00   3.7014107304614090E+05
   3.6000000000000000E+03   9.2289901178091566E+02   1.7886242424782604E+03   1.9067476461335373E+03  -3.5403800835105179E+00   3.8065495953862631E+05
   3.7000000000000000E+03   9.2954951207870022E+02   1.8390764614760280E+03   1.8795623687381935E+03  -3.5368520841566631E+00   3.9116820204724552E+05
   3.8000000000000000E+03   9.3583358136323591E+02   1.8896305580575774E+03   1.8540420821307935E+03  -3.5335369887743382E+00   4.0168201170364761E+05
   3.9000000000000000E+03   9.4184973804622916E+02   1.9402797028133218E+03   1.8303256055195009E+03  -3.5304220816256198E+00   4.1219738351297338E+05
   4.0000000000000000E+03   9.4733484352591370E+02   1.9910164687968784E+03   1.8072170949982151E+03  -3.5274952176302641E+00   4.2271511503712100E+05
   4.1000000000000000E+03   9.5255820706750058E+02   2.0418329087051870E+03   1.7855594109763554E+03  -3.5247449116986647E+00   4.3323582767858257E+05
   4.2000000000000000E+03   9.5769667470775016E+02   2.0927206367745816E+03   1.7657702937669728E+03  -3.5221603885329440E+00   4.4375998556476668E+05
   4.3000000000000000E+03   9.6216114709775366E+02   2.1436709131211901E+03   1.7456959934496724E+03  -3.5197316025679930E+00   4.5428791660926695E+05
   4.4000000000000000E+03   9.6416257939318143E+02   2.1946747282670622E+03   1.7196280823976474E+03  -3.5174492358908429E+00   4.6481982979867130E+05
   4.5000000000000000E+03   9.6911545341655835E+02   2.2457228857877217E+03   1.7048034482031353E+03  -3.5153046803493559E+00   4.7535583136398671E+05
   4.6000000000000000E+03   9.7221829396128919E+02   2.2968060813901307E+03   1.6858051321335968E+03  -3.5132900089384846E+00   4.8589594057162327E+05
   4.7000000000000000E+03   9.7945147483274434E+02   2.3479149769772675E+03   1.6804750608097740E+03  -3.5113979400382465E+00   4.9644010113501531E+05
   4.8000000000000000E+03   9.8126752425150357E+02   2.3990402687137066E+03   1.6604214704052094E+03  -3.5096217975419504E+00   5.0698819353514328E+05
   4.9000000000000000E+03   9.8549729682775910E+02   2.4501727483806508E+03   1.6485827066536156E+03  -3.5079554689655978E+00   5.1754004413602757E+05
   5.0000000000000000E+03   9.8903818851053779E+02   2.5013033575904028E+03   1.6358801302100794E+03  -3.5063933630216839E+00   5.2809543243371765E+05
   5.1000000000000000E+03   9.9255979452490214E+02   2.5524232347641710E+03   1.6241374828616447E+03  -3.5049303679654957E+00   5.3865409923434653E+05
   5.2000000000000000E+03   9.9347935476483690E+02   2.6035237548344512E+03   1.6065066900987451E+03  -3.5035618111980384E+00   5.4921574981054687E+05
   5.3000000000000000E+03   9.9726818678281359E+02   2.6545965619919234E+03   1.5973567698577258E+03  -3.5022834209804756E+00   5.5978006037693121E+05
   5.4000000000000000E+03   9.9867738649787589E+02   2.7056335957057304E+03   1.5829668468379687E+03  -3.5010912902395073E+00   5.7034667992311611E+05
   5.5000000000000000E+03   1.0015102586713857E+03   2.7566271105288724E+03   1.5729951698683242E+03  -3.4999818429065543E+00   5.8091523399634659E+05
   5.6000000000000000E+03   1.0046534837076745E+03   2.8075696901006286E+03   1.5644846165950441E+03  -3.4989518026363098E+00   5.9148532561476482E+05
   5.7000000000000000E+03   1.0077035298055861E+03   2.8584542559242595E+03   1.5563816362906427E+03  -3.4979981640693785E+00   6.0205653695987235E+05
   5.8000000000000000E+03   1.0102053441168979E+03   2.9092740714076417E+03   1.5475818079683302E+03  -3.4971181664330691E+00   6.1262843098342628E+05
   5.9000000000000000E+03   1.0145535092346363E+03   2.9600227417412834E+03   1.5436386296269470E+03  -3.4963092694906122E+00   6.2320055075838731E+05
   6.0000000000000000E+03   1.0205134557599091E+03   3.0106942100951228E+03   1.5438064838521789E+03  -3.4955691315915982E+00   6.3377242057957675E+05
   6.1000000000000000E+03   1.0218761436549764E+03   3.0612827507110092E+03   1.5339029505498290E+03  -3.4948955898854384E+00   6.4434354693308077E+05
   6.2000000000000000E+03   1.0238174962049842E+03   3.1117829592687676E+03   1.5258383792503193E+03  -3.4942866422755530E+00   6.5491341663062398E+05
   6.3000000000000000E+03   1.0266578680538096E+03   3.1621897410795759E+03   1.5202240804575499E+03  -3.4937404312584803E+00   6.6548149808655458E+05
   6.4000000000000000E+03   1.0294065870255715E+03   3.2124982974420896E+03   1.5148089713392640E+03  -3.4932552292874046E+00   6.7604724068343407E+05
   6.5000000000000000E+03   1.0321196780775913E+03   3.2627041105970961E+03   1.5096945299166398E+03  -3.4928294256703953E+00   6.8661007485634473E+05
