#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   1.2815467587833501E+01   1.2869489456680871E+01   3.0529955464894883E+03  -2.5747281800149868E+00   1.9944932054079058E+04
   4.0000000000000000E+02   1.6991288031788773E+01   1.7086956666893965E+01   3.0347396719381204E+03  -2.5770391369477803E+00   2.5770454787365376E+04
   5.0000000000000000E+02   2.1510101371047945E+01   2.1665983271342611E+01   2.9896831870092201E+03  -2.5788016927498769E+00   3.1827394371755741E+04
   6.0000000000000000E+02   2.6381958834607751E+01   2.6618066639293581E+01   2.9742207771111439E+03  -2.5800890255976343E+00   3.8285150767894847E+04
   7.0000000000000000E+02   3.1475102518123535E+01   3.1813613362352012E+01   2.9580640003843346E+03  -2.5809813204910359E+00   4.5027613763130612E+04
   8.0000000000000000E+02   3.6684218737166297E+01   3.7146471921185238E+01   2.9479284261997013E+03  -2.5814871118357119E+00   5.1904715723815956E+04
   9.0000000000000000E+02   4.1930354460467193E+01   4.2539862275270508E+01   2.9264784808003528E+03  -2.5815768451807006E+00   5.8812773789606726E+04
   1.0000000000000000E+03   4.7161964147469220E+01   4.7937374375200818E+01   2.9156447139224165E+03  -2.5812225919911143E+00   6.5694935861519843E+04
   1.1000000000000000E+03   5.2338405750362796E+01   5.3300513364492218E+01   2.8995341625039232E+03  -2.5804181810893798E+00   7.2525888717276859E+04
   1.2000000000000000E+03   5.7437975646022558E+01   5.8606968342485970E+01   2.8796293001034060E+03  -2.5791829574764131E+00   7.9298770447758478E+04
   1.3000000000000000E+03   6.2451088825726238E+01   6.3846972585927560E+01   2.8564792211941658E+03  -2.5775567493069005E+00   8.6016617314437317E+04
   1.4000000000000000E+03   6.7374841948619945E+01   6.9018870216981071E+01   2.8285009216885119E+03  -2.5755920015904583E+00   9.2687432118689961E+04
   1.5000000000000000E+03   7.2218492206306863E+01   7.4125365365883340E+01   2.8073299443549008E+03  -2.5733464659714693E+00   9.9321733879354724E+04
