#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   1.3944389413766537E+03   7.4071094906974258E+03   1.7178326722118316E+03   4.0496070330101679E+00   2.2048057063171222E+04
   4.0000000000000000E+02   1.5257656228596682E+03   1.0267611473883846E+04   1.7920664448568450E+03   4.0452272021740896E+00   2.9534483601726930E+04
   5.0000000000000000E+02   1.5911414056531555E+03   1.3055981682796455E+04   1.8119670701703703E+03   4.0390800527835893E+00   3.6832035430063050E+04
   6.0000000000000000E+02   1.6295825735920901E+03   1.5804831851260169E+04   1.8169189168293549E+03   4.0314997497189333E+00   4.4046842742266097E+04
   7.0000000000000000E+02   1.6533798250800303E+03   1.8549538030862521E+04   1.8151719208149125E+03   4.0228001013327859E+00   5.1249357408456286E+04
   8.0000000000000000E+02   1.6666939059430840E+03   2.1307840979350025E+04   1.8081249825357997E+03   4.0132713613409710E+00   5.8455381892593432E+04
   9.0000000000000000E+02   1.6704426081107981E+03   2.4084162053039508E+04   1.7949368275484983E+03   4.0032193776692004E+00   6.5649737618692845E+04
   1.0000000000000000E+03   1.6589563150802483E+03   2.6877162430606561E+04   1.7680892186157701E+03   3.9929798972729365E+00   7.2813486675543551E+04
   1.1000000000000000E+03   1.6548075667471608E+03   2.9684614369598748E+04   1.7525031413982524E+03   3.9829000011139271E+00   7.9940256681280065E+04
   1.2000000000000000E+03   1.6519815755957923E+03   3.2505286702521276E+04   1.7404337888961541E+03   3.9732976573061558E+00   8.7039745940428344E+04
   1.3000000000000000E+03   1.6485940679591156E+03   3.5339122985320435E+04   1.7292654758665592E+03   3.9644196010301465E+00   9.4131965132673417E+04
   1.4000000000000000E+03   1.6276050537527722E+03   3.8186867014279655E+04   1.7000654391364212E+03   3.9564169696852938E+00   1.0123834179415196E+05
   1.5000000000000000E+03   1.6150751320958534E+03   4.1049658624009491E+04   1.6812218350995590E+03   3.9493462484619855E+00   1.0837505040418137E+05
   1.6000000000000000E+03   1.5982796861787890E+03   4.3928720823581782E+04   1.6586262804171995E+03   3.9431892291353101E+00   1.1555057382117282E+05
   1.7000000000000000E+03   1.5805501769365251E+03   4.6825141952177946E+04   1.6357642647157656E+03   3.9378797738228104E+00   1.2276650442658970E+05
   1.8000000000000000E+03   1.5532824188804609E+03   4.9739740508708201E+04   1.6033522179162289E+03   3.9333278035017671E+00   1.3001968178689801E+05
   1.9000000000000000E+03   1.5357196558429889E+03   5.2672994396869472E+04   1.5818393380764730E+03   3.9294364593324791E+00   1.3730431653769020E+05
   2.0000000000000000E+03   1.5188556547596102E+03   5.5625012994309320E+04   1.5614926227763531E+03   3.9261124416977600E+00   1.4461355909495841E+05
   2.1000000000000000E+03   1.4855414075792476E+03   5.8595533665702962E+04   1.5241832141418920E+03   3.9232712183122698E+00   1.5194047039344159E+05
   2.2000000000000000E+03   1.4493739687965517E+03   6.1583931069311926E+04   1.4843070422689937E+03   3.9208389542601720E+00   1.5927853731288997E+05
   2.3000000000000000E+03   1.4077350241030308E+03   6.4589233684022467E+04   1.4391005019742213E+03   3.9187525921520665E+00   1.6662189357777784E+05
   2.4000000000000000E+03   1.3758087311782269E+03   6.7610145728556381E+04   1.4043868033775632E+03   3.9169590150168960E+00   1.7396537114552711E+05
   2.5000000000000000E+03   1.3396935308938998E+03   7.0645074232827857E+04   1.3655902035409758E+03   3.9154138410311430E+00   1.8130446362360838E+05
   2.6000000000000000E+03   1.3105680807277386E+03   7.3692161288238480E+04   1.3342977144385941E+03   3.9140801458333092E+00   1.8863525256940431E+05
   2.7000000000000000E+03   1.2783201706864111E+03   7.6749321137721563E+04   1.2999722282693958E+03   3.9129272581038879E+00   1.9595432339073447E+05
   2.8000000000000000E+03   1.2590388342913989E+03   7.9814281272540160E+04   1.2792179940400297E+03   3.9119296890116559E+00   2.0325868677268387E+05
   2.9000000000000000E+03   1.2357349061007867E+03   8.2884626282259036E+04   1.2544374350931375E+03   3.9110662124205997E+00   2.1054571051324721E+05
   3.0000000000000000E+03   1.2121761733867277E+03   8.5957842980982605E+04   1.2295147716971583E+03   3.9103190904610310E+00   2.1781306501919965E+05
   3.1000000000000000E+03   1.1814876645459431E+03   8.9031365278502184E+04   1.1973774203360235E+03   3.9096734302080129E+00   2.2505868105996662E+05
   3.2000000000000000E+03   1.1571673531967549E+03   9.2102617371579283E+04   1.1718908636421233E+03   3.9091166540136437E+00   2.3228071763871980E+05
   3.3000000000000000E+03   1.1324656812885701E+03   9.5169054042033604E+04   1.1461037613343551E+03   3.9086380659790811E+00   2.3947753924057970E+05
   3.4000000000000000E+03   1.1052579383306431E+03   9.8228197106303822E+04   1.1178357610438763E+03   3.9082284990088256E+00   2.4664769859550238E+05
   3.5000000000000000E+03   1.0877012221515638E+03   1.0127766735394781E+05   1.0995097294736813E+03   3.9078800284457307E+00   2.5378992442812413E+05
   3.6000000000000000E+03   1.0730466224820016E+03   1.0431521158403327E+05   1.0841993240400213E+03   3.9075857405943397E+00   2.6090311141467406E+05
   3.7000000000000000E+03   1.0579413795932951E+03   1.0733872459805696E+05   1.0684723516915637E+03   3.9073395462269085E+00   2.6798631244495104E+05
   3.8000000000000000E+03   1.0427811830187838E+03   1.1034626621811523E+05   1.0527295629383161E+03   3.9071360307707899E+00   2.7503873119243921E+05
   3.9000000000000000E+03   1.0285458698256771E+03   1.1333607356404224E+05   1.0379655999903002E+03   3.9069703343222084E+00   2.8205971503058996E+05
   4.0000000000000000E+03   1.0139162094794285E+03   1.1630656894032759E+05   1.0228328755070987E+03   3.9068380560778246E+00   2.8904874740807404E+05
   4.1000000000000000E+03   9.9916135095683273E+02   1.1925636377979661E+05   1.0076033179976700E+03   3.9067351780671591E+00   2.9600544043514697E+05
   4.2000000000000000E+03   9.8123453058280370E+02   1.2218425911698557E+05   9.8917840168085263E+02   3.9066580049650113E+00   3.0292952648355591E+05
   4.3000000000000000E+03   9.6958571915557275E+02   1.2508924310538433E+05   9.7715983341424419E+02   3.9066031162890043E+00   3.0982084996915038E+05
   4.4000000000000000E+03   9.5396901259286290E+02   1.2797048606703333E+05   9.6113388294273511E+02   3.9065673289038960E+00   3.1667935834954411E+05
   4.5000000000000000E+03   9.4382974256605871E+02   1.3082733355685009E+05   9.5068830856398620E+02   3.9065476674261159E+00   3.2350509283663204E+05
