#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   5.4530496878294763E+01   5.4691644563622397E+01   1.8507014525724531E+04   2.7991418710720546E+00   7.9378506299884291E+04
   4.0000000000000000E+02   7.5545053275252741E+01   7.5889599051682509E+01   1.6639541667885198E+04   2.7949947510321786E+00   1.0293173781847487E+05
   5.0000000000000000E+02   9.7799091636627224E+01   9.8425681827203903E+01   1.5362420958995630E+04   2.7903519453152992E+00   1.2764580204424897E+05
   6.0000000000000000E+02   1.2042184026982616E+02   1.2142802561667166E+02   1.4532696536412766E+04   2.7849931502756626E+00   1.5367314267566917E+05
   7.0000000000000000E+02   1.4305210393104514E+02   1.4453685047373668E+02   1.3925811551884703E+04   2.7789444611704650E+00   1.8090339726099654E+05
   8.0000000000000000E+02   1.6576622164393572E+02   1.6782916747449903E+02   1.3485767082065637E+04   2.7723194098756356E+00   2.0922171615495617E+05
   9.0000000000000000E+02   1.8881220960431341E+02   1.9156191857095732E+02   1.3153839028124296E+04   2.7652214013808036E+00   2.3851947620982776E+05
   1.0000000000000000E+03   2.1247283271798557E+02   2.1603451395289997E+02   1.2887583732778581E+04   2.7577153394833207E+00   2.6871792529204756E+05
   1.1000000000000000E+03   2.3703156598352729E+02   2.4155853642389189E+02   1.2647972616457415E+04   2.7498332681514874E+00   2.9978837948335684E+05
   1.2000000000000000E+03   2.6281477559151375E+02   2.6846874247423682E+02   1.2479300599072651E+04   2.7415883020759781E+00   3.3175860075877496E+05
   1.3000000000000000E+03   2.9014392622994700E+02   2.9713570998549932E+02   1.2330490262925076E+04   2.7329866694473184E+00   3.6471311424745119E+05
   1.4000000000000000E+03   3.1935992994667509E+02   3.2796777157228962E+02   1.2167947449499734E+04   2.7240358499093231E+00   3.9879362003246282E+05
   1.5000000000000000E+03   3.5089195911387367E+02   3.6140214381521702E+02   1.2065735272479727E+04   2.7147494247020636E+00   4.3419993701696448E+05
   1.6000000000000000E+03   3.8509579318517530E+02   3.9788824183568249E+02   1.1977776286222663E+04   2.7051496154764605E+00   4.7118883752363251E+05
   1.7000000000000000E+03   4.2233422215735897E+02   4.3786608679640790E+02   1.1906222303233464E+04   2.6952682395155199E+00   5.1006770713339525E+05
   1.8000000000000000E+03   4.6293040142185725E+02   4.8174213820574539E+02   1.1854996908760495E+04   2.6851465301335722E+00   5.5118105059335334E+05
   1.9000000000000000E+03   5.0712119100186806E+02   5.2986455898366160E+02   1.1814676983487141E+04   2.6748340927953542E+00   5.9488959133826196E+05
   2.0000000000000000E+03   5.5507650579659139E+02   5.8249989005818816E+02   1.1790375706954097E+04   2.6643871877928951E+00   6.4154355617613508E+05
   2.1000000000000000E+03   6.0642408580704989E+02   6.3981319563118723E+02   1.1620499447021541E+04   2.6538665159258263E+00   6.9145322392100608E+05
   2.2000000000000000E+03   6.6139887662146759E+02   7.0185371385877352E+02   1.1474653949929252E+04   2.6433347021854208E+00   7.4486073186119413E+05
   2.3000000000000000E+03   7.1980074955337454E+02   7.6854772719137645E+02   1.1348421110494306E+04   2.6328536965067766E+00   8.0191714225620532E+05
   2.4000000000000000E+03   7.8125101474315989E+02   8.3969968159132134E+02   1.1223801391859526E+04   2.6224823179588976E+00   8.6266798136843438E+05
   2.5000000000000000E+03   8.4581727020912399E+02   9.1500160945448158E+02   1.1186406808064959E+04   2.6122741484038947E+00   9.2704885886049841E+05
   2.6000000000000000E+03   9.1260253208093354E+02   9.9404984556045144E+02   1.1138150140474087E+04   2.6022759304702885E+00   9.9489104872971773E+05
   2.7000000000000000E+03   9.8123600234706043E+02   1.0763671170896639E+03   1.1102257866824908E+04   2.5925265528936192E+00   1.0659353102597343E+06
   2.8000000000000000E+03   1.0512565231409699E+03   1.1614275435720972E+03   1.1082390601065870E+04   2.5830566286366698E+00   1.1398512053080918E+06
   2.9000000000000000E+03   1.1221861392330791E+03   1.2486819937630542E+03   1.1077466774840261E+04   2.5738886038998627E+00   1.2162587777526635E+06
   3.0000000000000000E+03   1.1935637529841119E+03   1.3375815756349643E+03   1.1085356353482010E+04   2.5650372892541093E+00   1.2947499971630201E+06
   3.1000000000000000E+03   1.2643979642624754E+03   1.4275976450793971E+03   1.1060386559512997E+04   2.5565106840811431E+00   1.3749077950247214E+06
   3.2000000000000000E+03   1.3352424473885276E+03   1.5182374341115712E+03   1.1077981443874911E+04   2.5483109662101517E+00   1.4563217159575454E+06
   3.3000000000000000E+03   1.4049550526556952E+03   1.6090550647877515E+03   1.1076187696706791E+04   2.5404355374854783E+00   1.5385995753581384E+06
   3.4000000000000000E+03   1.4736323564487222E+03   1.6996582320698024E+03   1.1081347915587477E+04   2.5328780408894533E+00   1.6213755200434364E+06
   3.5000000000000000E+03   1.5410507546901670E+03   1.7897111687474257E+03   1.1091575463397043E+04   2.5256292931557733E+00   1.7043147805732558E+06
   3.6000000000000000E+03   1.6069681187199255E+03   1.8789346599002918E+03   1.1102057196128393E+04   2.5186781007516128E+00   1.7871159540384498E+06
   3.7000000000000000E+03   1.6706696862208598E+03   1.9671038913912780E+03   1.1086375268687967E+04   2.5120119468384172E+00   1.8695113071172500E+06
   3.8000000000000000E+03   1.7337540190915008E+03   2.0540448442198126E+03   1.1118671609258923E+04   2.5056175502307485E+00   1.9512658222351270E+06
   3.9000000000000000E+03   1.7952178880076794E+03   2.1396298271081159E+03   1.1152638173263605E+04   2.4994813061826742E+00   2.0321753658891493E+06
   4.0000000000000000E+03   1.8544940806889826E+03   2.2237726062685788E+03   1.1167649482597630E+04   2.4935896233333814E+00   2.1120643823356992E+06
   4.1000000000000000E+03   1.9116901721499482E+03   2.3064234649060368E+03   1.1169990349411421E+04   2.4879291725998467E+00   2.1907833717486705E+06
   4.2000000000000000E+03   1.9671354331929140E+03   2.3875644168852095E+03   1.1171119845826033E+04   2.4824870640835992E+00   2.2682063336643479E+06
   4.3000000000000000E+03   2.0208532044292201E+03   2.4672047131416571E+03   1.1170251367397850E+04   2.4772509661533073E+00   2.3442282475611893E+06
