#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   8.3091694971917420E+01   8.9526753956964356E+01   1.1560002400760798E+03   1.9860028349419443E+00   1.9927120650129709E+04
   4.0000000000000000E+02   1.0971991985001979E+02   1.2092601444946079E+02   1.1839979125144118E+03   1.9903565438154402E+00   2.6440974121364172E+04
   5.0000000000000000E+02   1.3433531104308727E+02   1.5137418829100957E+02   1.1934412327811835E+03   1.9975433945524941E+00   3.2931193862105523E+04
   6.0000000000000000E+02   1.5761929253457185E+02   1.8157774947120220E+02   1.1945742786094434E+03   2.0068804559813809E+00   3.9565936130045389E+04
   7.0000000000000000E+02   1.8011908302007012E+02   2.1181339190188584E+02   1.2037376824653709E+03   2.0177840201964390E+00   4.6368140669792047E+04
   8.0000000000000000E+02   2.0165391624023655E+02   2.4208561914751238E+02   1.2074068034802799E+03   2.0298363852548320E+00   5.3294721084050805E+04
   9.0000000000000000E+02   2.2228047053576003E+02   2.7228425432121441E+02   1.2103778471981118E+03   2.0427031198429404E+00   6.0277912630312254E+04
   1.0000000000000000E+03   2.4189695798224173E+02   3.0232162064930026E+02   1.2102786699907447E+03   2.0560735206413217E+00   6.7256059422168051E+04
   1.1000000000000000E+03   2.6072486189294989E+02   3.3220415535550939E+02   1.2117338928468448E+03   2.0696371283121842E+00   7.4194075430098062E+04
   1.2000000000000000E+03   2.7846799773824222E+02   3.6203135945193065E+02   1.2064395892837647E+03   2.0830882916890570E+00   8.1091326538831083E+04
   1.3000000000000000E+03   2.9556822821173824E+02   3.9195053559368694E+02   1.2019646395575385E+03   2.0961482107917897E+00   8.7976940992413263E+04
   1.4000000000000000E+03   3.1191255287901322E+02   4.2210334508533725E+02   1.1948306143204447E+03   2.1085913078178402E+00   9.4895960525708826E+04
   1.5000000000000000E+03   3.2765050805337813E+02   4.5258850575227768E+02   1.1869155627596485E+03   2.1202632075736836E+00   1.0189303458155577E+05
   1.6000000000000000E+03   3.4293521402124128E+02   4.8344791668228027E+02   1.1799026823610534E+03   2.1310835639722892E+00   1.0900041108475401E+05
   1.7000000000000000E+03   3.5743355775222358E+02   5.1467125021042341E+02   1.1699534199435086E+03   2.1410352040103984E+00   1.1623327378052795E+05
   1.8000000000000000E+03   3.7133308390967181E+02   5.4620980706668990E+02   1.1598214356845415E+03   2.1501461907089219E+00   1.2359121158204526E+05
   1.9000000000000000E+03   3.8458323443766403E+02   5.7799200505553358E+02   1.1493069009913356E+03   2.1584715405958832E+00   1.3106269908796818E+05
   2.0000000000000000E+03   3.9724014914086126E+02   6.0993638705143883E+02   1.1391420165156680E+03   2.1660785713785584E+00   1.3862993536227624E+05
