#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   1.5436752792615516E+02   1.5915956776263354E+02   5.1270585929370445E+03   5.4493104463966651E+00   3.4479472631202472E+04
   4.0000000000000000E+02   2.0908764001997821E+02   2.1828818589652502E+02   4.9607232272697565E+03   5.4526550171099899E+00   4.6484023326265065E+04
   5.0000000000000000E+02   2.6050618175197104E+02   2.7520899586449616E+02   4.8761852083390695E+03   5.4558980571493567E+00   5.8236203237211215E+04
   6.0000000000000000E+02   3.0515592797685991E+02   3.2598238858209578E+02   4.7763976883750538E+03   5.4589017450256669E+00   6.8899508060537381E+04
   7.0000000000000000E+02   3.4340888943909908E+02   3.7084113326548567E+02   4.6423523550976006E+03   5.4615133988337980E+00   7.8499932916527017E+04
   8.0000000000000000E+02   3.7730736708703648E+02   4.1179676875303267E+02   4.5049768070155396E+03   5.4636560986185767E+00   8.7481526155701591E+04
   9.0000000000000000E+02   4.0843309373150964E+02   4.5086264444503968E+02   4.3400701073164073E+03   5.4653339533387584E+00   9.6297941370374174E+04
   1.0000000000000000E+03   4.3846387784755251E+02   4.8943061064348677E+02   4.2105434605601722E+03   5.4666002775289879E+00   1.0524723899278507E+05
   1.1000000000000000E+03   4.6785719393732234E+02   5.2826510462606120E+02   4.0913950952359050E+03   5.4675277600812304E+00   1.1446753033486656E+05
   1.2000000000000000E+03   4.9680713460942695E+02   5.6767967971480482E+02   3.9793592093493048E+03   5.4681904023149022E+00   1.2398580133878969E+05
   1.3000000000000000E+03   5.2517692010280859E+02   6.0771212819244715E+02   3.8669119661830669E+03   5.4686550744463265E+00   1.3376620119525900E+05
   1.4000000000000000E+03   5.5337553054654632E+02   6.4825163612008544E+02   3.7810003993847290E+03   5.4689786947384249E+00   1.4374349951817506E+05
   1.5000000000000000E+03   5.8060144439339399E+02   6.8912002091508452E+02   3.6869639496582568E+03   5.4692081389073719E+00   1.5384290380294877E+05
   1.6000000000000000E+03   6.0735003737127943E+02   7.3011981913980833E+02   3.6119498874416518E+03   5.4693812560434409E+00   1.6399068056738586E+05
   1.7000000000000000E+03   6.3313431487935156E+02   7.7106091277758799E+02   3.5394559873206840E+03   5.4695282002456462E+00   1.7411932961995754E+05
   1.8000000000000000E+03   6.5842373585131213E+02   8.1177401602899340E+02   3.4854274780687538E+03   5.4696727365109359E+00   1.8416975135298929E+05
   1.9000000000000000E+03   6.8237235688308181E+02   8.5211639625438113E+02   3.4255145323773577E+03   5.4698333973807856E+00   1.9409182445625926E+05
   2.0000000000000000E+03   7.0494581959453285E+02   8.9197313816806354E+02   3.3620368389924838E+03   5.4700244635128907E+00   2.0384417785372667E+05
   2.1000000000000000E+03   7.2415260824894847E+02   9.3125594240405246E+02   3.2562074502102232E+03   5.4702567788429253E+00   2.1339356863921345E+05
   2.2000000000000000E+03   7.4167176375301653E+02   9.6990064627355309E+02   3.1518706793044416E+03   5.4705384230930045E+00   2.2271408848600273E+05
   2.3000000000000000E+03   7.5817083664161623E+02   1.0078641756964873E+03   3.0602867829846186E+03   5.4708752651816255E+00   2.3178631255218384E+05
   2.4000000000000000E+03   7.7477569237983926E+02   1.0451213523270230E+03   2.9951826100271701E+03   5.4712714182197635E+00   2.4059645419954776E+05
   2.5000000000000000E+03   7.8937878618446643E+02   1.0816618075969623E+03   2.9212811630887368E+03   5.4717296133474917E+00   2.4913555793111087E+05
   2.6000000000000000E+03   8.0295919449973314E+02   1.1174871482260246E+03   2.8528357170574991E+03   5.4722515063536639E+00   2.5739875063547710E+05
   2.7000000000000000E+03   8.1480431068654025E+02   1.1526084487674711E+03   2.7801623092149944E+03   5.4728379283721207E+00   2.6538456012517458E+05
   2.8000000000000000E+03   8.2432093675768476E+02   1.1870441011986334E+03   2.6976642282575867E+03   5.4734890898164918E+00   2.7309430556352058E+05
   2.9000000000000000E+03   8.3389333363920878E+02   1.2208180211818781E+03   2.6310856924525192E+03   5.4742047452211944E+00   2.8053155841226119E+05
   3.0000000000000000E+03   8.4309074197212135E+02   1.2539581908181724E+03   2.5730939369086818E+03   5.4749843252976298E+00   2.8770167388252006E+05
   3.1000000000000000E+03   8.5063320794922504E+02   1.2864955054444513E+03   2.5107374624905674E+03   5.4758270417164292E+00   2.9461138843312766E+05
   3.2000000000000000E+03   8.5569134921719672E+02   1.3184628855420863E+03   2.4379141690128790E+03   5.4767319690057628E+00   3.0126847551493533E+05
   3.3000000000000000E+03   8.5978200967775570E+02   1.3498946122503426E+03   2.3680580676394347E+03   5.4776981077688038E+00   3.0768145981543954E+05
   3.4000000000000000E+03   8.6395220632135101E+02   1.3808258456982803E+03   2.3080448393047282E+03   5.4787244323367608E+00   3.1385937720841088E+05
   3.5000000000000000E+03   8.6777547952537407E+02   1.4112922878661905E+03   2.2532602912357361E+03   5.4798099258122939E+00   3.1981157944679301E+05
   3.6000000000000000E+03   8.7050665812257967E+02   1.4413299555815704E+03   2.1980310342456182E+03   5.4809536049574810E+00   3.2554757562004036E+05
   3.7000000000000000E+03   8.7237293902796193E+02   1.4709750338496212E+03   2.1437258984174850E+03   5.4821545369130726E+00   3.3107690523622709E+05
   3.8000000000000000E+03   8.7312358447114741E+02   1.5002637844777330E+03   2.0887126883935862E+03   5.4834118494984345E+00   3.3640903802815831E+05
   3.9000000000000000E+03   8.7534189871763215E+02   1.5292324896289902E+03   2.0471334037500999E+03   5.4847247365949992E+00   3.4155329859006515E+05
   4.0000000000000000E+03   8.7595241745348198E+02   1.5579174144511633E+03   2.0010726817200766E+03   5.4860924595728031E+00   3.4651880456909596E+05
   4.1000000000000000E+03   8.7573613229601403E+02   1.5863547765856570E+03   1.9549560198848255E+03   5.4875143461271767E+00   3.5131442727194651E+05
   4.2000000000000000E+03   8.7318254627627209E+02   1.6145807141885271E+03   1.9015742959733795E+03   5.4889897867718522E+00   3.5594875604790682E+05
   4.3000000000000000E+03   8.7305681519342045E+02   1.6426312464285202E+03   1.8635109826121175E+03   5.4905182302536799E+00   3.6043008183991129E+05
   4.4000000000000000E+03   8.7308431212080518E+02   1.6705422233632955E+03   1.8289670055206170E+03   5.4920991777446142E+00   3.6476637934280239E+05
