#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   1.6000000000000000E+03   6.8318881265103209E+02   7.3052008184376723E+02   1.0544469984531537E+04   2.9532886234557547E+00   4.6785465745642729E+05
   1.7000000000000000E+03   7.2342530569152598E+02   7.7725904711411249E+02   1.0444915194471632E+04   2.9537600436639040E+00   4.9922449474993290E+05
   1.8000000000000000E+03   7.6261366929299766E+02   8.2368075507121239E+02   1.0286231853804495E+04   2.9541783423166836E+00   5.3055895617042982E+05
   1.9000000000000000E+03   8.0140099087157478E+02   8.6975508359432524E+02   1.0197232646116156E+04   2.9545676338715188E+00   5.6183474550298485E+05
   2.0000000000000000E+03   8.3912583423117667E+02   9.1546377673962377E+02   1.0063007727514479E+04   2.9549470128168243E+00   5.9303355981739808E+05
   2.1000000000000000E+03   8.7519482655176103E+02   9.6079875971152080E+02   9.8229844449735174E+03   2.9553319471670365E+00   6.2414219800983730E+05
   2.2000000000000000E+03   9.1012463122000520E+02   1.0057605004512634E+03   9.5713816576016416E+03   2.9557351797605547E+00   6.5515261471085541E+05
   2.3000000000000000E+03   9.4397145566436654E+02   1.0503564974908059E+03   9.3199808439282660E+03   2.9561673071349794E+00   6.8606183194935322E+05
   2.4000000000000000E+03   9.7660465869809593E+02   1.0945999294002256E+03   9.0596121700627864E+03   2.9566371539658518E+00   7.1687168265315483E+05
   2.5000000000000000E+03   1.0094197629029330E+03   1.1385084746628061E+03   8.9026603402385717E+03   2.9571520218903862E+00   7.4758838362913369E+05
   2.6000000000000000E+03   1.0409285092273510E+03   1.1821032951804380E+03   8.7160395710733319E+03   2.9577178647413729E+00   7.7822196131948475E+05
   2.7000000000000000E+03   1.0716431644951679E+03   1.2254081689805801E+03   8.5403066347854383E+03   2.9583394227935251E+00   8.0878559260285611E+05
   2.8000000000000000E+03   1.1015801070725483E+03   1.2684487549522555E+03   8.3736395844930412E+03   2.9590203353721618E+00   8.3929486443265877E+05
   2.9000000000000000E+03   1.1308838569818313E+03   1.3112519723299451E+03   8.2213737449190994E+03   2.9597632430623557E+00   8.6976702729159640E+05
   3.0000000000000000E+03   1.1596186743548881E+03   1.3538454794105203E+03   8.0830475467364395E+03   2.9605698849233661E+00   9.0022025367892114E+05
   3.1000000000000000E+03   1.1871694765902464E+03   1.3962572381231571E+03   7.9277426972075800E+03   2.9614411929231785E+00   9.3067293926510727E+05
   3.2000000000000000E+03   1.2138564774868030E+03   1.4385151531554664E+03   7.7724616306204180E+03   2.9623773841764640E+00   9.6114307968067448E+05
   3.3000000000000000E+03   1.2392518460336858E+03   1.4806467763970231E+03   7.6012128681080094E+03   2.9633780501474400E+00   9.9164770310830127E+05
   3.4000000000000000E+03   1.2648767344832700E+03   1.5226790686866002E+03   7.4708451884973456E+03   2.9644422421613812E+00   1.0222023936082517E+06
   3.5000000000000000E+03   1.2891123677977819E+03   1.5646382119681937E+03   7.3205273220384452E+03   2.9655685523407054E+00   1.0528209258892275E+06
   3.6000000000000000E+03   1.3132527031124166E+03   1.6065494657818997E+03   7.1934153293039781E+03   2.9667551888992141E+00   1.0835149402625212E+06
   3.7000000000000000E+03   1.3368482273839375E+03   1.6484370621864666E+03   7.0724939997756146E+03   2.9680000457489455E+00   1.1142937445335223E+06
   3.8000000000000000E+03   1.3604993835713706E+03   1.6903241338696766E+03   6.9724450335688316E+03   2.9693007657360444E+00   1.1451641718544750E+06
   3.9000000000000000E+03   1.3846231241552575E+03   1.7322326702636833E+03   6.8999526581360687E+03   2.9706547976058952E+00   1.1761305025126776E+06
   4.0000000000000000E+03   1.4078270785967734E+03   1.7741834968271389E+03   6.8177966726985869E+03   2.9720594467886965E+00   1.2071944615629248E+06
   4.1000000000000000E+03   1.4301943017875858E+03   1.8161962729567958E+03   6.7292753781612182E+03   2.9735119202424238E+00   1.2383552614659523E+06
   4.2000000000000000E+03   1.4522727422480550E+03   1.8582895043534511E+03   6.6468763023079628E+03   2.9750093656448442E+00   1.2696096846917637E+06
   4.3000000000000000E+03   1.4734249755825547E+03   1.9004805660213021E+03   6.5570281581097588E+03   2.9765489054176570E+00   1.3009522144087593E+06
   4.4000000000000000E+03   1.4949294362748669E+03   1.9427857325829409E+03   6.4849542229394601E+03   2.9781276658653049E+00   1.3323751707436596E+06
   4.5000000000000000E+03   1.5163432831404648E+03   1.9852202129480049E+03   6.4201822356540715E+03   2.9797428020391235E+00   1.3638688984539902E+06
   4.6000000000000000E+03   1.5379130896517031E+03   2.0277981869105586E+03   6.3659364048257257E+03   2.9813915186822801E+00   1.3954219481521822E+06
   4.7000000000000000E+03   1.5594255347767614E+03   2.0705328417084356E+03   6.3173461622720661E+03   2.9830710875380686E+00   1.4270212667890016E+06
   4.8000000000000000E+03   1.5803970464945792E+03   2.1134364068827649E+03   6.2660825890216311E+03   2.9847788617415785E+00   1.4586524042477121E+06
   4.9000000000000000E+03   1.6003719594690506E+03   2.1565201863649722E+03   6.2056017971146775E+03   2.9865122872674132E+00   1.4902997192923657E+06
   5.0000000000000000E+03   1.6219976119360738E+03   2.1997945868826923E+03   6.1752859938445927E+03   2.9882689120988006E+00   1.5219465729506353E+06
   5.1000000000000000E+03   1.6420916767592917E+03   2.2432691422509115E+03   6.1273979792453229E+03   2.9900463931272045E+00   1.5535755157960684E+06
   5.2000000000000000E+03   1.6623573563101879E+03   2.2869525332366070E+03   6.0867142552494624E+03   2.9918425013566701E+00   1.5851684854349047E+06
   5.3000000000000000E+03   1.6816501697639246E+03   2.3308526030563307E+03   6.0376832781507910E+03   2.9936551253490706E+00   1.6167069688712507E+06
   5.4000000000000000E+03   1.7039143062826656E+03   2.3749763686100146E+03   6.0303754879586959E+03   2.9954822734115671E+00   1.6481721822873983E+06
   5.5000000000000000E+03   1.7241241713635229E+03   2.4193300278175157E+03   5.9999859620598636E+03   2.9973220744807096E+00   1.6795452055265193E+06
   5.6000000000000000E+03   1.7438940014995583E+03   2.4639189634465820E+03   5.9675896359432663E+03   2.9991727780130657E+00   1.7108071387328685E+06
   5.7000000000000000E+03   1.7635828967784107E+03   2.5087477439366312E+03   5.9374575040824993E+03   3.0010327530008607E+00   1.7419392113719401E+06
   5.8000000000000000E+03   1.7814883401637326E+03   2.5538201217633632E+03   5.8907335916877009E+03   3.0029004862493522E+00   1.7729229132805937E+06
   5.9000000000000000E+03   1.8011232416440225E+03   2.5991390299282707E+03   5.8662620261347929E+03   3.0047745799706229E+00   1.8037400802519380E+06
   6.0000000000000000E+03   1.8203692638118821E+03   2.6447065771161897E+03   5.8402579709578222E+03   3.0066537489672198E+00   1.8343729956345288E+06
   6.1000000000000000E+03   1.8406150961938945E+03   2.6905240421330677E+03   5.8267643755066028E+03   3.0085368172780558E+00   1.8648044562846301E+06
   6.2000000000000000E+03   1.8581036079740866E+03   2.7365918681410208E+03   5.7882062337169164E+03   3.0104227145052853E+00   1.8950178437170165E+06
   6.3000000000000000E+03   1.8767924829876094E+03   2.7829096572007916E+03   5.7640932918012095E+03   3.0123104719042302E+00   1.9249971755303356E+06
   6.4000000000000000E+03   1.8968335297422921E+03   2.8294761656062678E+03   5.7546642799111705E+03   3.0141992182363038E+00   1.9547271530673469E+06
   6.5000000000000000E+03   1.9151518879289847E+03   2.8762893004338894E+03   5.7312625773245436E+03   3.0160881754578988E+00   1.9841931937730510E+06
   6.6000000000000000E+03   1.9322450369616672E+03   2.9233461176828901E+03   5.6993389847818826E+03   3.0179766542998845E+00   2.0133814503763937E+06
   6.7000000000000000E+03   1.9488717675857667E+03   2.9706428223211065E+03   5.6660461276254136E+03   3.0198640498288909E+00   2.0422788444290550E+06
   6.8000000000000000E+03   1.9668759470361590E+03   3.0181747705381440E+03   5.6467059863609247E+03   3.0217498368992044E+00   2.0708730631792441E+06
   6.9000000000000000E+03   1.9848834105546650E+03   3.0659364743815659E+03   5.6292578500002737E+03   3.0236335657322790E+00   2.0991525775800627E+06
   7.0000000000000000E+03   2.0032872871115662E+03   3.1139216090075852E+03   5.6166817911205508E+03   3.0255148573868591E+00   2.1271066262765625E+06
